pdb,F_I-sc,F_dG-cross/dSASAx100,F_dG-separated/dSASAx100,F_dSASA-polar,F_fa-dun,F_fa-intra-rep,F_fa-intra-sol-xover4,F_sc-value
1m6b_2,-55.037,-1.288,386.794,1099.107,5106.469,12.92,227.491,0.498
1m6u_9,-35.617,-1.448,-0.713,1375.266,1394.16,7.4,122.452,0.679
1mft_1,-52.539,-1.748,-0.744,527.102,335.656,1.561,28.528,0.678
1mi8_1,-39.677,-3.118,-1.265,548.092,856.976,4.052,53.655,0.612
1mml_2,-63.47,-1.851,-1.282,1449.401,1559.698,7.536,103.674,0.657
1mp9_1,-55.87,-1.986,-1.136,1083.196,767.724,5.116,75.164,0.627
1mqd_4,-45.102,-2.328,31.44,700.419,937.839,6.2,100.913,0.75
1mvh_1,-37.165,-1.827,-0.897,1064.095,1332.706,6.826,116.109,0.438
1my6_1,-44.918,-2.549,-1.402,637.104,863.257,4.173,84.605,0.696
1my7_1,-41.984,-2.999,-2.007,434.373,407.26,2.366,42.394,0.74
1n0v_2,-67.736,-1.607,-0.505,1831.155,4296.123,24.136,320.988,0.531
1nf7_4,-23.605,-2.199,-1.377,409.329,3051.553,14.505,196.831,0.538
1nfs_1,-48.664,-2.804,-2.545,528.66,921.938,4.494,74.97,0.705
1nft_1,-42.67,-1.657,140.472,999.905,1838.929,7.544,138.157,0.422
1nft_2,-45.653,-2.063,131.566,960.637,1876.551,7.604,136.98,0.616
1np6_1,-175.014,-3.567,-3.226,2221.239,887.903,3.35,69.492,0.67
1np8_1,-29.358,-1.845,0.623,739.652,721.757,4.246,75.14,0.625
1ns5_1,-63.441,-2.784,-2.295,770.217,720.482,3.745,65.311,0.651
1nvt_1,-85.59,-2.6,-2.2,1006.765,1368.181,8.194,121.21,0.679
1nzi_1,-61.574,-2.721,58.419,746.421,626.908,3.474,74.342,0.683
1o12_1,-63.122,-2.724,-2.071,699.875,2021.653,10.629,155.539,0.616
1o64_1,-72.342,-3.038,41.023,758.884,1000.235,5.332,80.799,0.755
1o6d_2,-75.059,-3.257,-2.533,818.515,764.026,4.069,62.827,0.754
1o92_2,-41.731,-1.913,-1.208,1165.641,2275.679,11.271,142.698,0.613
1obb_1,-70.754,-2.185,-1.91,1692.976,2202.05,12.802,223.216,0.609
1ohq_1,-58.669,-2.932,39.402,551.238,578.278,2.211,36.957,0.74
1okj_1,-50.994,-2.484,33.649,734.43,934.168,5.399,86.517,0.617
1or3_7,-24.94,-2.073,-1.957,341.593,1027.645,3.904,59.822,0.606
1ors_10,-44.201,-2.098,-0.172,300.461,618.732,5.12,52.663,0.538
1ov4_1,-39.604,-5.271,-5.108,326.708,1425.922,8.131,131.221,0.833
1ovn_1,-43.926,-2.362,14.495,715.239,1067.447,8.208,96.176,0.571
1oya_1,-42.469,-2.693,-2.195,566.243,2222.035,9.837,193.571,0.678
1p35_11,-37.175,-1.586,-0.071,1049.669,1747.349,8.344,135.978,0.542
1p8l_1,-43.088,-1.5,-0.666,1460.44,2433.964,7.418,120.616,0.347
1pcz_1,-74.533,-2.308,17.079,1082.63,1119.735,6.093,77.72,0.561
1pd5_26,-18.959,-0.896,0.492,948.961,1758.374,8.313,104.246,0.523
1poe_1,-17.423,-2.311,583.663,376.1,1349.344,4.671,56.554,0.69
1pp3_2,-24.953,-1.235,180.932,758.124,649.817,4.073,69.961,0.459
1prx_1,-176.945,-3.319,-2.669,1625.808,1185.965,5.53,92.225,0.715
1psa_1,-24.637,-1.215,63.754,1151.541,2021.497,6.925,102.94,0.483
1psq_1,-55.041,-2.744,-1.483,605.884,822.772,4.333,63.702,0.595
1pxv_1,-28.981,-1.155,-0.637,963.832,755.222,4.057,81.734,0.585
1q1e_2,-49.779,-1.78,1.365,1018.855,2446.7,11.115,145.655,0.611
1q1n_1,-47.813,-2.123,-1.058,574.74,2101.015,11.247,136.715,0.731
1q4j_1,-26.222,-1.572,-1.32,416.699,1229.269,5.533,104.262,0.593
1q7s_3,-57.251,-2.836,-1.828,787.393,561.746,2.895,47.208,0.691
1q98_1,-44.304,-2.537,34.653,506.47,755.156,3.946,65.278,0.646
1qex_1,-79.548,-3.27,-2.925,972.781,1145.223,7.604,99.946,0.739
1qex_6,-49.703,-1.644,-0.801,902.661,1168.693,7.574,99.366,0.487
1qg7_1,-62.379,-3.199,46.17,814.579,444.543,3.038,30.569,0.697
1qhm_4,-26.688,-0.87,-0.535,899.363,3596.401,18.92,274.384,0.412
1qhq_3,-26.961,-2.459,-2.417,370.109,414.049,2.561,44.335,0.602
1qkd_1,-20.068,-0.212,142.807,328.681,412.638,1.613,29.304,0.465
1qmj_1,-44.656,-3.472,-2.909,574.679,682.382,2.896,53.904,0.639
1qpg_1,-35.364,-1.165,-0.614,1260.51,2087.505,11.088,160.343,0.417
1qq7_1,-132.301,-2.801,-1.696,1553.593,774.279,5.516,96.376,0.703
1qrd_1,-20.815,-1.499,-0.67,429.78,1742.185,6.557,112.859,0.507
1qto_1,-130.151,-3.875,-3.289,1163.487,524.057,2.667,47.551,0.732
1qvt_19,-17.372,-1.465,-0.498,534.831,1470.052,6.494,102.914,0.518
1qvw_1,-32.337,-2.703,-2.435,584.98,887.033,5.534,95.404,0.673
1qxh_1,-42.117,-2.767,57.679,466.769,570.648,4.063,61.401,0.549
1qya_1,-60.205,-2.867,-2.161,651.588,1379.235,5.764,106.657,0.724
1r5q_2,-58.598,-2.888,-1.909,537.203,448.886,2.713,44.835,0.631
1r7j_1,-83.411,-3.915,-3.237,385.216,283.502,2.084,37.106,0.741
1rcw_2,-57.39,-3.098,-0.931,821.979,1443.573,4.867,95.512,0.638
1rfy_1,-77.744,-3.522,-3.422,519.991,238.098,2.126,34.738,0.699
1rk4_1,-70.163,-3.027,5.44,700.034,968.38,4.674,91.736,0.694
1rkr_5,-26.211,-2.953,65.503,88.837,762.6,2.692,53.158,0.662
1rp5_3,-44.162,-1.258,2.758,2396.434,3575.868,48.763,280.821,0.628
1rpa_1,-64.594,-2.394,60.18,835.422,3146.435,11.552,176.442,0.657
1rtv_1,-28.141,-2.761,-2.222,454.534,1272.075,6.846,80.601,0.631
1rz6_2,-50.028,-2.108,-1.53,692.091,1209.266,6.892,121.3,0.569
1s9c_6,-73.953,-3.514,-2.849,528.76,1297.441,7.503,101.494,0.645
1s9p_1,-59.707,-2.338,-1.435,1097.016,1086.096,9.247,92.454,0.639
1s9p_5,-35.659,-1.944,-1.445,531.604,1084.631,9.251,95.437,0.501
1se8_1,-23.342,-1.861,-1.025,636.246,1220.197,4.374,89.264,0.634
1sfl_1,-62.309,-2.959,-0.929,653.636,1270.268,7.065,111.479,0.591
1sfr_4,-40.911,-2.695,36.44,315.862,1142.083,6.294,107.904,0.604
1si5_3,-41.457,-1.723,86.549,1096.8,1130.645,5.114,76.144,0.506
1slb_2,-48.479,-4.124,-3.48,560.197,676.206,3.201,55.304,0.786
1som_1,-21.697,-1.352,111.363,752.843,2728.284,13.63,236.611,0.579
1srr_1,-35.053,-2.859,1.966,400.308,926.549,5.395,61.437,0.628
1sw2_4,-38.06,-1.579,1.035,1011.729,1890.719,6.524,124.89,0.518
1sxs_1,-53.817,-3.99,41.877,468.376,521.74,3.216,51.574,0.767
1syq_8,-39.095,-2.326,-1.51,830.795,1998.146,7.997,104.956,0.643
1t0i_1,-72.019,-2.49,-2.253,1342.213,1114.414,4.957,70.234,0.645
1t1e_2,-96.55,-1.773,-1.125,2863.5,1669.428,11.131,184.273,0.582
1t1l_1,-30.124,-1.757,-1.499,546.58,2881.469,13.95,177.409,0.552
1t3w_1,-110.88,-3.564,-2.471,526.622,1411.195,3.612,66.297,0.709
1taq_5,-32.537,-1.631,-1.37,924.832,13840.977,1180.574,512.728,0.0
1tf5_1,-37.415,-1.656,-0.73,1101.494,4296.74,22.749,385.814,0.445
1tfg_1,-77.365,-2.913,25.561,750.129,574.182,2.801,48.159,0.664
1tmk_1,-65.679,-3.613,-2.959,524.931,1114.909,5.722,93.486,0.744
1to0_3,-63.02,-2.512,-1.447,1011.687,858.286,4.627,70.483,0.582
1to4_1,-48.606,-3.66,38.9,457.73,393.314,2.425,48.753,0.731
1tvd_1,-50.119,-2.725,78.197,735.456,534.768,2.694,42.559,0.674
1txn_1,-101.112,-1.627,-0.825,2393.69,1034.841,6.125,116.947,0.517
1tz3_1,-39.804,-2.706,-0.297,580.476,1491.308,9.074,114.385,0.565
1u07_1,-88.606,-3.796,-3.53,1252.314,404.76,1.98,35.884,0.716
1u20_1,-90.671,-3.392,-2.779,1099.8,827.388,4.371,98.28,0.714
1u2j_24,-44.452,-1.952,-1.453,835.063,2517.229,12.549,130.261,0.518
1u3z_1,-46.164,-3.06,-1.469,505.269,470.429,2.327,45.905,0.761
1u4m_1,-66.779,-4.138,-3.815,568.954,213.592,1.526,26.292,0.737
1uat_2,-31.585,-2.485,45.155,279.204,691.143,2.518,45.525,0.656
1ud0_7,-67.519,-1.704,-0.318,1061.29,492.02,2.484,39.926,0.462
1udv_1,-40.128,-2.476,-2.222,678.873,424.955,2.676,45.733,0.601
1uer_2,-50.239,-2.714,-1.642,588.258,1117.98,5.659,93.334,0.746
1ujk_3,473.702,0.0,0.0,0.0,590.67,3.729,68.705,0.0
1ujn_1,-60.321,-2.945,-2.684,669.409,1181.673,8.075,124.279,0.67
1ukg_1,-54.732,-3.077,-2.862,772.794,768.8,5.097,87.816,0.695
1uou_1,-60.147,-2.933,-1.479,578.8,2302.344,8.241,150.511,0.765
1usm_1,-47.831,-3.661,-3.088,442.245,272.63,1.719,40.612,0.635
1uvz_3,-20.233,-1.899,-1.259,367.722,810.169,2.223,44.545,0.682
1v2a_1,-67.656,-1.708,-0.37,897.002,1267.102,6.912,112.343,0.597
1v2z_1,-46.783,-2.611,-1.662,598.697,690.741,2.502,47.492,0.609
1v4t_4,-35.207,-1.677,-0.711,779.05,3061.784,13.867,206.253,0.43
1v4v_1,-86.635,-3.489,-2.86,593.939,1570.603,9.612,153.126,0.741
1v98_2,-20.818,-1.863,-1.845,604.146,325.644,3.314,38.938,0.388
1vez_2,-52.62,-3.127,-2.944,632.362,713.281,4.477,72.918,0.75
1vg9_2,-53.934,-2.436,-1.697,935.611,2581.649,13.338,225.617,0.683
1vh0_8,-68.169,-2.843,-2.033,791.911,1048.11,4.609,76.225,0.679
1vic_7,-43.604,-1.848,-0.058,1126.158,987.39,6.273,111.049,0.564
1vok_6,-34.708,-1.456,0.124,1152.952,1122.492,6.052,80.233,0.541
1vpl_1,-21.966,-0.988,-0.183,749.253,1102.759,5.753,96.463,0.608
1vqu_1,-67.305,-3.21,-2.654,366.586,1394.42,6.465,102.038,0.796
1vr0_1,-66.424,-3.224,-2.716,851.027,1220.674,5.749,91.801,0.631
1wac_4,-24.154,-0.11,1.186,1303.284,4223.518,25.893,295.295,0.605
1wlg_3,-58.872,-2.353,-1.363,1434.9,1189.238,5.299,109.721,0.643
1wn2_1,-68.87,-3.141,-2.847,604.955,473.136,3.017,48.74,0.765
1wtc_1,-27.409,-1.623,-0.791,694.271,1139.139,8.2,127.383,0.596
1wwp_1,-45.553,-2.362,-1.322,709.905,703.886,3.191,55.187,0.616
1x1p_3,-42.219,-1.182,-0.254,1532.437,1184.215,5.986,95.654,0.496
1xef_2,-60.229,-1.872,-0.863,1539.843,1222.691,5.179,101.641,0.583
1xew_4,-46.595,-1.722,-1.102,1189.221,611.173,4.128,54.342,0.469
1xi1_1,-43.814,-1.547,-0.876,1502.221,3029.095,17.204,231.783,0.511
1xi3_1,-52.834,-3.239,-3.091,540.953,640.916,4.177,77.961,0.668
1xkv_1,-31.875,-1.397,-0.728,1100.668,2127.304,13.122,225.909,0.573
1xkz_2,-29.386,-2.307,-1.189,620.16,1055.755,5.29,114.136,0.751
1xrc_5,-28.939,-1.769,-1.168,706.664,2922.644,10.616,167.422,0.678
1xre_1,-41.288,-2.42,-1.625,597.628,1021.999,4.511,91.951,0.747
1xso_1,-55.568,-3.861,37.947,459.061,639.335,2.773,48.735,0.834
1xsv_1,-68.184,-3.069,-2.362,645.662,523.387,2.978,62.702,0.715
1xty_2,-51.389,-2.49,-2.151,456.905,412.365,2.989,47.58,0.692
1xub_1,-28.857,-1.665,-1.172,729.643,894.922,5.622,99.761,0.597
1xuq_1,-41.354,-2.372,-1.361,543.761,900.655,3.91,94.386,0.753
1xur_1,-73.371,-3.069,-2.406,836.899,578.944,3.761,70.984,0.712
1xvq_2,-21.486,-1.073,-0.39,603.051,436.24,3.282,46.898,0.564
1xwb_5,-33.835,-2.903,-1.936,575.274,610.864,3.453,41.303,0.68
1y67_1,-42.572,-2.324,-1.456,657.002,783.76,3.754,87.347,0.761
1y6h_3,-60.821,-2.172,0.491,1153.494,737.411,4.699,79.141,0.675
1y7h_2,-40.095,-2.265,-2.084,409.612,1387.682,6.619,117.007,0.669
1y7y_1,-57.971,-3.603,-3.334,262.169,239.788,2.162,29.258,0.747
1yad_2,-42.881,-2.601,-0.363,540.565,747.474,4.873,83.903,0.704
1yae_9,-49.444,-1.79,-0.817,905.221,2408.343,7.478,112.777,0.569
1ybz_2,-140.626,-3.368,-2.442,900.58,246.791,1.949,35.499,0.723
1ye5_1,-72.025,-2.972,-1.618,704.537,634.903,4.233,64.885,0.612
1yem_1,-67.581,-3.814,-3.47,451.809,805.672,4.037,73.765,0.705
1yln_1,-77.903,-1.888,-1.127,1965.381,1012.328,6.25,97.135,0.617
1ysj_1,-63.959,-2.89,-2.082,874.626,1523.81,7.287,145.067,0.6
1yv9_1,-24.385,-1.284,-0.335,897.295,1214.032,7.228,100.344,0.327
1yvl_4,-17.644,0.0,0.0,0.0,5153.193,24.985,326.862,0.0
1z72_1,-61.257,-3.315,-2.041,615.831,875.052,4.76,102.12,0.625
1z9p_1,-42.631,-2.349,33.032,369.795,520.444,2.918,57.8,0.645
1zbh_2,-41.005,-1.835,-0.987,914.294,1780.922,6.247,126.283,0.528
1zbr_1,-49.553,-2.99,-1.809,634.823,2100.741,9.15,163.62,0.751
1zc6_1,-31.876,-1.891,-1.132,698.022,1291.985,5.809,96.472,0.66
1zcj_3,-50.281,-1.445,-0.548,1362.895,2279.868,12.63,187.267,0.559
1zh2_1,-52.913,-2.81,-2.271,1075.042,651.065,3.155,48.888,0.635
1zjj_1,-71.801,-3.031,-2.509,811.723,1225.115,7.415,107.205,0.649
1zlj_1,-26.682,-2.017,-1.248,562.972,365.985,1.649,27.192,0.55
1zp7_1,-56.143,-2.397,-2.017,855.454,908.271,4.239,77.637,0.656
1zsz_1,-44.989,-3.343,-2.885,487.511,424.664,2.725,47.367,0.728
1zxk_1,-95.25,-3.543,-3.153,672.074,466.401,2.052,38.363,0.738
1zy2_1,-35.747,-3.728,-3.511,242.974,831.447,5.993,60.597,0.717
1zzh_2,-49.054,-1.741,-1.547,847.275,1382.309,7.848,120.467,0.588
2a4a_3,-57.413,-3.083,-2.143,473.69,1097.052,5.237,95.107,0.804
2a67_2,-36.987,-1.675,-1.159,596.922,770.895,3.713,63.95,0.527
2a8f_1,-33.481,-2.856,161.927,245.809,284.638,1.821,25.672,0.735
2ac1_3,-38.71,-1.31,19.616,1572.843,2385.682,13.841,241.482,0.504
2aca_1,-61.403,-1.514,0.114,823.06,962.247,4.739,83.555,0.666
2ahm_21,-43.792,-1.985,-1.583,674.712,728.472,3.94,67.505,0.689
2ajq_9,-50.412,-2.146,-1.664,997.088,3733.115,19.713,340.155,0.55
2aps_1,-49.509,-2.824,31.777,463.258,637.644,2.94,60.439,0.709
2ar8_1,-32.522,-1.912,-1.117,956.885,2211.939,11.393,227.769,0.587
2axi_3,-53.31,0.0,-0.34,151.589,627.719,3.996,45.306,0.721
2b0u_18,-30.558,-1.259,441.122,1028.279,1730.322,7.41,96.505,0.52
