PDB_ID,I_Class_RFC_a,I_Probability_true_RFC_all_feat,I_Class_NN_a,I_Probability_true_NN_all_feat,I_Class_RFC_s,I_Probability_true_RFC_selected,I_Class_NN_s,I_Probability_true_NN_selected,Training
1fcf_6.pdb,False,0.388,False,0.005,False,0.223,False,0.127,No
1fdj_11.pdb,False,0.252,False,0.265,False,0.09,False,0.134,No
1fe0_1.pdb,True,0.606,False,0.0,False,0.465,False,0.001,No
1fp3_2.pdb,True,0.856, True,1.0,True,0.897, True,0.993,No
1fp5_1.pdb,True,0.755, True,0.977,True,0.732, True,0.956,No
1fpq_1.pdb,True,0.692, True,1.0,True,0.686,False,0.375,No
1fr1_1.pdb,True,0.602, True,0.563,False,0.292, True,0.534,No
1fse_3.pdb,True,0.743, True,0.838,True,0.716, True,0.751,No
1fu1_8.pdb,True,0.749, True,0.982,True,0.882, True,0.973,No
1fux_1.pdb,True,0.609, True,0.605,True,0.719, True,0.767,No
1fvp_1.pdb,True,0.872, True,0.997,True,0.907, True,0.994,No
1fzv_1.pdb,True,0.864, True,1.0,True,0.822, True,0.98,No
1g68_1.pdb,False,0.424,False,0.288,True,0.523, True,0.591,No
1g73_7.pdb,True,0.895, True,0.999,True,0.913, True,0.987,No
1gam_1.pdb,True,0.622, True,0.548,True,0.57, True,0.658,No
1gan_1.pdb,True,0.717, True,0.921,True,0.723, True,0.67,No
1gcj_1.pdb,True,0.833,False,0.156,True,0.808, True,0.852,No
1ggt_10.pdb,True,0.748, True,0.99,True,0.809, True,0.923,No
1gmz_1.pdb,True,0.745, True,0.921,True,0.715, True,0.891,No
1gxd_4.pdb,True,0.737, True,0.91,True,0.738, True,0.698,No
1gyl_1.pdb,True,0.534,False,0.001,True,0.565,False,0.144,No
1gyo_1.pdb,True,0.764,False,0.424,True,0.729, True,0.747,No
1h0x_1.pdb,True,0.874, True,0.966,True,0.784, True,0.828,No
1h1y_1.pdb,True,0.871, True,0.999,True,0.851, True,0.947,No
1h3i_1.pdb,True,0.847, True,0.966,True,0.803, True,0.901,No
1ha4_1.pdb,True,0.636, True,0.743,True,0.652, True,0.618,No
1hjr_1.pdb,True,0.858, True,1.0,True,0.898, True,0.991,No
1hlc_1.pdb,True,0.805, True,0.78,True,0.637, True,0.605,No
1hq8_1.pdb,True,0.773, True,0.981,True,0.8, True,0.886,No
1hsj_1.pdb,True,0.738, True,1.0,True,0.686, True,0.969,No
1hux_1.pdb,True,0.678,False,0.366,True,0.656, True,0.749,No
1hy3_1.pdb,False,0.187,False,0.001,False,0.064,False,0.059,No
1i49_3.pdb,False,0.394, True,0.664,False,0.343, True,0.796,No
1i74_1.pdb,True,0.699,False,0.213,True,0.727, True,0.736,No
1ibd_1.pdb,True,0.86, True,1.0,True,0.785, True,0.962,No
1ici_5.pdb,True,0.88, True,0.988,True,0.872, True,0.973,No
1ii2_1.pdb,True,0.746, True,0.997,True,0.807, True,0.917,No
1iiw_1.pdb,True,0.876, True,0.992,True,0.847, True,0.959,No
1ijy_1.pdb,True,0.785, True,0.964,True,0.769, True,0.916,No
1iqc_1.pdb,True,0.824, True,1.0,True,0.789, True,0.994,No
1is3_1.pdb,True,0.875, True,0.973,True,0.834, True,0.836,No
1iug_1.pdb,True,0.826, True,1.0,True,0.783, True,0.997,No
1ivl_1.pdb,True,0.729, True,0.822,True,0.772, True,0.88,No
1ix9_1.pdb,True,0.848, True,0.979,True,0.726, True,0.935,No
1ixq_2.pdb,True,0.874, True,1.0,True,0.869, True,0.989,No
1iyz_1.pdb,True,0.738, True,0.74,True,0.733, True,0.836,No
1j1i_1.pdb,True,0.875, True,0.978,True,0.781, True,0.893,No
1j36_3.pdb,True,0.746,False,0.277,True,0.781, True,0.741,No
1j8b_1.pdb,True,0.798, True,0.981,True,0.818, True,0.915,No
1j8f_5.pdb,True,0.837, True,1.0,True,0.74, True,0.988,No
1jbg_1.pdb,True,0.844, True,1.0,True,0.893, True,0.997,No
1jhe_1.pdb,True,0.828, True,0.94,True,0.73, True,0.824,No
1jil_1.pdb,True,0.719,False,0.441,True,0.657, True,0.838,No
1jm0_2.pdb,True,0.884, True,1.0,True,0.886, True,0.99,No
1jog_2.pdb,True,0.875, True,1.0,True,0.922, True,0.975,No
1jqj_9.pdb,True,0.753, True,0.935,True,0.787, True,0.916,No
1jr9_1.pdb,True,0.711, True,0.843,True,0.755, True,0.831,No
1jrk_1.pdb,True,0.736, True,1.0,True,0.781, True,0.978,No
1juh_9.pdb,True,0.759, True,0.998,True,0.799, True,0.922,No
1jye_1.pdb,False,0.386,False,0.004,False,0.192,False,0.346,No
1jzo_1.pdb,True,0.889, True,0.998,True,0.9, True,0.946,No
1k1y_4.pdb,True,0.785, True,0.996,True,0.785, True,0.909,No
1k46_1.pdb,True,0.745, True,1.0,True,0.782, True,0.849,No
1k6i_3.pdb,True,0.788, True,0.956,True,0.84, True,0.942,No
1k9a_11.pdb,True,0.863, True,0.995,True,0.893, True,0.987,No
1kcm_6.pdb,True,0.8, True,1.0,True,0.774, True,0.998,No
1kez_1.pdb,True,0.815, True,0.996,True,0.861, True,0.959,No
1kho_1.pdb,True,0.762, True,0.917,True,0.687, True,0.773,No
1khx_2.pdb,False,0.152,False,0.012,False,0.13,False,0.038,No
1kie_1.pdb,True,0.775, True,0.939,True,0.681, True,0.859,No
1kix_3.pdb,True,0.739, True,1.0,True,0.784, True,0.615,No
1ks2_1.pdb,True,0.749, True,0.943,True,0.59, True,0.873,No
1ktn_1.pdb,True,0.591,False,0.381,True,0.64, True,0.783,No
1ku2_1.pdb,True,0.797, True,1.0,True,0.689, True,0.992,No
1ku2_4.pdb,True,0.82, True,0.795,True,0.882, True,0.913,No
1kut_1.pdb,True,0.814, True,0.993,True,0.801, True,0.931,No
1kvo_2.pdb,False,0.478, True,0.519,False,0.333, True,0.617,No
1l7c_5.pdb,True,0.844, True,0.96,True,0.896, True,0.936,No
1lee_3.pdb,True,0.787, True,0.995,True,0.791,False,0.36,No
1lkv_6.pdb,True,0.927, True,0.999,True,0.87, True,0.981,No
1lvb_5.pdb,True,0.783, True,0.883,True,0.859, True,0.754,No
1lws_4.pdb,True,0.529, True,0.563,False,0.481, True,0.731,No
1lyn_1.pdb,True,0.816, True,0.918,True,0.772, True,0.92,No
1m08_1.pdb,False,0.033,False,0.0,False,0.01,False,0.008,No
1m2a_1.pdb,True,0.78, True,0.956,True,0.789, True,0.846,No
1m6b_2.pdb,True,0.867, True,0.999,True,0.761, True,0.994,No
1m6u_9.pdb,True,0.73,False,0.052,True,0.737,False,0.208,No
1mft_1.pdb,True,0.882, True,1.0,True,0.809, True,0.992,No
1mi8_1.pdb,True,0.775, True,0.949,True,0.833, True,0.825,No
1mml_2.pdb,True,0.822, True,0.682,True,0.814, True,0.802,No
1mp9_1.pdb,True,0.771, True,1.0,True,0.835, True,0.994,No
1mqd_4.pdb,True,0.654,False,0.379,False,0.475, True,0.841,No
1mvh_1.pdb,True,0.669,False,0.005,False,0.434,False,0.337,No
1my6_1.pdb,True,0.845, True,0.797,True,0.748, True,0.852,No
1my7_1.pdb,True,0.849, True,0.974,True,0.821, True,0.924,No
1n0v_2.pdb,True,0.664, True,0.98,True,0.719, True,0.917,No
1nf7_4.pdb,False,0.227,False,0.097,False,0.2,False,0.181,No
1nfs_1.pdb,True,0.772, True,0.913,True,0.718, True,0.868,No
1nft_1.pdb,True,0.538, True,0.751,True,0.662, True,0.896,No
1nft_2.pdb,False,0.193,False,0.002,False,0.054,False,0.036,No
1np6_1.pdb,True,0.829, True,1.0,True,0.769, True,0.997,No
1np8_1.pdb,False,0.309,False,0.326,False,0.281, True,0.513,No
1ns5_1.pdb,True,0.863, True,0.999,True,0.876, True,0.974,No
1nvt_1.pdb,True,0.833, True,1.0,True,0.832, True,0.995,No
1nzi_1.pdb,True,0.854, True,0.959,True,0.877, True,0.882,No
1o12_1.pdb,True,0.817, True,0.996,True,0.877, True,0.972,No
1o64_1.pdb,True,0.842, True,0.998,True,0.88, True,0.982,No
1o6d_2.pdb,True,0.856, True,1.0,True,0.921, True,0.989,No
1o92_2.pdb,True,0.583,False,0.0,True,0.552, True,0.533,No
1obb_1.pdb,True,0.76, True,1.0,True,0.862, True,0.996,No
1ohq_1.pdb,True,0.868, True,0.993,True,0.794, True,0.917,No
1okj_1.pdb,True,0.875, True,1.0,True,0.921, True,0.986,No
1or3_7.pdb,False,0.335,False,0.113,False,0.262,False,0.343,No
1ors_10.pdb,True,0.822, True,1.0,True,0.829, True,0.767,No
1ov4_1.pdb,False,0.333,False,0.036,False,0.371,False,0.235,No
1ovn_1.pdb,True,0.778, True,0.987,True,0.758, True,0.837,No
1oya_1.pdb,True,0.774, True,0.98,True,0.802, True,0.927,No
1p35_11.pdb,True,0.82, True,0.787,True,0.713, True,0.847,No
1p8l_1.pdb,True,0.693, True,0.898,True,0.738, True,0.912,No
1pcz_1.pdb,True,0.75, True,1.0,True,0.859, True,0.993,No
1pd5_26.pdb,True,0.546,False,0.148,True,0.576,False,0.433,No
1poe_1.pdb,False,0.167,False,0.0,False,0.054,False,0.031,No
1pp3_2.pdb,True,0.623, True,0.793,True,0.617, True,0.83,No
1prx_1.pdb,True,0.787, True,1.0,True,0.775, True,0.954,No
1psa_1.pdb,False,0.188,False,0.0,False,0.137,False,0.0,No
1psq_1.pdb,True,0.823, True,0.995,True,0.882, True,0.952,No
1pxv_1.pdb,True,0.775,False,0.024,True,0.78,False,0.338,No
1q1e_2.pdb,True,0.84, True,0.994,True,0.828, True,0.973,No
1q1n_1.pdb,True,0.786, True,0.984,True,0.741, True,0.796,No
1q4j_1.pdb,True,0.793, True,0.862,True,0.657, True,0.887,No
1q7s_3.pdb,True,0.826, True,0.934,True,0.828, True,0.913,No
1q98_1.pdb,True,0.85, True,0.961,True,0.807, True,0.925,No
1qex_1.pdb,True,0.779, True,0.878,True,0.747, True,0.785,No
1qex_6.pdb,True,0.712, True,0.765,True,0.58, True,0.732,No
1qg7_1.pdb,True,0.913, True,0.948,True,0.849, True,0.854,No
1qhm_4.pdb,True,0.847, True,0.977,True,0.857, True,0.873,No
1qhq_3.pdb,True,0.521, True,0.594,True,0.738, True,0.861,No
1qkd_1.pdb,False,0.152,False,0.003,False,0.095,False,0.044,No
1qmj_1.pdb,True,0.763, True,0.905,True,0.73, True,0.748,No
1qpg_1.pdb,True,0.568,False,0.273,False,0.445, True,0.706,No
1qq7_1.pdb,True,0.757, True,1.0,True,0.691, True,0.772,No
1qrd_1.pdb,False,0.109,False,0.003,False,0.052,False,0.088,No
1qto_1.pdb,True,0.881, True,1.0,True,0.829, True,0.98,No
1qvt_19.pdb,False,0.156,False,0.335,False,0.255, True,0.631,No
1qvw_1.pdb,True,0.614, True,0.828,False,0.452, True,0.618,No
1qxh_1.pdb,True,0.707, True,0.964,True,0.798, True,0.918,No
1qya_1.pdb,True,0.816, True,0.999,True,0.862, True,0.971,No
1r5q_2.pdb,True,0.779, True,1.0,True,0.9, True,0.983,No
1r7j_1.pdb,True,0.884, True,1.0,True,0.832, True,0.996,No
1rcw_2.pdb,True,0.751, True,0.51,True,0.818, True,0.8,No
1rfy_1.pdb,True,0.872, True,1.0,True,0.914, True,0.998,No
1rk4_1.pdb,True,0.854, True,1.0,True,0.879, True,0.998,No
1rkr_5.pdb,True,0.809, True,0.902,True,0.787, True,0.921,No
1rp5_3.pdb,True,0.662,False,0.012,True,0.673,False,0.036,No
1rpa_1.pdb,True,0.798, True,0.999,True,0.821, True,0.98,No
1rtv_1.pdb,True,0.713, True,0.649,True,0.507, True,0.67,No
1rz6_2.pdb,True,0.866, True,0.999,True,0.906, True,0.993,No
1s9c_6.pdb,True,0.841, True,0.999,True,0.757, True,0.989,No
1s9p_1.pdb,True,0.823, True,0.997,True,0.858, True,0.982,No
1s9p_5.pdb,True,0.692, True,0.856,True,0.785, True,0.859,No
1se8_1.pdb,False,0.486,False,0.336,False,0.306, True,0.687,No
1sfl_1.pdb,True,0.846, True,1.0,True,0.863, True,0.984,No
1sfr_4.pdb,True,0.824, True,0.967,True,0.793, True,0.967,No
1si5_3.pdb,True,0.64, True,0.528,True,0.508, True,0.742,No
1slb_2.pdb,True,0.786, True,0.951,True,0.784, True,0.75,No
1som_1.pdb,False,0.464,False,0.223,False,0.253,False,0.359,No
1srr_1.pdb,True,0.734, True,0.881,True,0.765, True,0.84,No
1sw2_4.pdb,False,0.393,False,0.003,False,0.339,False,0.191,No
1sxs_1.pdb,True,0.853, True,0.846,True,0.783, True,0.791,No
1syq_8.pdb,False,0.449,False,0.001,False,0.323,False,0.145,No
1t0i_1.pdb,True,0.825, True,1.0,True,0.839, True,0.977,No
1t1e_2.pdb,True,0.739,False,0.009,True,0.721, True,0.578,No
1t1l_1.pdb,True,0.838, True,0.965,True,0.774, True,0.719,No
1t3w_1.pdb,True,0.856, True,1.0,True,0.756, True,0.999,No
1taq_5.pdb,True,0.795,False,0.0,True,0.73,False,0.306,No
1tf5_1.pdb,False,0.411,False,0.013,False,0.095,False,0.208,No
1tfg_1.pdb,True,0.779, True,1.0,True,0.756, True,0.967,No
1tmk_1.pdb,True,0.835, True,1.0,True,0.896, True,0.992,No
1to0_3.pdb,True,0.799, True,0.973,True,0.848, True,0.923,No
1to4_1.pdb,True,0.805, True,0.833,True,0.802, True,0.838,No
1tvd_1.pdb,True,0.775, True,0.998,True,0.828, True,0.966,No
1txn_1.pdb,True,0.795, True,1.0,True,0.753,False,0.473,No
1tz3_1.pdb,True,0.76, True,0.629,True,0.809, True,0.789,No
1u07_1.pdb,True,0.726, True,0.97,True,0.886, True,0.928,No
1u20_1.pdb,True,0.901, True,1.0,True,0.854, True,0.996,No
1u2j_24.pdb,True,0.824, True,0.999,True,0.937, True,0.977,No
1u3z_1.pdb,True,0.875, True,0.9,True,0.785, True,0.896,No
1u4m_1.pdb,True,0.772,False,0.013,True,0.748,False,0.027,No
1uat_2.pdb,True,0.755, True,0.824,True,0.64, True,0.896,No
1ud0_7.pdb,True,0.884, True,1.0,True,0.853, True,0.995,No
1udv_1.pdb,True,0.768, True,0.98,True,0.745, True,0.811,No
1uer_2.pdb,True,0.783, True,0.89,True,0.788, True,0.843,No
1ujk_3.pdb,False,0.233,False,0.008,False,0.025,False,0.067,No
1ujn_1.pdb,True,0.795, True,0.997,True,0.785, True,0.931,No
1ukg_1.pdb,True,0.59,False,0.458,True,0.522, True,0.512,No
1uou_1.pdb,True,0.772, True,0.846,True,0.768, True,0.94,No
1usm_1.pdb,True,0.842, True,0.993,True,0.885, True,0.913,No
1uvz_3.pdb,False,0.441,False,0.175,False,0.495,False,0.467,No
1v2a_1.pdb,True,0.87, True,0.997,True,0.765, True,0.978,No
1v2z_1.pdb,True,0.824, True,0.999,True,0.843, True,0.967,No
1v4t_4.pdb,True,0.793,False,0.145,True,0.851,False,0.292,No
1v4v_1.pdb,True,0.728, True,1.0,True,0.836, True,0.999,No
1v98_2.pdb,True,0.71, True,0.802,True,0.609, True,0.698,No
1vez_2.pdb,True,0.775, True,0.997,True,0.901, True,0.966,No
1vg9_2.pdb,True,0.891, True,0.965,True,0.965, True,0.927,No
1vh0_8.pdb,True,0.855, True,0.998,True,0.874, True,0.97,No
1vic_7.pdb,True,0.748,False,0.228,True,0.732, True,0.797,No
1vok_6.pdb,True,0.506,False,0.012,False,0.307,False,0.364,No
1vpl_1.pdb,True,0.51,False,0.033,True,0.625,False,0.208,No
1vqu_1.pdb,True,0.866, True,0.999,True,0.929, True,0.992,No
1vr0_1.pdb,True,0.831, True,0.997,True,0.836, True,0.951,No
1wac_4.pdb,False,0.402,False,0.387,False,0.311, True,0.741,No
1wlg_3.pdb,True,0.619,False,0.14,False,0.492,False,0.484,No
1wn2_1.pdb,True,0.8, True,0.96,True,0.813, True,0.944,No
1wtc_1.pdb,True,0.659,False,0.308,True,0.584, True,0.803,No
1wwp_1.pdb,True,0.762, True,0.968,True,0.82, True,0.849,No
1x1p_3.pdb,True,0.706, True,0.978,True,0.819, True,0.927,No
1xef_2.pdb,True,0.803, True,0.986,True,0.854, True,0.879,No
1xew_4.pdb,True,0.52, True,0.62,False,0.281, True,0.599,No
1xi1_1.pdb,True,0.864, True,0.99,True,0.88, True,0.938,No
1xi3_1.pdb,True,0.879, True,0.99,True,0.873, True,0.96,No
1xkv_1.pdb,True,0.59, True,0.563,False,0.434, True,0.756,No
1xkz_2.pdb,False,0.324,False,0.0,False,0.139,False,0.026,No
1xlu_1.pdb,True,0.674, True,0.658,True,0.654, True,0.823,No
1xrc_5.pdb,False,0.169,False,0.108,False,0.201, True,0.7,No
1xre_1.pdb,True,0.791, True,0.832,True,0.719, True,0.824,No
1xso_1.pdb,True,0.826, True,0.949,True,0.856, True,0.849,No
1xsv_1.pdb,True,0.863, True,1.0,True,0.893, True,0.986,No
1xty_2.pdb,True,0.853, True,0.977,True,0.797, True,0.961,No
1xub_1.pdb,False,0.287,False,0.055,False,0.23,False,0.394,No
1xuq_1.pdb,True,0.815, True,0.927,True,0.759, True,0.858,No
1xur_1.pdb,True,0.865, True,0.973,True,0.899, True,0.929,No
1xvq_2.pdb,True,0.786, True,0.961,True,0.738, True,0.917,No
1xwb_5.pdb,True,0.755,False,0.381,True,0.562, True,0.639,No
1y67_1.pdb,True,0.821, True,0.812,True,0.721, True,0.857,No
1y6h_3.pdb,True,0.875, True,1.0,True,0.809, True,0.981,No
1y7h_2.pdb,True,0.811, True,0.722,True,0.81, True,0.88,No
1y7y_1.pdb,True,0.859, True,0.996,True,0.95, True,0.974,No
1yad_2.pdb,True,0.876, True,0.954,True,0.723, True,0.914,No
1yae_9.pdb,True,0.806, True,0.941,True,0.854, True,0.929,No
1ybz_2.pdb,True,0.726, True,1.0,True,0.675, True,0.994,No
1ye5_1.pdb,True,0.883, True,1.0,True,0.855, True,0.998,No
1yem_1.pdb,True,0.786, True,1.0,True,0.832, True,0.992,No
1yln_1.pdb,True,0.847, True,0.999,True,0.811, True,0.996,No
1ysj_1.pdb,True,0.901, True,0.997,True,0.844, True,0.946,No
1yv9_1.pdb,False,0.401,False,0.031,False,0.315, True,0.612,No
1yvl_4.pdb,False,0.197,False,0.017,False,0.047,False,0.05,No
1z72_1.pdb,True,0.881, True,1.0,True,0.879, True,0.994,No
1z9p_1.pdb,True,0.802, True,0.992,True,0.784, True,0.957,No
1zbh_2.pdb,True,0.79, True,0.869,True,0.685, True,0.874,No
1zbr_1.pdb,False,0.353,False,0.077,False,0.466,False,0.398,No
1zc6_1.pdb,True,0.647,False,0.118,True,0.515, True,0.638,No
1zcj_3.pdb,True,0.817,False,0.309,True,0.788, True,0.884,No
1zh2_1.pdb,True,0.659, True,0.546,True,0.58, True,0.81,No
1zjj_1.pdb,True,0.815, True,1.0,True,0.866, True,0.991,No
1zlj_1.pdb,False,0.394,False,0.182,False,0.298, True,0.569,No
1zp7_1.pdb,True,0.819, True,0.965,True,0.871, True,0.935,No
1zsz_1.pdb,True,0.793, True,0.735,True,0.758, True,0.7,No
1zxk_1.pdb,True,0.844, True,1.0,True,0.673, True,0.99,No
1zy2_1.pdb,True,0.68, True,0.812,True,0.803, True,0.837,No
1zzh_2.pdb,True,0.887, True,1.0,True,0.895, True,0.991,No
2a4a_3.pdb,True,0.863, True,0.997,True,0.904, True,0.971,No
2a67_2.pdb,True,0.843, True,0.917,True,0.843, True,0.884,No
2a8f_1.pdb,True,0.757, True,0.766,True,0.767, True,0.899,No
2ac1_3.pdb,False,0.363,False,0.01,False,0.317,False,0.154,No
2aca_1.pdb,True,0.656, True,0.751,False,0.438, True,0.532,No
2ahm_21.pdb,True,0.857, True,0.964,True,0.876, True,0.917,No
2ajq_9.pdb,True,0.563,False,0.025,True,0.535, True,0.735,No
2aps_1.pdb,True,0.802, True,0.989,True,0.8, True,0.903,No
2ar8_1.pdb,False,0.429,False,0.018,False,0.224,False,0.146,No
2axi_3.pdb,True,0.761, True,0.979,True,0.791, True,0.947,No
2b0u_18.pdb,False,0.361,False,0.141,False,0.453, True,0.701,No
2b5a_1.pdb,True,0.929, True,1.0,True,0.96, True,0.992,No
2b7l_1.pdb,True,0.795, True,0.994,True,0.892, True,0.941,No
2b8h_6.pdb,True,0.588,False,0.42,True,0.506, True,0.822,No
2bbh_4.pdb,True,0.875, True,0.998,True,0.836, True,0.913,No
2bde_2.pdb,True,0.535,False,0.065,False,0.476, True,0.678,No
2bdm_2.pdb,True,0.696,False,0.347,True,0.758, True,0.795,No
2bdq_1.pdb,True,0.767, True,0.744,True,0.557, True,0.889,No
2bej_1.pdb,True,0.782, True,0.958,True,0.769, True,0.9,No
2bhm_2.pdb,True,0.796, True,0.981,True,0.759, True,0.947,No
2bho_1.pdb,True,0.825, True,1.0,True,0.82, True,0.938,No
2bm5_1.pdb,True,0.85, True,0.999,True,0.861, True,0.992,No
2bpd_1.pdb,True,0.701,False,0.358,True,0.533, True,0.579,No
2brv_1.pdb,False,0.429,False,0.001,False,0.234,False,0.026,No
2c2x_1.pdb,True,0.811, True,1.0,True,0.9, True,0.997,No
2c9s_1.pdb,True,0.86, True,0.881,True,0.756, True,0.805,No
2cc3_1.pdb,True,0.735, True,0.834,True,0.646, True,0.746,No
2cd0_1.pdb,True,0.707,False,0.381,True,0.737, True,0.721,No
2ctx_1.pdb,True,0.585,False,0.062,True,0.55,False,0.179,No
2cw2_1.pdb,True,0.851, True,0.947,True,0.822, True,0.888,No
2cw3_1.pdb,True,0.791, True,0.943,True,0.751, True,0.826,No
2cx4_1.pdb,True,0.83, True,0.981,True,0.829, True,0.931,No
2d13_2.pdb,True,0.835, True,0.988,True,0.776, True,0.904,No
2d4h_1.pdb,False,0.139,False,0.304,False,0.118,False,0.498,No
2dc4_1.pdb,True,0.807, True,1.0,True,0.817, True,0.99,No
2dh6_1.pdb,True,0.695, True,0.759,True,0.696, True,0.895,No
2dou_1.pdb,True,0.752, True,1.0,True,0.766, True,0.985,No
2dpf_1.pdb,True,0.8, True,1.0,True,0.762, True,0.774,No
2dql_1.pdb,True,0.809, True,1.0,True,0.871, True,0.994,No
2dsj_1.pdb,True,0.841, True,0.998,True,0.882, True,0.96,No
2dvn_1.pdb,False,0.439, True,0.61,False,0.38, True,0.564,No
2dwu_1.pdb,True,0.821, True,0.958,True,0.901, True,0.928,No
2dwy_6.pdb,True,0.873, True,0.997,True,0.824, True,0.984,No
2e1d_1.pdb,True,0.783, True,0.98,True,0.771, True,0.858,No
2e2c_1.pdb,True,0.733, True,0.75,True,0.756, True,0.814,No
2e46_1.pdb,True,0.758, True,0.963,True,0.836, True,0.87,No
2eav_1.pdb,False,0.235,False,0.48,False,0.262, True,0.682,No
2ebb_1.pdb,True,0.801, True,0.997,True,0.933, True,0.962,No
2ecf_1.pdb,True,0.825, True,0.996,True,0.793, True,0.965,No
2egu_3.pdb,True,0.865, True,0.986,True,0.893, True,0.933,No
2ejn_1.pdb,True,0.881, True,1.0,True,0.949, True,0.991,No
2ekz_1.pdb,False,0.275,False,0.225,False,0.193, True,0.66,No
2eo0_1.pdb,True,0.852, True,0.971,True,0.792, True,0.92,No
2erc_1.pdb,True,0.754,False,0.198,True,0.772, True,0.757,No
2ew2_1.pdb,True,0.872, True,0.996,True,0.928, True,0.992,No
2ewt_1.pdb,True,0.826, True,0.887,True,0.766, True,0.892,No
2f00_1.pdb,True,0.77, True,0.998,True,0.77, True,0.977,No
2f1m_2.pdb,True,0.67, True,0.845,True,0.763, True,0.895,No
