pdb,label,prob1
2idl_1,1,0.974
2ijd_5,0,0.0
2ikk_1,1,0.996
2imn_1,1,0.912
2imz_1,1,0.612
2io3_12,0,0.102
2isy_1,1,0.998
2itf_5,1,0.754
2iut_1,0,0.0
2iut_6,0,0.31
2iy2_1,1,0.98
2j3s_1,0,0.062
2j3x_1,0,0.002
2j3z_7,0,0.0
2j7l_4,0,0.028
2j80_1,1,0.876
2j85_1,1,0.994
2j8m_1,1,0.694
2j8w_1,1,0.98
2j8z_1,1,0.85
2j98_1,1,0.95
2jbx_1,0,0.698
2jfp_1,1,0.68
2jkr_34,0,0.002
2jlp_3,1,0.866
2npn_3,0,0.362
2nsa_5,0,0.742
2nsa_6,0,0.122
2ntx_3,0,0.0
2nub_6,0,0.0
2nvn_1,1,0.924
2nwu_1,1,0.84
2nwv_1,1,0.976
2nx9_1,1,0.348
2nyb_2,1,0.962
2nys_1,1,0.99
2o1v_1,0,0.084
2o7m_6,0,0.96
2o9a_1,1,0.696
2oai_1,1,0.618
2ob5_1,1,0.89
2ofj_1,0,0.0
2ogi_1,1,0.986
2oik_2,1,0.818
2omk_1,1,0.624
2ont_3,0,0.346
2oo2_1,1,0.972
2oqt_5,1,0.968
2ov8_1,1,0.906
2ovg_3,1,1.0
2ovi_2,1,0.928
2oz6_1,1,0.708
2ozv_1,1,0.96
2p22_22,0,0.744
2p5u_1,1,0.718
2pcj_1,0,0.438
2pf4_5,0,0.064
2pfi_1,1,0.994
2ph0_1,1,0.878
2ph1_1,1,0.772
2pij_1,1,0.982
2pju_1,1,0.974
2pl1_1,1,0.724
2pls_5,1,0.928
2pmr_1,1,0.998
2ppv_1,1,0.986
2pr8_3,0,0.3
2pwj_2,1,0.964
2pzz_1,1,0.778
2q24_2,1,0.986
2q30_4,1,0.632
2q4n_1,1,0.97
2q5c_3,1,0.89
2q7d_1,0,0.214
2q8r_2,1,0.966
2qaz_2,1,1.0
2qc7_2,1,0.354
2qgh_1,1,0.39
2qld_1,1,0.91
2qlx_2,1,0.418
2qms_1,0,0.824
2qrr_1,1,0.88
2qsq_1,1,0.982
2qxl_1,0,0.0
2qxy_1,1,0.98
2qyu_1,0,0.0
2r3v_6,1,0.864
2r7h_1,1,0.882
2r8q_1,1,0.988
2rax_22,0,0.222
2rc3_2,1,0.336
2rcv_2,1,0.954
2rdi_2,0,0.074
2rgv_1,0,0.304
2rhj_1,0,0.192
2snw_1,1,0.826
2tpt_1,1,0.898
2uzj_8,0,0.282
2v3t_1,1,0.004
2v54_1,0,0.992
2v5n_1,0,0.016
2v9c_1,1,0.404
2vj4_7,0,0.688
2vnc_8,0,0.0
2vpk_1,1,0.428
2vrn_1,1,0.944
2vsc_4,0,0.368
2vx8_1,0,0.178
2w0l_2,1,0.984
2w68_11,0,0.7
2w7w_1,1,0.922
2wcu_1,1,0.986
2we8_2,1,0.886
2wfc_1,1,0.972
2wfh_1,0,0.274
2wnh_2,0,0.006
2wnh_5,0,0.14
2ws2_1,1,0.698
2wui_1,1,0.684
2x2a_1,1,0.236
2x2u_3,0,0.162
2x4i_1,1,1.0
2x6g_7,1,0.99
2xbf_2,0,0.0
2xcr_4,0,0.002
2xdp_6,0,0.328
2xeq_1,0,0.034
2xeq_5,0,0.322
2xer_3,0,0.062
2xeu_1,1,0.998
2xhf_1,1,0.996
2xiq_1,0,0.002
2xj3_1,1,0.994
2xj9_1,0,0.028
2xss_2,0,0.028
2xt2_1,1,0.928
2xwc_1,0,0.304
2yaz_6,0,0.012
2ycj_1,1,0.838
2ym0_5,0,0.812
2ym9_8,0,0.348
2ymz_2,1,0.924
2yvq_2,0,0.27
2yvu_1,1,0.872
2ywa_1,1,0.374
2yxz_2,1,0.656
2yy9_1,1,0.944
2z00_2,1,0.568
2z0f_1,1,0.556
2z6f_1,1,0.784
2z7c_2,1,0.954
2zb3_4,0,0.312
2ze3_1,1,0.412
2zhg_1,1,0.456
2zkj_2,0,0.348
2znh_1,0,0.038
2zoz_2,0,0.388
2zu1_3,1,0.99
2zv3_3,1,0.996
2zvz_1,1,0.636
2zw2_1,1,0.606
2zxy_1,1,0.906
2zz8_1,0,0.35
2zzn_2,0,0.106
2zzt_1,1,0.984
3a1d_5,0,0.14
3a44_1,0,0.124
3a9i_1,0,0.002
3aad_12,0,0.296
3ajz_1,1,0.894
3al9_1,0,0.092
3aln_1,0,0.162
3ani_1,0,0.048
3aos_1,0,0.19
3aqt_1,1,0.942
3atp_1,1,0.298
3auf_1,1,0.98
3aux_2,0,0.136
3aw8_1,1,0.294
3b39_3,0,0.004
3b4u_1,1,0.61
3b7h_1,1,0.988
3b7m_6,0,0.418
3bde_2,1,0.614
3bdl_3,0,0.216
3bif_1,0,0.22
3bjr_1,1,0.966
3bjv_1,1,0.586
3bl8_1,1,0.668
3blc_3,0,0.452
3bqa_1,0,0.208
3bs3_1,1,0.93
3bwv_1,1,0.978
3bxh_1,1,0.928
3bxx_1,0,0.004
3bxz_1,0,0.65
3by8_2,1,0.58
3c1q_1,1,0.132
3c5q_1,1,0.152
3c8j_1,1,0.994
3c8x_2,0,0.696
3c9g_1,1,0.916
3cb2_1,0,0.054
3ccg_1,1,0.88
3ce1_1,1,0.992
3cei_1,1,0.976
3chi_1,1,0.88
3cjw_1,1,0.786
3cl3_7,0,0.322
3clk_1,1,0.232
3clv_1,1,0.934
3cnk_1,1,0.49
3cpe_5,0,0.0
3crj_1,1,0.638
3ctz_1,1,0.286
3cwc_1,1,0.956
3cwn_2,1,0.838
3cyv_1,1,0.422
3cz7_3,0,0.054
3d6r_3,0,0.904
3d7a_1,1,0.958
3d7q_2,1,0.828
3d8u_1,1,0.542
3da8_1,1,0.996
3dcj_1,0,0.402
3dd9_1,0,0.25
3ded_1,1,0.892
3dex_1,1,0.988
3dh1_1,1,0.672
3die_1,0,0.018
3dih_2,1,0.982
3dka_1,1,0.922
3dl3_1,1,0.982
3dm8_1,1,0.996
3do5_1,1,0.418
3dpt_1,0,0.354
3dqp_1,1,0.998
3dqv_12,0,0.0
3dqz_2,1,0.978
3dui_1,1,0.948
3duv_1,1,0.572
3dvf_1,1,0.956
3dvi_1,1,0.984
3dxb_16,0,0.056
3dyd_1,1,0.852
3e6d_1,0,0.716
3e7k_14,0,0.308
3e7p_1,1,0.974
3e8s_1,1,0.856
3eb8_3,0,0.222
3ec9_1,1,0.99
3eeg_1,1,0.95
3ees_1,1,0.996
3efb_1,1,0.964
3egj_2,1,0.97
3ego_1,1,0.992
3ehc_1,1,0.992
3eij_1,0,0.072
3enm_11,0,0.122
3eoq_1,1,0.04
3erj_1,1,0.946
3esf_1,1,0.974
3eul_6,1,0.864
3eus_1,1,0.998
3ewb_1,1,0.686
3ez9_2,0,0.184
3f14_1,1,0.984
3f3y_2,0,0.102
3f4k_1,1,0.968
3f8h_1,1,0.52
3f9s_1,1,0.968
3fb3_1,1,0.358
3fbt_2,1,0.978
3fbu_1,1,0.844
3fcx_1,0,0.186
3fdg_1,1,0.948
3fe1_7,0,0.0
3ffn_1,0,0.008
3fg3_1,0,0.0
3fg6_42,0,0.128
3fh0_1,0,0.292
3fjo_2,0,0.0
3frl_1,0,0.362
3frs_2,0,0.508
3ftj_3,0,0.27
3ftj_5,0,0.266
3g0f_1,0,0.742
3g0k_1,1,0.574
3g13_1,1,0.952
3g17_2,1,0.92
3g45_1,0,0.048
3g48_2,0,0.43
3g7p_1,1,0.938
3gff_1,1,0.582
3ghy_3,1,0.974
3glv_1,1,1.0
3gor_1,1,0.872
3grl_1,0,0.102
3gty_7,0,0.04
3gw2_1,1,0.65
3gz1_1,0,0.408
3h1s_1,1,0.884
3h2d_1,1,0.808
3h7l_3,0,0.082
3hde_2,1,0.664
3hdv_3,1,0.95
3hf7_2,1,0.922
3hgv_3,0,0.004
3hh7_1,1,0.954
3hha_4,0,0.372
3hhv_1,1,0.96
3hie_3,0,0.434
3hj6_1,1,0.762
3hjg_1,1,0.958
3hjp_1,1,1.0
3hm7_2,1,0.342
3hmk_1,1,0.93
3hn2_1,0,0.382
3hna_3,1,0.19
3hpn_1,0,0.292
3hq2_1,1,0.292
3hqx_1,1,0.664
3hru_1,1,0.89
3htv_1,1,0.946
3hv2_1,1,0.95
3hx8_2,1,0.866
3hy1_5,0,0.0
3hy8_1,1,0.626
3hyq_2,1,0.996
3hz4_1,1,0.692
3hzu_1,1,0.13
3i83_1,1,0.948
3i8b_2,1,0.862
3icw_3,0,0.4
3ift_2,1,0.478
3igd_1,1,0.304
3igr_2,1,0.686
3ihl_5,0,0.36
3ihr_3,0,0.112
3ijl_2,0,0.246
3jr8_2,1,0.954
3jth_1,1,0.682
3juw_2,1,0.976
3jv5_2,1,0.916
3jv9_1,1,0.786
3jw0_13,0,0.116
3k1m_1,0,0.252
3k44_21,0,0.29
3k55_9,0,0.404
3k5s_1,1,0.164
3k5x_2,1,0.928
3k6k_2,1,0.952
3k86_1,1,0.218
3k8v_9,0,0.214
3kay_1,1,0.94
3kb1_1,1,0.948
3kbf_1,1,0.988
3kcn_1,1,0.93
3keb_1,1,0.696
3kg6_2,1,0.854
3kg7_2,1,0.96
3kg8_1,1,0.998
3kga_1,0,0.152
3khp_2,1,0.862
3kht_2,1,0.93
3kkc_1,1,0.912
3knz_3,1,0.024
3kph_1,0,0.142
3ksh_1,1,0.9
3kt3_3,0,0.0
3ktm_12,0,0.13
3kux_3,0,0.126
3kvb_1,0,0.07
3kza_1,1,0.974
3l0z_5,1,0.774
3l18_1,1,0.96
3l1e_1,0,0.606
3l1w_2,1,0.91
3l5z_1,1,0.554
3l6b_1,1,0.848
3l7o_1,1,0.682
3l9e_2,1,0.972
3l9n_5,0,0.05
3l9z_1,1,0.848
3lag_1,1,0.984
3lcr_1,1,0.988
3leq_2,1,0.932
3lf6_1,0,0.662
3lf7_2,1,0.708
3lfi_1,1,0.744
3lhk_2,1,0.628
3lhr_1,1,0.61
3lhx_1,1,0.926
3ljb_2,0,0.918
3ljs_1,1,0.972
3lmb_1,1,0.512
3lmn_8,0,0.108
3lo3_3,1,0.576
3lp9_1,1,0.876
3lpm_1,1,0.954
3lqe_5,0,0.044
3lqn_1,1,0.272
3lrq_1,1,0.994
3lrq_2,1,0.878
3ltv_1,1,0.978
3lv9_1,1,0.952
3lwb_1,1,0.87
3lxy_1,1,0.528
3lya_4,0,0.032
3lyc_3,1,0.322
3lyn_1,1,0.954
3lyp_1,1,0.788
3lza_1,1,0.99
3m45_2,1,0.928
3m5b_1,1,0.994
3m5u_1,1,0.238
3m7p_3,0,0.058
3me4_1,0,0.176
3mg9_3,0,0.7
3mgc_2,0,0.182
3ml6_3,0,0.168
3ml6_7,0,0.002
3mlo_3,0,0.518
3mlp_10,0,0.076
3mnd_1,1,0.966
3mq4_1,1,0.604
3msq_6,1,0.706
3mt5_4,0,0.0
3mux_1,1,0.83
3mxo_2,0,0.94
3n3m_1,1,0.81
3n5c_1,0,0.746
3n77_3,1,0.99
3nc1_5,0,0.0
3nfc_1,1,0.996
3nib_1,1,0.806
3nj2_1,1,0.994
3npc_2,0,0.216
3nrd_1,1,0.776
3nuh_5,0,0.0
3nur_2,1,0.652
3nyl_3,0,0.096
3nyo_3,0,0.0
3nzp_2,0,0.038
3nzr_2,1,0.832
3o0m_1,1,0.648
3o51_5,0,0.724
3o63_1,1,0.752
3o77_2,0,0.004
3o9s_1,1,0.928
3oa4_1,1,0.734
3obh_1,1,0.996
3oco_1,1,0.238
3oet_2,1,0.324
3okt_4,0,0.002
3ooo_1,1,0.934
3opu_23,0,0.0
3orr_1,1,0.042
3oxp_1,1,0.99
3oym_4,0,0.56
3p0c_3,1,0.96
3p0u_1,1,0.474
3p27_1,0,0.004
3p3d_2,1,0.978
3p4y_1,0,0.02
3p9x_1,1,0.972
3pbb_5,0,0.066
3pc6_1,1,0.918
3pc7_1,1,0.982
3pf9_1,1,0.308
3pfy_4,0,0.778
3pim_1,0,0.522
3pl2_2,1,0.936
3pm7_1,1,0.908
3pnd_8,0,0.07
3ppe_1,1,0.578
3ppl_1,1,0.826
3pr8_1,1,0.37
3prb_7,0,0.04
3pu7_1,1,0.982
3pyi_1,1,0.99
3q1d_1,1,0.954
3q5m_5,0,0.146
3q64_1,1,0.774
3qat_3,1,0.19
3qb2_9,0,0.13
3qm2_1,1,0.3
3qq6_1,1,0.992
3qwm_1,0,0.592
3qxu_2,0,0.878
3qyj_3,1,0.954
3r03_1,1,0.992
3r0n_1,1,0.982
3r6m_1,1,0.882
3r8c_1,1,0.928
3r8e_1,1,0.364
3r8k_1,0,0.586
3rao_1,0,0.052
3rbg_2,1,0.978
3ret_7,0,0.62
3rjs_1,1,0.918
3rks_2,1,0.87
3rmk_3,0,0.034
3rny_3,1,0.708
3ro8_19,0,0.688
3rob_1,1,1.0
3rog_2,0,0.208
3ros_1,1,0.338
3rpc_2,1,0.66
3rri_2,1,0.708
3rt0_1,0,0.022
3rt2_2,1,0.762
3rtl_6,1,0.694
3rtr_20,0,0.412
3s4r_7,0,0.184
3sdp_1,1,0.498
3smd_2,1,0.956
3smt_4,0,0.174
3sno_1,1,0.946
3ssi_1,1,0.994
3sti_6,0,0.922
3svk_1,1,0.31
3t6n_4,0,0.566
3t9y_1,1,0.54
3tbo_1,1,0.972
3teq_1,1,0.996
3teq_3,1,0.992
3ter_1,1,0.9
3tg8_4,0,0.016
3tgo_11,0,0.158
3thn_1,0,0.064
3tn4_1,1,0.624
3toe_1,1,1.0
3tpe_4,0,0.018
3tqj_1,1,0.982
3tqu_2,1,0.996
3tr2_1,1,0.538
3trc_1,1,0.816
3tsw_4,0,0.15
3ty9_4,0,0.152
3tzu_1,1,0.692
3u5v_1,1,0.818
3u7i_2,1,0.654
3u80_1,1,0.964
3u8z_10,0,0.04
3u8z_2,0,0.45
3ucr_1,0,0.966
3uen_5,0,0.014
3uf5_1,1,0.918
3ufe_1,0,0.208
3uit_14,0,0.014
3umc_2,1,0.96
3uqz_1,1,0.966
3uro_2,1,0.922
3ut0_7,0,0.0
3v00_10,0,0.0
3v0e_5,0,0.292
3v6n_1,1,0.942
3vdu_4,0,0.388
3vh1_2,0,0.068
3vnf_2,1,0.966
3vx3_1,1,0.146
3w64_1,1,0.92
3w66_1,1,0.938
3wbi_8,0,0.0
3wbj_2,0,0.0
3wbj_6,0,0.0
3wgn_3,0,0.048
3wkl_2,0,0.158
3wnk_2,0,0.0
3woa_1,0,0.514
3woi_1,1,0.516
3wpw_1,1,0.84
3wud_1,1,0.914
3wxm_3,0,0.006
3zc9_1,1,0.978
3zig_1,1,0.992
3zl7_8,0,0.006
3zpg_1,1,0.518
3zrd_1,1,0.94
3zrt_1,0,0.132
3zyl_1,0,0.808
4a12_9,0,0.09
4a56_1,1,0.296
4a64_5,0,0.204
4a7p_1,1,0.51
4aj7_1,1,0.94
4aqf_9,0,0.0
4aqt_3,0,0.086
4aw3_1,0,0.0
4axv_2,0,0.394
4ayn_1,0,0.122
4b87_1,0,0.02
4bkm_1,1,0.626
4bla_10,0,0.006
4bq8_3,0,0.21
4c0o_1,0,0.0
4c0p_1,0,0.0
4c0s_1,0,0.02
4c5g_6,0,0.002
4c98_1,1,0.968
4ccf_7,0,0.188
4cgr_1,1,0.92
4chl_1,1,0.946
4ckl_2,1,0.116
4ckm_2,1,0.982
4ckn_2,0,0.404
4cqo_2,0,0.0
4cqo_7,0,0.0
4cyj_12,0,0.016
4czm_1,0,0.28
4czm_5,0,0.008
4d6y_1,1,0.868
4d9o_1,1,0.942
4da4_1,0,0.0
4dez_3,0,0.08
4dj2_1,1,0.524
4dj3_1,1,0.592
4dkc_1,1,0.966
4dmz_1,0,0.276
4dq0_1,0,0.07
4ds3_1,1,0.96
4dsc_1,0,0.378
4du5_2,1,0.662
4dup_1,1,0.794
4dvh_1,1,0.948
4dyw_3,1,0.818
4e04_1,1,0.302
4e4j_2,1,0.1
4e5y_1,1,0.788
4e69_2,0,0.872
4e86_14,1,0.964
4e89_2,0,0.244
4eht_1,1,0.858
4eib_6,0,0.326
4emb_2,1,0.168
4eo9_1,1,0.838
4epl_2,0,0.0
4eru_1,1,0.422
4ese_1,1,0.708
4ex4_1,0,0.0
4exn_1,1,0.976
4exo_1,1,0.986
4exq_2,1,0.626
4f2n_2,1,0.942
4f7o_1,0,0.156
4f7r_11,0,0.56
4f82_1,1,0.94
4fbi_1,1,0.994
4fdb_1,1,0.288
4fhl_2,0,0.328
4flb_1,1,0.75
4fn9_1,1,0.612
4fna_6,0,0.004
4fqn_1,0,0.91
4fqu_5,0,0.122
4fr2_1,1,0.366
4ft4_1,0,0.0
4fzp_1,1,0.926
4g0a_16,0,0.16
4g0b_5,0,0.012
4g1l_10,0,0.256
4g2e_1,1,0.972
4g37_4,0,0.044
4g3u_6,0,0.422
4g7n_1,0,0.314
4g8t_2,1,0.388
4ga4_1,0,0.594
4gc9_1,0,0.46
4gdy_11,0,0.222
4gew_4,0,0.582
4gmg_11,0,0.002
4gmk_1,1,0.816
4gml_1,0,0.338
4gtw_1,0,0.002
4guz_5,1,0.874
4gvl_7,0,0.002
4h2i_1,0,0.402
4h6u_1,0,0.406
4h6z_1,0,0.62
4hc1_28,0,0.208
4hd0_5,0,0.064
4hdg_1,0,0.002
