ID,F_VenclovasLab.csv_F_Voronota_glob_area,F_VenclovasLab.csv_F_Voronota_glob_area_per_atom,F_VenclovasLab.csv_F_Voronota_glob_nonprotein_area,F_VenclovasLab.csv_F_Voronota_glob_sas_energy,F_VenclovasLab.csv_F_Voronota_glob_nonsas_energy_norm,F_VenclovasLab.csv_F_Voronota_iface_atoms,F_VenclovasLab.csv_F_Voronota_iface_atoms_light_score,F_VenclovasLab.csv_F_Voronota_iface_expanded_energy_norm,F_VenclovasLab.csv_F_Voronota_diff_nonsas_energy_norm,F_Oliva_rawdata_v3.csv_F_PA,F_Oliva_rawdata_v3.csv_F_PAr,F_Oliva_rawdata_v3.csv_F_PAl,F_Oliva_rawdata_v3.csv_F_CA,F_Oliva_rawdata_v3.csv_F_CAr,F_Oliva_rawdata_v3.csv_F_CAl,F_Oliva_rawdata_v3.csv_F_CP,F_Oliva_rawdata_v3.csv_F_PP,F_Oliva_rawdata_v3.csv_F_CC,F_Oliva_rawdata_v3.csv_F_ArAr,F_Oliva_rawdata_v3.csv_F_AlAl,F_Oliva_rawdata_v3.csv_F_AlAr,F_Oliva_rawdata_v3.csv_F_AAr,F_Oliva_rawdata_v3.csv_F_AAl,F_Oliva_rawdata_v3.csv_F_AA,F_Oliva_rawdata_v3.csv_F_fPA,F_Oliva_rawdata_v3.csv_F_fPAr,F_Oliva_rawdata_v3.csv_F_fPAl,F_Oliva_rawdata_v3.csv_F_fCA,F_Oliva_rawdata_v3.csv_F_fCAr,F_Oliva_rawdata_v3.csv_F_fCAl,F_Oliva_rawdata_v3.csv_F_fCP,F_Oliva_rawdata_v3.csv_F_fPP,F_Oliva_rawdata_v3.csv_F_fCC,F_Oliva_rawdata_v3.csv_F_fAlAl,F_Oliva_rawdata_v3.csv_F_fAlAr,F_Oliva_rawdata_v3.csv_F_fAAl,F_Oliva_rawdata_v3.csv_F_BSA_Apolar_naccess,F_LyonMOBIGroup_MOBI_raw_scores.csv_F_shape,F_LyonMOBIGroup_MOBI_raw_scores.csv_F_hydro,F_FurmanLab_interface_analyzer_disulf.csv_F_I-sc,F_FurmanLab_interface_analyzer_disulf.csv_F_fa-intra-rep,F_FurmanLab_interface_analyzer_disulf.csv_F_sc-value,F_Kiharalab_feature.csv_F_DOVE,F_Kiharalab_feature.csv_F_GNN-DOVE,F_Kiharalab_feature.csv_F_PhysicsScore,F_Kiharalab_feature.csv_F_RosettaInterfaceEnergy,I_Confidence,I_Score,Training
1ewj_2,22878.700000000,12.143680000,0.000000000,667.942000000,-0.476610000,336.000000000,0.598470000,-0.079900000,0.011150000,14.000000000,1.000000000,12.000000000,4.000000000,7.000000000,7.000000000,13.000000000,5.000000000,12.000000000,8.000000000,7.000000000,0.000000000,1.000000000,6.000000000,3.000000000,0.140000000,0.010000000,0.120000000,0.040000000,0.070000000,0.070000000,0.130000000,0.050000000,0.120000000,0.070000000,0.000000000,0.060000000,1013.330000000,0.108636268,0.233707865,-49.009000000,3.658000000,0.641000000,0.040187877,0.582000000,-13247.600000000,-57.861800000,0.083510623,1,0
1fdj_11,67969.200000000,12.051280000,0.000000000,-1051.100000000,-0.341170000,271.000000000,0.141170000,0.037480000,0.009930000,0.000000000,4.000000000,8.000000000,4.000000000,8.000000000,4.000000000,16.000000000,5.000000000,5.000000000,0.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.071000000,0.143000000,0.071000000,0.143000000,0.071000000,0.286000000,0.089000000,0.089000000,0.036000000,0.000000000,0.000000000,144.530000000,0.012988770,0.026219956,-5.930000000,9.163000000,0.650000000,0.020655816,0.635900000,-8348.050000000,-19.285200000,-0.816886965,0,0
1fp3_2,73875.700000000,11.313280000,0.000000000,-1980.840000000,-0.436670000,293.000000000,0.403760000,-0.129920000,-0.001920000,7.000000000,0.000000000,5.000000000,9.000000000,9.000000000,1.000000000,1.000000000,1.000000000,8.000000000,0.000000000,13.000000000,8.000000000,4.000000000,18.000000000,5.000000000,0.079000000,0.000000000,0.056000000,0.101000000,0.101000000,0.011000000,0.011000000,0.011000000,0.090000000,0.146000000,0.090000000,0.202000000,892.690000000,0.034056114,0.223404255,-76.717000000,14.689000000,0.694000000,0.008575048,0.226800000,-18640.800000000,-84.279900000,0.026743411,1,0
1fzv_1,20602.200000000,13.326130000,0.000000000,779.014000000,-0.533050000,320.000000000,0.583350000,-0.257060000,-0.022630000,8.000000000,4.000000000,18.000000000,2.000000000,12.000000000,0.000000000,5.000000000,2.000000000,6.000000000,2.000000000,8.000000000,4.000000000,4.000000000,10.000000000,3.000000000,0.091000000,0.045000000,0.205000000,0.023000000,0.136000000,0.000000000,0.057000000,0.023000000,0.068000000,0.091000000,0.045000000,0.114000000,1446.020000000,0.201402124,0.435458787,469.689000000,2.526000000,0.753000000,0.001741128,0.628300000,-15528.900000000,-19455900.000000000,0.279642799,1,0
1g68_1,47470.800000000,11.538840000,0.000000000,-471.738000000,-0.419270000,280.000000000,0.381160000,-0.142540000,0.010290000,4.000000000,4.000000000,4.000000000,4.000000000,12.000000000,4.000000000,14.000000000,5.000000000,8.000000000,0.000000000,0.000000000,2.000000000,0.000000000,6.000000000,1.000000000,0.059000000,0.059000000,0.059000000,0.059000000,0.176000000,0.059000000,0.206000000,0.074000000,0.118000000,0.000000000,0.029000000,0.088000000,678.890000000,0.110686389,0.245729304,-36.562000000,5.673000000,0.659000000,0.004104883,0.344400000,-10857.700000000,-37.909700000,0.081438143,1,0
1gam_1,17821.700000000,12.273900000,0.000000000,-530.707000000,-0.505690000,149.000000000,0.573540000,-0.218270000,0.014320000,2.000000000,2.000000000,4.000000000,2.000000000,1.000000000,0.000000000,1.000000000,1.000000000,4.000000000,0.000000000,5.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.083000000,0.083000000,0.167000000,0.083000000,0.042000000,0.000000000,0.042000000,0.042000000,0.167000000,0.208000000,0.083000000,0.000000000,195.190000000,0.117223924,0.287769784,-7.222000000,2.817000000,0.654000000,0.000070376,0.581000000,-3612.950000000,-18.935000000,0.747894452,1,0
1gyl_1,64717.300000000,11.978030000,0.000000000,3000.060000000,-0.318140000,366.000000000,0.300290000,0.102970000,0.015110000,2.000000000,3.000000000,13.000000000,7.000000000,29.000000000,5.000000000,19.000000000,7.000000000,21.000000000,0.000000000,5.000000000,3.000000000,0.000000000,5.000000000,0.000000000,0.017000000,0.025000000,0.109000000,0.059000000,0.244000000,0.042000000,0.160000000,0.059000000,0.176000000,0.042000000,0.025000000,0.042000000,580.170000000,0.040754923,0.067708333,413.082000000,13.696000000,0.648000000,0.000000435,0.214000000,-15644.300000000,-17.487800000,-0.477524944,0,0
1h1y_1,38357.200000000,11.687140000,0.000000000,-1524.660000000,-0.445060000,244.000000000,0.625620000,-0.314330000,-0.005120000,6.000000000,2.000000000,10.000000000,0.000000000,4.000000000,2.000000000,6.000000000,3.000000000,5.000000000,1.000000000,21.000000000,6.000000000,4.000000000,10.000000000,0.000000000,0.075000000,0.025000000,0.125000000,0.000000000,0.050000000,0.025000000,0.075000000,0.038000000,0.062000000,0.262000000,0.075000000,0.125000000,685.620000000,0.063336043,0.338877339,-48.679000000,4.734000000,0.762000000,0.000002659,0.431500000,-16325.400000000,-54.045300000,0.963622800,1,0
1h3i_1,55695.200000000,12.139320000,0.000000000,593.769000000,-0.364860000,397.000000000,0.394120000,-0.148630000,-0.009240000,4.000000000,11.000000000,7.000000000,0.000000000,0.000000000,7.000000000,4.000000000,2.000000000,1.000000000,10.000000000,4.000000000,16.000000000,11.000000000,2.000000000,0.000000000,0.051000000,0.139000000,0.089000000,0.000000000,0.000000000,0.089000000,0.051000000,0.025000000,0.013000000,0.051000000,0.203000000,0.025000000,922.320000000,0.050449084,0.171912833,235.514000000,8.319000000,0.580000000,0.111698650,0.510100000,-17595.600000000,-61.697500000,-0.415844902,0,0
1hjr_1,30587.900000000,12.830490000,0.000000000,238.462000000,-0.388870000,246.000000000,0.523400000,-0.178750000,-0.004010000,4.000000000,2.000000000,5.000000000,2.000000000,12.000000000,2.000000000,3.000000000,1.000000000,1.000000000,1.000000000,23.000000000,3.000000000,0.000000000,12.000000000,1.000000000,0.056000000,0.028000000,0.069000000,0.028000000,0.167000000,0.028000000,0.042000000,0.014000000,0.014000000,0.319000000,0.042000000,0.167000000,985.390000000,0.120527592,0.290371880,-27.389000000,4.780000000,0.649000000,0.000000062,0.240000000,-12958.900000000,-46.157300000,0.524014101,1,0
1hux_1,47177.300000000,12.434710000,0.000000000,-792.382000000,-0.407570000,131.000000000,0.297690000,-0.192820000,-0.004320000,0.000000000,3.000000000,2.000000000,2.000000000,1.000000000,8.000000000,2.000000000,0.000000000,0.000000000,0.000000000,5.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0.000000000,0.097000000,0.065000000,0.065000000,0.032000000,0.258000000,0.065000000,0.000000000,0.000000000,0.161000000,0.065000000,0.065000000,-54.420000000,0.028378758,0.163761226,-22.913000000,7.588000000,0.741000000,0.006939098,0.632900000,-12627.500000000,-27.625100000,0.433310128,1,0
1ii2_1,92137.100000000,11.488420000,0.000000000,-668.524000000,-0.433290000,139.000000000,0.448120000,-0.154960000,0.000960000,2.000000000,2.000000000,6.000000000,2.000000000,6.000000000,2.000000000,2.000000000,2.000000000,2.000000000,1.000000000,4.000000000,4.000000000,2.000000000,6.000000000,0.000000000,0.047000000,0.047000000,0.140000000,0.047000000,0.140000000,0.047000000,0.047000000,0.047000000,0.047000000,0.093000000,0.093000000,0.140000000,-395.210000000,0.020728060,0.120748299,-28.950000000,11.618000000,0.695000000,0.051714018,0.516000000,-18310.400000000,-39.562200000,0.413905998,1,0
1iqc_1,57062.300000000,11.947720000,0.000000000,-2662.080000000,-0.293640000,475.000000000,0.427020000,-0.267670000,-0.009950000,6.000000000,17.000000000,18.000000000,6.000000000,4.000000000,9.000000000,5.000000000,4.000000000,3.000000000,5.000000000,5.000000000,11.000000000,6.000000000,17.000000000,6.000000000,0.049000000,0.139000000,0.148000000,0.049000000,0.033000000,0.074000000,0.041000000,0.033000000,0.025000000,0.041000000,0.090000000,0.139000000,1761.550000000,0.125479323,0.296980900,-96.487000000,6.991000000,0.698000000,0.128434047,0.160700000,-28995.800000000,-112.832000000,0.185179056,1,0
1is3_1,25467.500000000,11.812380000,0.000000000,-528.289000000,-0.548510000,190.000000000,0.794150000,-0.333180000,-0.002760000,4.000000000,0.000000000,8.000000000,0.000000000,10.000000000,2.000000000,4.000000000,0.000000000,8.000000000,0.000000000,14.000000000,4.000000000,2.000000000,2.000000000,0.000000000,0.069000000,0.000000000,0.138000000,0.000000000,0.172000000,0.034000000,0.069000000,0.000000000,0.138000000,0.241000000,0.069000000,0.034000000,524.450000000,0.061288816,0.406727829,-48.906000000,2.948000000,0.693000000,0.007954970,0.623600000,-9247.350000000,-49.511900000,1.188599204,1,0
1ixq_2,42349.300000000,11.936100000,0.000000000,-1176.720000000,-0.415550000,258.000000000,0.588520000,-0.305150000,-0.004590000,4.000000000,0.000000000,5.000000000,6.000000000,7.000000000,2.000000000,2.000000000,2.000000000,8.000000000,0.000000000,14.000000000,0.000000000,0.000000000,13.000000000,5.000000000,0.059000000,0.000000000,0.074000000,0.088000000,0.103000000,0.029000000,0.029000000,0.029000000,0.118000000,0.206000000,0.000000000,0.191000000,713.590000000,0.074970998,0.211143695,-27.981000000,6.339000000,0.713000000,0.040187877,0.635800000,-15374.200000000,-55.599900000,0.693285882,1,0
1j36_3,111801.000000000,11.408270000,0.000000000,-3179.010000000,-0.373030000,340.000000000,0.404080000,-0.174200000,0.002980000,0.000000000,0.000000000,0.000000000,4.000000000,15.000000000,7.000000000,6.000000000,0.000000000,39.000000000,1.000000000,3.000000000,4.000000000,0.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.049000000,0.185000000,0.086000000,0.074000000,0.000000000,0.481000000,0.037000000,0.049000000,0.025000000,-173.040000000,0.018626667,0.065853659,28.366000000,18.675000000,0.456000000,0.001023187,0.550000000,-22317.900000000,-19.563500000,-1.146748878,0,0
1jbg_1,23666.600000000,13.743670000,0.000000000,-690.463000000,-0.335370000,244.000000000,0.415030000,-0.408070000,-0.032770000,0.000000000,4.000000000,10.000000000,6.000000000,10.000000000,0.000000000,5.000000000,0.000000000,7.000000000,0.000000000,10.000000000,0.000000000,0.000000000,8.000000000,3.000000000,0.000000000,0.063000000,0.159000000,0.095000000,0.159000000,0.000000000,0.079000000,0.000000000,0.111000000,0.159000000,0.000000000,0.127000000,1194.670000000,0.130867110,0.432692308,-11.319000000,4.200000000,0.683000000,0.000079241,0.120900000,-15250.500000000,-58.116400000,0.610749414,1,0
1jm0_2,11119.600000000,13.593640000,0.000000000,-322.680000000,-0.405020000,217.000000000,0.572550000,-0.413030000,-0.088070000,0.000000000,0.000000000,5.000000000,0.000000000,5.000000000,8.000000000,1.000000000,0.000000000,11.000000000,1.000000000,18.000000000,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.088000000,0.000000000,0.088000000,0.140000000,0.018000000,0.000000000,0.193000000,0.316000000,0.140000000,0.000000000,1245.230000000,0.211237335,0.430622010,-47.528000000,1.591000000,0.629000000,0.040187877,0.305800000,-10174.600000000,-41.682500000,0.701598030,1,0
1jr9_1,37592.100000000,11.881190000,0.000000000,-2221.570000000,-0.404750000,208.000000000,0.496670000,-0.283760000,-0.006000000,2.000000000,4.000000000,4.000000000,0.000000000,0.000000000,8.000000000,6.000000000,1.000000000,3.000000000,1.000000000,0.000000000,4.000000000,0.000000000,2.000000000,0.000000000,0.057000000,0.114000000,0.114000000,0.000000000,0.000000000,0.229000000,0.171000000,0.029000000,0.086000000,0.000000000,0.114000000,0.057000000,526.000000000,0.087752027,0.359550562,64.355000000,6.387000000,0.560000000,0.010354169,0.381700000,-16181.200000000,-24.903900000,0.463175543,1,0
1k1y_4,118189.000000000,11.049830000,0.000000000,-3073.050000000,-0.451260000,392.000000000,0.402620000,-0.256500000,0.000280000,4.000000000,8.000000000,2.000000000,4.000000000,0.000000000,22.000000000,12.000000000,1.000000000,30.000000000,3.000000000,0.000000000,0.000000000,2.000000000,2.000000000,1.000000000,0.044000000,0.088000000,0.022000000,0.044000000,0.000000000,0.242000000,0.132000000,0.011000000,0.330000000,0.000000000,0.000000000,0.022000000,-203.860000000,0.080859997,0.071658615,-26.325000000,18.870000000,0.486000000,0.011167105,0.175500000,-19230.200000000,-28.315500000,-1.044259903,0,0
1k46_1,23962.100000000,12.691790000,0.000000000,-674.090000000,-0.311480000,584.000000000,0.513680000,-0.316870000,-0.017200000,24.000000000,2.000000000,30.000000000,8.000000000,26.000000000,4.000000000,26.000000000,15.000000000,17.000000000,0.000000000,36.000000000,6.000000000,2.000000000,18.000000000,5.000000000,0.110000000,0.009000000,0.137000000,0.037000000,0.119000000,0.018000000,0.119000000,0.068000000,0.078000000,0.164000000,0.027000000,0.082000000,3018.930000000,0.320617774,0.498853211,205.990000000,3.045000000,0.750000000,0.010325345,0.565500000,-28305.700000000,-0.085559600,0.178190407,1,0
1kho_1,69296.100000000,11.568630000,0.000000000,-1689.420000000,-0.378790000,265.000000000,0.343100000,-0.180100000,-0.002300000,5.000000000,8.000000000,3.000000000,5.000000000,4.000000000,8.000000000,5.000000000,6.000000000,11.000000000,6.000000000,0.000000000,6.000000000,4.000000000,0.000000000,0.000000000,0.070000000,0.113000000,0.042000000,0.070000000,0.056000000,0.113000000,0.070000000,0.085000000,0.155000000,0.000000000,0.085000000,0.000000000,459.610000000,0.022959184,0.055118110,-33.346000000,8.433000000,0.677000000,0.180668265,0.237500000,-11747.400000000,-45.923600000,-0.203251779,0,0
1kie_1,53605.000000000,11.128300000,0.000000000,-242.692000000,-0.436670000,240.000000000,0.452570000,-0.032730000,0.005580000,14.000000000,0.000000000,6.000000000,5.000000000,5.000000000,1.000000000,11.000000000,3.000000000,0.000000000,1.000000000,1.000000000,0.000000000,3.000000000,10.000000000,11.000000000,0.197000000,0.000000000,0.085000000,0.070000000,0.070000000,0.014000000,0.155000000,0.042000000,0.000000000,0.014000000,0.000000000,0.141000000,524.460000000,0.024099802,0.163449163,-16.996000000,8.663000000,0.690000000,0.000015587,0.632500000,-12325.000000000,-36.829700000,0.261658620,1,0
1ku2_1,49263.300000000,12.729530000,0.000000000,-3298.570000000,-0.314900000,513.000000000,0.465350000,-0.260750000,0.001890000,4.000000000,6.000000000,16.000000000,2.000000000,16.000000000,10.000000000,21.000000000,13.000000000,20.000000000,9.000000000,2.000000000,0.000000000,0.000000000,6.000000000,0.000000000,0.032000000,0.048000000,0.128000000,0.016000000,0.128000000,0.080000000,0.168000000,0.104000000,0.160000000,0.016000000,0.000000000,0.048000000,1561.760000000,0.154105737,0.307792208,68.994000000,7.848000000,0.603000000,0.000088427,0.645700000,-21252.400000000,-49.499800000,-0.415073103,0,0
1lkv_6,47212.600000000,13.877900000,0.000000000,-1710.500000000,-0.342000000,272.000000000,0.579180000,-0.276480000,-0.008640000,0.000000000,6.000000000,2.000000000,2.000000000,10.000000000,4.000000000,10.000000000,0.000000000,3.000000000,0.000000000,10.000000000,6.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.109000000,0.036000000,0.036000000,0.182000000,0.073000000,0.182000000,0.000000000,0.055000000,0.182000000,0.109000000,0.000000000,923.190000000,0.024468680,0.171575847,-25.302000000,6.250000000,0.615000000,0.191448778,0.596400000,-17821.600000000,-44.864000000,0.047575059,1,0
1m2a_1,19709.100000000,12.411270000,0.000000000,-360.421000000,-0.520390000,134.000000000,0.827230000,-0.351500000,-0.005370000,10.000000000,2.000000000,0.000000000,1.000000000,1.000000000,4.000000000,0.000000000,3.000000000,0.000000000,6.000000000,0.000000000,2.000000000,4.000000000,0.000000000,6.000000000,0.256000000,0.051000000,0.000000000,0.026000000,0.026000000,0.103000000,0.000000000,0.077000000,0.000000000,0.000000000,0.051000000,0.000000000,266.190000000,0.149523810,0.220394737,-33.322000000,2.735000000,0.811000000,0.000007601,0.583100000,-9529.830000000,-32.402100000,1.540885631,1,0
1m6u_9,51157.200000000,12.128310000,0.000000000,348.978000000,-0.452530000,264.000000000,0.425670000,-0.283070000,0.000400000,0.000000000,2.000000000,2.000000000,4.000000000,14.000000000,8.000000000,15.000000000,2.000000000,20.000000000,0.000000000,2.000000000,4.000000000,0.000000000,2.000000000,0.000000000,0.000000000,0.027000000,0.027000000,0.053000000,0.187000000,0.107000000,0.200000000,0.027000000,0.267000000,0.027000000,0.053000000,0.027000000,502.760000000,0.031797937,0.149741824,71.201000000,7.499000000,0.692000000,0.146596089,0.125100000,-10842.700000000,-34.237600000,-0.060174503,0,0
1mft_1,11749.600000000,13.321540000,0.000000000,-1376.720000000,-0.231120000,269.000000000,0.490570000,-0.448170000,-0.111610000,0.000000000,0.000000000,2.000000000,0.000000000,12.000000000,9.000000000,0.000000000,0.000000000,8.000000000,0.000000000,22.000000000,10.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.032000000,0.000000000,0.190000000,0.143000000,0.000000000,0.000000000,0.127000000,0.349000000,0.159000000,0.000000000,1402.240000000,0.278823178,0.902564103,-38.054000000,1.971000000,0.671000000,0.085524253,0.630200000,-12425.700000000,-47.738100000,1.347843902,1,0
