pdb-id,F_Voronota_glob_light_score,F_Voronota_glob_dark_score,F_Voronota_glob_area,F_Voronota_glob_area_per_atom,F_Voronota_glob_nonprotein_area,F_Voronota_glob_volume,F_Voronota_glob_volume_per_atom,F_Voronota_glob_energy,F_Voronota_glob_energy_norm,F_Voronota_glob_energy_per_atom,F_Voronota_glob_sas_area,F_Voronota_glob_sas_area_per_atom,F_Voronota_glob_sas_energy,F_Voronota_glob_sas_energy_norm,F_Voronota_glob_sas_energy_per_atom,F_Voronota_glob_nonsas_area,F_Voronota_glob_nonsas_area_per_atom,F_Voronota_glob_nonsas_energy,F_Voronota_glob_nonsas_energy_norm,F_Voronota_glob_nonsas_energy_per_atom,F_Voronota_iface_atoms,F_Voronota_iface_atoms_light_score,F_Voronota_iface_area,F_Voronota_iface_energy,F_Voronota_iface_energy_norm,F_Voronota_iface_energy_per_atom,F_Voronota_iface_shelled_energy,F_Voronota_iface_shelled_energy_norm,F_Voronota_iface_shelled_energy_per_atom,F_Voronota_iface_expanded_area,F_Voronota_iface_expanded_energy,F_Voronota_iface_expanded_energy_norm,F_Voronota_iface_expanded_energy_per_atom,F_Voronota_iface_expanded_shelled_energy,F_Voronota_iface_expanded_shelled_energy_norm,F_Voronota_iface_expanded_shelled_energy_per_atom,F_Voronota_split_light_score,F_Voronota_split_dark_score,F_Voronota_split_area,F_Voronota_split_area_per_atom,F_Voronota_split_volume,F_Voronota_split_volume_per_atom,F_Voronota_split_energy,F_Voronota_split_energy_norm,F_Voronota_split_energy_per_atom,F_Voronota_split_sas_area,F_Voronota_split_sas_area_per_atom,F_Voronota_split_sas_energy,F_Voronota_split_sas_energy_norm,F_Voronota_split_sas_energy_per_atom,F_Voronota_split_nonsas_area,F_Voronota_split_nonsas_area_per_atom,F_Voronota_split_nonsas_energy,F_Voronota_split_nonsas_energy_norm,F_Voronota_split_nonsas_energy_per_atom,F_Voronota_diff_glob_light_score,F_Voronota_diff_glob_dark_score,F_Voronota_diff_glob_area,F_Voronota_diff_glob_area_per_atom,F_Voronota_diff_glob_energy,F_Voronota_diff_glob_energy_norm,F_Voronota_diff_glob_energy_per_atom,F_Voronota_diff_glob_volume,F_Voronota_diff_glob_volume_per_atom,F_Voronota_diff_sas_area,F_Voronota_diff_sas_area_per_atom,F_Voronota_diff_sas_energy,F_Voronota_diff_sas_energy_norm,F_Voronota_diff_sas_energy_per_atom,F_Voronota_diff_nonsas_area,F_Voronota_diff_nonsas_area_per_atom,F_Voronota_diff_nonsas_energy,F_Voronota_diff_nonsas_energy_norm,F_Voronota_diff_nonsas_energy_per_atom,Training
1azw_1,0.52714,0.69156,56751,11.28699,0,114968,22.86555,-14105.8,-0.24856,-2.80545,23618.5,4.69739,-281.434,-0.01192,-0.05597,33132.5,6.5896,-13824.366,-0.41724,-2.74948,162,0.33442,583.855,-2.71119,-0.00464,-0.00054,-5.89909,-0.0101,-0.00117,1474.91,-14.1588,-0.0096,-0.00282,-14.1766,-0.00961,-0.00282,0.52763,0.69123,57517.4,11.43942,115878,23.04654,-13968,-0.24285,-2.77804,24886.3,4.94954,-113.499,-0.00456,-0.02257,32631.1,6.48988,-13854.501,-0.42458,-2.75547,-0.00049,0.00034,-766.4,-0.15243,-137.8,-0.00571,-0.02741,-910,-0.18099,-1267.8,-0.25215,-167.935,-0.00736,-0.0334,501.4,0.09972,30.135,0.00733,0.00599,0
1b0w_1,0.59403,0.7288,20298.1,12.0822,0,40433.9,24.0678,-4976.1,-0.24515,-2.96196,10201,6.07202,-469.464,-0.04602,-0.27944,10097.1,6.01018,-4506.636,-0.44633,-2.68252,192,0.58986,699.385,-518.974,-0.74204,-0.30891,-546.698,-0.78168,-0.32542,1430.7,-366.807,-0.25638,-0.21834,-680.346,-0.47553,-0.40497,0.53268,0.70479,21259.4,12.6544,41598.9,24.76125,-4140.27,-0.19475,-2.46445,11659.9,6.94042,-17.8207,-0.00153,-0.01061,9599.5,5.71399,-4122.4493,-0.42944,-2.45384,0.06135,0.02401,-961.3,-0.5722,-835.83,-0.0504,-0.49752,-1165,-0.69345,-1458.9,-0.86839,-451.6433,-0.04449,-0.26884,497.6,0.29619,-384.1867,-0.01689,-0.22868,0
1b23_4,0.54746,0.68511,73395,11.67223,0,150004,23.8556,-18553.7,-0.25279,-2.95065,32219.7,5.124,-2118.14,-0.06574,-0.33685,41175.3,6.54823,-16435.56,-0.39916,-2.6138,256,0.41979,1034.63,-190.288,-0.18392,-0.03026,-194.388,-0.18788,-0.03091,2957.42,-368.409,-0.12457,-0.05859,-401.939,-0.13591,-0.06392,0.54716,0.69229,74738.5,11.88589,151397,24.07713,-18622.9,-0.24917,-2.96166,34422.6,5.47433,-2312.37,-0.06718,-0.36774,40315.9,6.41156,-16310.53,-0.40457,-2.59391,3e-04,-0.00718,-1343.5,-0.21366,69.2,-0.00362,0.01101,-1393,-0.22153,-2202.9,-0.35033,194.23,0.00144,0.03089,859.4,0.13667,-125.03,0.00541,-0.01988,0
1b78_1,0.52532,0.67691,36414.8,12.17886,0,71783.3,24.00779,-9095.09,-0.24976,-3.04184,17924.9,5.99495,-1512.43,-0.08438,-0.50583,18489.9,6.18391,-7582.66,-0.4101,-2.53601,243,0.54944,927.163,-582.811,-0.6286,-0.19492,-618.711,-0.66732,-0.20693,2019.54,-390.777,-0.1935,-0.13069,-749.392,-0.37107,-0.25063,0.49129,0.65803,37632,12.58595,73381.8,24.54241,-8071.04,-0.21447,-2.69934,19824.2,6.63017,-873.55,-0.04406,-0.29216,17807.8,5.95579,-7197.49,-0.40418,-2.40719,0.03403,0.01888,-1217.2,-0.40709,-1024.05,-0.03529,-0.34249,-1598.5,-0.53462,-1899.3,-0.63522,-638.88,-0.04031,-0.21367,682.1,0.22813,-385.17,-0.00592,-0.12882,0
1bgf_1,0.51127,0.64111,26259.1,12.8974,0,50788.2,24.94509,-5556.35,-0.2116,-2.72905,13628.3,6.69366,-466.099,-0.0342,-0.22893,12630.8,6.20373,-5090.251,-0.403,-2.50012,270,0.67517,1041.99,-748.506,-0.71834,-0.36764,-775.643,-0.74439,-0.38096,2531.33,-995.132,-0.39313,-0.48877,-1290.1,-0.50965,-0.63364,0.44015,0.5899,27656.2,13.5836,52518.5,25.79494,-4465.53,-0.16147,-2.19329,15755.3,7.73836,56.6258,0.00359,0.02781,11900.9,5.84524,-4522.1558,-0.37998,-2.2211,0.07111,0.05121,-1397.1,-0.6862,-1090.82,-0.05013,-0.53577,-1730.3,-0.84985,-2127,-1.0447,-522.7248,-0.03779,-0.25674,729.9,0.3585,-568.0952,-0.02302,-0.27903,0
1bhm_1,0.55512,0.71094,37865.9,11.81095,0,76013.1,23.70964,-8876.25,-0.23441,-2.76864,17459.7,5.44595,-465.612,-0.02667,-0.14523,20406.2,6.365,-8410.638,-0.41216,-2.62341,245,0.58832,1011.71,-432.327,-0.42732,-0.13485,-435.842,-0.4308,-0.13595,2257.07,-850.692,-0.3769,-0.26534,-874.373,-0.38739,-0.27273,0.53464,0.69436,39202.8,12.22795,77706.8,24.23793,-8688.67,-0.22163,-2.71013,19504.8,6.08384,-705.077,-0.03615,-0.21992,19698,6.1441,-7983.593,-0.4053,-2.4902,0.02048,0.01658,-1336.9,-0.417,-187.58,-0.01278,-0.05851,-1693.7,-0.52829,-2045.1,-0.6379,239.465,0.00948,0.07469,708.2,0.2209,-427.045,-0.00686,-0.1332,0
1bjj_9,0.41583,0.58506,24808,12.76132,0,47830.9,24.60437,-3734.64,-0.15054,-1.92111,13387.4,6.88652,693.307,0.05179,0.35664,11420.6,5.87479,-4427.947,-0.38772,-2.27775,78,0.12111,296.461,-25.6034,-0.08636,-0.01317,-21.4306,-0.07229,-0.01102,739.335,-20.941,-0.02832,-0.01077,-25.0698,-0.03391,-0.0129,0.41657,0.5864,25211.3,12.96878,48321.7,24.85684,-3574.05,-0.14176,-1.8385,14006.8,7.20514,803.002,0.05733,0.41307,11204.5,5.76363,-4377.052,-0.39065,-2.25157,-0.00074,-0.00134,-403.3,-0.20746,-160.59,-0.00878,-0.08261,-490.8,-0.25247,-619.4,-0.31862,-109.695,-0.00554,-0.05643,216.1,0.11116,-50.895,0.00294,-0.02618,0
1bjt_1,0.51165,0.65446,137291,12.2625,0,273270,24.40782,-32361.4,-0.23571,-2.89044,66846.3,5.97055,-3145.53,-0.04706,-0.28095,70444.7,6.29195,-29215.87,-0.41473,-2.60949,476,0.5309,1934.23,-986.198,-0.50987,-0.08808,-1044.9,-0.54021,-0.09333,4706.39,-1313.07,-0.279,-0.11728,-1716.13,-0.36464,-0.15328,0.49775,0.64439,139844,12.49053,276595,24.70481,-30726.8,-0.21972,-2.74444,70880.3,6.33086,-2278.82,-0.03215,-0.20354,68963.7,6.15967,-28447.98,-0.41251,-2.54091,0.0139,0.01007,-2553,-0.22803,-1634.6,-0.01599,-0.146,-3325,-0.29698,-4034,-0.36031,-866.71,-0.01491,-0.07741,1481,0.13228,-767.89,-0.00223,-0.06859,0
1bp6_1,0.50245,0.65224,61458.4,11.88291,0,123561,23.89037,-13944.4,-0.22689,-2.69613,28889.5,5.58575,-33.3682,-0.00116,-0.00645,32568.9,6.29716,-13911.0318,-0.42713,-2.68968,191,0.38415,713.102,-193.947,-0.27198,-0.0375,-191.693,-0.26882,-0.03706,1733,-393.017,-0.22678,-0.07599,-409.957,-0.23656,-0.07926,0.50027,0.6521,62397.6,12.0645,124531,24.07792,-14008.1,-0.2245,-2.70845,30411.6,5.88005,-264.701,-0.0087,-0.05118,31986,6.18445,-13743.399,-0.42967,-2.65727,0.00217,0.00014,-939.2,-0.18159,63.7,-0.00239,0.01232,-970,-0.18755,-1522.1,-0.2943,231.3328,0.00755,0.04473,582.9,0.1127,-167.6328,0.00254,-0.03241,0
1br1_20,0.33871,0.48984,154033,12.29019,0,281986,22.49948,-14387.3,-0.0934,-1.14795,76819.2,6.12935,5425.56,0.07063,0.4329,77213.8,6.16084,-19812.86,-0.2566,-1.58086,310,0.17714,1168.59,-266.445,-0.22801,-0.02126,-300.181,-0.25687,-0.02395,3789.14,-257.28,-0.0679,-0.02053,-444.758,-0.11738,-0.03549,0.33683,0.48948,155678,12.42145,284035,22.66297,-14017.1,-0.09004,-1.11842,79283.5,6.32598,5574.16,0.07031,0.44476,76394.5,6.09547,-19591.26,-0.25645,-1.56317,0.00188,0.00036,-1645,-0.13125,-370.2,-0.00336,-0.02954,-2049,-0.16349,-2464.3,-0.19662,-148.6,0.00032,-0.01186,819.3,0.06537,-221.6,-0.00015,-0.01768,0
1bs2_4,0.52539,0.66026,116062,11.90624,0,230894,23.68629,-29578.4,-0.25485,-3.0343,52313.4,5.36658,-4839.2,-0.0925,-0.49643,63748.6,6.53966,-24739.2,-0.38807,-2.53787,278,0.33816,1103.41,-152.503,-0.13821,-0.01564,-139.572,-0.12649,-0.01432,2878.25,-253.389,-0.08804,-0.02599,-269.981,-0.0938,-0.0277,0.52456,0.6592,117504,12.05416,232725,23.87413,-29496.3,-0.25102,-3.02588,54599.9,5.60114,-4833.44,-0.08852,-0.49584,62904.1,6.45303,-24662.86,-0.39207,-2.53004,0.00083,0.00106,-1442,-0.14793,-82.1,-0.00383,-0.00842,-1831,-0.18783,-2286.5,-0.23456,-5.76,-0.00398,-0.00059,844.5,0.08663,-76.34,0.004,-0.00783,0
1bws_1,0.49522,0.65182,59646.1,12.03027,0,118504,23.90157,-12635.8,-0.21185,-2.54857,27695.7,5.58606,721.932,0.02607,0.14561,31950.4,6.44421,-13357.732,-0.41808,-2.69418,156,0.34542,578.096,-66.0924,-0.11433,-0.01333,-66.715,-0.1154,-0.01346,1716.89,-117.147,-0.06823,-0.02363,-129.359,-0.07534,-0.02609,0.49546,0.6574,60416.3,12.18562,119402,24.08269,-12648,-0.20935,-2.55103,28921.6,5.83332,666.515,0.02305,0.13443,31494.7,6.3523,-13314.515,-0.42275,-2.68546,-0.00025,-0.00557,-770.2,-0.15534,12.2,-0.0025,0.00246,-898,-0.18112,-1225.9,-0.24726,55.417,0.00302,0.01118,455.7,0.09191,-43.217,0.00468,-0.00872,0
1bww_1,0.58913,0.72696,20362.8,12.07758,0,41401.9,24.55629,-5155.46,-0.25318,-3.05781,10231.3,6.06839,-275.557,-0.02693,-0.16344,10131.5,6.00919,-4879.903,-0.48166,-2.89437,178,0.52887,697.745,-465.128,-0.66662,-0.27588,-481.108,-0.68952,-0.28535,1650.43,-347.999,-0.21085,-0.20641,-622.614,-0.37724,-0.36928,0.53587,0.70901,21284.3,12.62414,42448.5,25.17705,-4413.09,-0.20734,-2.61749,11690.6,6.93393,98.716,0.00844,0.05855,9593.7,5.69021,-4511.806,-0.47029,-2.67604,0.05327,0.01795,-921.5,-0.54656,-742.37,-0.04584,-0.44031,-1046.6,-0.62076,-1459.3,-0.86554,-374.273,-0.03538,-0.22199,537.8,0.31898,-368.097,-0.01137,-0.21833,0
1c16_14,0.50257,0.65115,52160.2,12.58996,0,103528,24.98866,-11047.4,-0.2118,-2.66652,27567.5,6.65399,-324.894,-0.01179,-0.07842,24592.7,5.93596,-10722.506,-0.436,-2.5881,262,0.55305,1128.87,-572.799,-0.50741,-0.13826,-632.343,-0.56016,-0.15263,2601.39,-565.002,-0.21719,-0.13638,-907.851,-0.34899,-0.21913,0.47599,0.63778,53625.5,12.94364,105219,25.39681,-10311.2,-0.19228,-2.48882,29909.1,7.21919,9.13454,0.00031,0.0022,23716.4,5.72445,-10320.33454,-0.43516,-2.49103,0.02658,0.01337,-1465.3,-0.35368,-736.2,-0.01952,-0.1777,-1691,-0.40816,-2341.6,-0.56519,-334.02854,-0.01209,-0.08062,876.3,0.21151,-402.17146,-0.00085,-0.09707,0
1c3g_1,0.44341,0.64288,35344.1,13.12931,0,68623.7,25.49172,-6862.98,-0.19418,-2.5494,20337,7.55461,-1163.08,-0.05719,-0.43205,15007.1,5.5747,-5699.9,-0.37981,-2.11735,152,0.58421,603.047,-211.491,-0.3507,-0.07856,-212.373,-0.35217,-0.07889,1345.48,-352.484,-0.26198,-0.13094,-390.495,-0.29023,-0.14506,0.43183,0.63764,36129.4,13.42103,69562.8,25.84056,-6805.76,-0.18837,-2.52814,21591.4,8.02058,-1268.31,-0.05874,-0.47114,14538,5.40045,-5537.45,-0.38089,-2.057,0.01158,0.00523,-785.3,-0.29172,-57.22,-0.0058,-0.02126,-939.1,-0.34885,-1254.4,-0.46597,105.23,0.00155,0.03909,469.1,0.17426,-162.45,0.00108,-0.06035,0
1cd0_1,0.53795,0.70965,20133.3,12.05587,0,39995.9,23.94964,-4338.2,-0.21547,-2.59772,10199.3,6.10737,0.39206,4e-05,0.00023,9934,5.9485,-4338.59206,-0.43674,-2.59796,202,0.5076,736.83,-430.951,-0.58487,-0.25805,-453.441,-0.61539,-0.27152,1622.28,-388.074,-0.23922,-0.23238,-617.092,-0.38039,-0.36952,0.49418,0.68157,21124.2,12.64922,41290.2,24.72467,-3733.95,-0.17676,-2.2359,11737.7,7.02856,306.951,0.02615,0.1838,9386.5,5.62066,-4040.901,-0.4305,-2.4197,0.04376,0.02808,-990.9,-0.59335,-604.25,-0.03871,-0.36183,-1294.3,-0.77503,-1538.4,-0.9212,-306.55894,-0.02611,-0.18357,547.5,0.32784,-297.69106,-0.00624,-0.17826,0
1cd8_1,0.60847,0.72144,21874,12.07174,0,43804.4,24.17461,-6104.48,-0.27907,-3.36892,10942.3,6.0388,-25.2451,-0.00231,-0.01393,10931.7,6.03295,-6079.2349,-0.55611,-3.35499,278,0.58847,1027.27,-513.52,-0.49989,-0.2834,-555.064,-0.54033,-0.30633,2206.03,-483.855,-0.21933,-0.26703,-759.881,-0.34446,-0.41936,0.54725,0.69566,23269,12.84161,45594.5,25.16253,-5078.92,-0.21827,-2.80294,13030.3,7.19111,703.5,0.05399,0.38825,10238.7,5.6505,-5782.42,-0.56476,-3.19118,0.06122,0.02578,-1395,-0.76987,-1025.56,-0.0608,-0.56598,-1790.1,-0.98791,-2088,-1.15232,-728.7451,-0.0563,-0.40218,693,0.38245,-296.8149,0.00865,-0.16381,0
1cdt_1,0.44688,0.68382,12432.4,13.51348,0,24107.4,26.2037,-1762.14,-0.14174,-1.91537,7071.73,7.68666,630.631,0.08918,0.68547,5360.67,5.82682,-2392.771,-0.44636,-2.60084,116,0.6881,462.169,-241.64,-0.52284,-0.26265,-259.492,-0.56147,-0.28206,1147.09,-179.378,-0.15638,-0.19498,-335.419,-0.29241,-0.36459,0.38509,0.62786,13033.5,14.16685,24898.3,27.06337,-1333.73,-0.10233,-1.44971,8046.99,8.74673,881.044,0.10949,0.95766,4986.51,5.42012,-2214.774,-0.44415,-2.40736,0.06179,0.05596,-601.1,-0.65337,-428.41,-0.03941,-0.46566,-790.9,-0.85967,-975.26,-1.06007,-250.413,-0.02031,-0.27219,374.16,0.4067,-177.997,-0.0022,-0.19348,0
