pdb,F_I-sc,F_dG-cross/dSASAx100,F_dG-separated/dSASAx100,F_dSASA-polar,F_fa-dun,F_fa-intra-rep,F_fa-intra-sol-xover4,F_sc-value
1rtv_1,-1.086,-2.008,-1.439,513.905,1328.034,7.386,80.868,0.68
1rz6_2,0.636,-1.529,-0.758,632.01,1277.927,6.988,122.395,0.625
1s9c_6,-44.327,-3.365,-2.803,586.635,1344.031,7.656,101.717,0.624
1s9p_1,-42.358,-2.099,-1.31,1330.034,1132.922,9.266,92.317,0.598
1s9p_5,28.728,-1.691,-1.072,440.589,1113.716,9.266,94.704,0.555
1se8_1,-11.493,-1.726,-0.719,612.182,1246.663,4.344,88.961,0.619
1sfl_1,-30.475,-2.822,-1.141,819.923,1314.426,7.173,111.391,0.664
1sfr_4,-36.065,-2.214,33.295,396.825,1162.059,6.272,108.22,0.634
1si5_3,-14.905,-0.658,89.628,905.838,1158.26,5.102,77.032,0.523
1slb_2,-37.809,-3.307,-3.077,551.696,743.755,3.336,57.282,0.767
1som_1,-11.662,-1.175,104.532,747.47,2787.808,13.687,237.728,0.534
1srr_1,-10.529,-1.045,2.039,365.458,1046.133,5.447,60.691,0.469
1sw2_4,9.413,-1.134,1.519,914.758,1959.652,6.513,123.744,0.576
1sxs_1,-52.938,-3.835,40.608,514.192,537.35,3.239,51.82,0.759
1syq_8,3.251,-1.204,-0.542,851.951,2099.997,8.177,107.956,0.624
1t0i_1,-63.718,-2.399,-2.174,1266.824,1252.243,4.847,70.561,0.654
1t1e_2,61.757,-1.639,-0.946,2867.024,1790.704,11.699,183.828,0.588
1t1l_1,-5.827,-1.003,0.205,668.217,2976.444,13.943,177.633,0.431
1t3w_1,-87.983,-3.41,-2.526,609.992,1670.806,3.681,67.732,0.699
1taq_5,73384.414,907.56,855.605,1688.597,15573.545,1387.993,540.906,0.0
1tf5_1,-32.574,-1.476,-0.576,1192.326,4296.724,22.751,385.815,0.443
1tfg_1,789.555,-2.956,42.521,714.808,695.217,2.815,48.108,0.659
1tmk_1,-60.111,-3.781,-3.138,419.746,1129.752,5.728,93.672,0.753
1to0_3,-30.446,-2.468,-1.373,906.921,967.974,4.779,70.593,0.6
1to4_1,-47.779,-3.622,39.457,463.056,399.856,2.417,48.898,0.729
1tvd_1,-40.515,-2.692,85.282,661.089,561.54,2.71,43.447,0.699
1txn_1,475.137,-1.507,-0.65,2476.879,1116.557,6.33,119.037,0.551
1tz3_1,8.833,-0.973,0.614,707.913,1592.044,9.346,115.525,0.648
1u07_1,-82.98,-3.902,-3.552,1227.659,577.728,2.024,36.577,0.74
1u20_1,-87.218,-3.347,-2.761,1090.845,838.208,4.323,98.054,0.716
1u2j_24,37.564,-2.123,-0.637,850.144,2707.717,13.268,129.535,0.612
1u3z_1,-37.408,-3.364,-1.593,377.057,498.638,2.34,47.244,0.828
1u4m_1,-54.329,-3.693,6.77,589.284,232.865,1.54,26.329,0.725
1uat_2,-22.743,-2.093,46.33,315.693,785.614,2.682,46.579,0.63
1ud0_7,-6.224,-1.003,1.39,1300.093,744.171,2.937,40.099,0.602
1udv_1,-14.839,-2.555,-2.282,589.988,449.37,2.721,46.143,0.601
1uer_2,-36.089,-2.67,-1.539,576.294,1141.719,5.771,93.036,0.755
1ujk_3,473.695,0.0,0.0,0.0,600.423,3.745,68.492,0.0
1ujn_1,-53.751,-2.932,-2.678,751.212,1194.042,8.1,125.042,0.664
1ukg_1,-52.628,-3.106,-2.887,812.613,795.726,5.096,87.814,0.701
1uou_1,-54.597,-2.767,-1.07,569.388,2416.759,8.269,149.569,0.785
1usm_1,-36.877,-2.904,-2.461,472.621,287.531,1.734,42.606,0.651
1uvz_3,-12.344,-1.808,-1.197,309.51,841.995,2.229,45.656,0.687
1v2a_1,-62.038,-2.008,0.238,858.836,1267.172,6.911,112.342,0.592
1v2z_1,-43.222,-2.41,-1.383,615.771,690.788,2.502,47.493,0.64
1v4t_4,13.13,-0.253,2.753,827.527,3284.76,14.353,208.532,0.548
1v4v_1,-86.557,-3.496,-2.867,593.456,1570.511,9.614,153.125,0.74
1v98_2,-16.017,-1.413,-1.369,668.276,351.247,3.433,38.579,0.461
1vez_2,-41.283,-2.989,-2.852,629.557,739.542,4.555,73.523,0.755
1vg9_2,-39.902,-2.244,-1.544,961.116,2683.829,13.37,225.07,0.641
1vh0_8,-30.288,-1.715,-1.033,1023.61,1157.901,4.903,78.491,0.735
1vic_7,-33.106,-1.577,0.097,1263.877,1007.221,6.281,109.236,0.581
1vok_6,31.657,-0.008,2.625,984.061,1296.223,6.347,84.834,0.659
1vpl_1,52.669,-0.296,1.198,690.551,1212.73,5.787,94.209,0.492
1vqu_1,-64.753,-3.3,-2.552,379.447,1394.321,6.465,102.035,0.798
1vr0_1,-61.294,-3.13,-2.595,831.574,1263.725,5.742,91.727,0.611
1wac_4,260.972,-0.306,1.044,1219.57,4328.436,25.888,292.162,0.569
1wlg_3,-46.562,-2.35,-1.333,1279.446,1268.108,5.317,110.749,0.626
1wn2_1,-64.949,-3.068,-2.92,566.032,480.205,2.966,48.427,0.681
1wtc_1,36.228,-2.033,-0.768,822.427,1176.687,8.159,128.664,0.749
1wwp_1,32.056,-1.512,-0.336,745.713,754.863,3.229,56.259,0.633
1x1p_3,21.915,-0.697,1.35,1330.329,1338.148,6.08,95.041,0.575
1xef_2,-40.202,-1.815,-0.69,1324.071,1309.871,5.136,101.37,0.635
1xew_4,95.368,-1.532,-1.02,1182.653,778.19,5.489,54.644,0.435
1xi1_1,-18.39,-1.172,-0.539,1208.892,3110.783,17.277,231.276,0.512
1xi3_1,-37.362,-3.025,-2.741,630.041,669.729,4.156,78.486,0.683
1xkv_1,-17.473,-1.466,-0.695,954.442,2193.291,13.222,230.983,0.547
1xkz_2,-18.592,-2.171,-1.272,621.181,1071.571,5.26,111.989,0.689
1xlu_1,946.341,94.904,233.004,198.919,2922.593,11.241,228.527,0.61
1xrc_5,33.701,1.581,5.781,725.582,3340.828,10.648,170.117,0.653
1xre_1,-30.833,-2.278,-1.518,608.675,1047.514,4.547,91.786,0.751
1xso_1,-53.425,-3.902,38.762,403.427,652.682,2.759,47.656,0.834
1xsv_1,-50.384,-3.042,-2.249,697.396,560.374,2.98,63.825,0.712
1xty_2,-43.664,-2.621,-2.445,491.142,438.682,3.008,47.704,0.667
1xub_1,-14.009,-1.556,-1.075,845.039,927.754,5.616,100.573,0.588
1xuq_1,-36.141,-2.335,-1.309,544.958,921.295,3.92,94.245,0.752
1xur_1,-47.533,-2.876,-2.247,852.858,604.01,3.828,71.13,0.715
1xvq_2,961.219,55.269,55.769,647.482,497.051,3.376,45.822,0.584
1xwb_5,-13.57,-2.239,0.054,546.271,682.018,3.457,40.618,0.672
1y67_1,-39.594,-2.204,-1.301,686.4,795.603,3.735,87.549,0.779
1y6h_3,-23.907,-1.314,1.364,967.857,760.982,4.666,76.707,0.687
1y7h_2,-36.781,-2.068,-2.163,444.503,1426.198,6.721,118.614,0.678
1y7y_1,-56.216,-3.69,-3.4,276.188,302.131,2.259,29.755,0.763
1yad_2,-39.477,-2.56,-0.204,554.723,760.537,4.877,84.878,0.696
1yae_9,-27.71,-1.717,-0.618,1101.582,2587.152,7.49,112.286,0.534
1ybz_2,-138.115,-3.402,-2.556,882.478,277.833,1.844,33.909,0.712
1ye5_1,-42.84,-2.274,-0.489,735.617,716.721,4.299,65.934,0.709
1yem_1,-66.692,-3.807,-3.443,445.303,805.586,4.037,73.765,0.686
1yln_1,-53.258,-1.774,-1.368,1714.278,1067.693,6.334,96.745,0.638
1ysj_1,-48.197,-2.7,-2.146,950.514,1609.471,7.174,143.307,0.644
1yv9_1,-6.581,-0.925,-0.252,695.497,1347.132,7.327,102.84,0.406
1yvl_4,-4.187,0.0,0.0,0.0,5178.332,25.012,328.093,0.0
1z72_1,-58.536,-3.266,-1.98,618.177,878.612,4.723,101.736,0.675
1z9p_1,-31.702,-2.234,34.04,288.145,534.798,2.946,58.894,0.716
1zbh_2,-26.477,-1.537,-0.51,977.228,1843.702,6.19,126.471,0.542
1zbr_1,-45.405,-2.597,-1.997,534.768,2128.944,9.239,164.071,0.763
1zc6_1,0.508,-1.957,-0.931,708.6,1343.923,5.958,96.408,0.609
1zcj_3,-37.5,-1.315,-0.428,1314.412,2448.037,12.825,191.587,0.547
1zh2_1,17.715,-2.614,-2.23,1168.257,697.416,3.183,48.914,0.663
1zjj_1,-62.527,-2.955,-2.367,811.654,1254.695,7.489,107.646,0.665
1zlj_1,-22.745,-1.621,-1.135,355.91,395.648,1.675,26.05,0.592
1zp7_1,-45.618,-2.09,-1.685,892.076,1012.429,4.198,78.045,0.645
1zsz_1,-16.263,-1.182,-0.814,450.261,433.078,2.739,47.629,0.732
1zxk_1,-72.889,-3.611,-3.148,752.824,504.159,2.055,40.589,0.748
1zy2_1,-24.17,-3.296,-3.088,243.462,847.269,6.039,61.022,0.761
1zzh_2,24.931,-0.214,0.831,736.659,1547.995,8.162,120.808,0.552
2a4a_3,-36.775,-2.836,-1.902,615.564,1136.434,5.281,95.076,0.807
2a67_2,87.793,-2.153,-1.001,703.922,828.146,3.743,67.609,0.628
2a8f_1,-31.585,-2.71,161.035,221.02,284.659,1.82,25.671,0.71
2ac1_3,-3.145,-1.341,21.176,1553.323,2452.438,14.016,246.371,0.498
2aca_1,-18.226,-2.557,-2.008,937.618,983.196,4.771,83.552,0.758
2ahm_21,2.0,-1.836,-1.298,727.696,831.809,4.11,66.582,0.69
2ajq_9,-28.84,-1.843,-2.244,962.907,3804.731,19.736,343.475,0.593
2aps_1,-41.019,-2.524,32.064,464.92,670.816,2.962,61.882,0.723
2ar8_1,-22.531,-1.342,-0.882,1025.443,2336.252,11.448,228.988,0.67
2axi_3,2082.957,0.0,388.982,249.353,699.804,4.249,46.781,0.392
2b0u_18,216.172,2.529,409.951,1239.517,1863.795,7.644,99.029,0.481
2b5a_1,-69.23,-4.343,-3.728,557.053,295.988,1.843,35.723,0.768
2b7l_1,5.654,-0.743,2.275,631.959,741.707,4.52,71.623,0.588
