pdb-id,I_DLScoreBC_class,I_p_biological,Training
4jdl_2,crystal,0.471,False
2eav_1,biological,0.803,False
2vrn_1,crystal,0.113,False
1xuq_1,biological,0.871,True
1ktn_1,biological,0.988,False
2q4n_1,biological,0.922,False
1v2a_1,biological,0.686,False
4lza_1,biological,0.939,False
3b4u_1,biological,0.797,True
3cwn_2,crystal,0.039,False
2dsj_1,biological,0.994,True
3knz_3,crystal,0.223,False
3m45_2,crystal,0.208,False
1nvt_1,biological,0.989,False
1kez_1,biological,0.773,False
3rjs_1,biological,0.977,False
4yxf_1,biological,0.980,False
2xj3_1,biological,0.843,True
2h8k_1,crystal,0.487,False
5c6m_2,biological,0.996,False
3qm2_1,biological,0.845,True
2hng_1,biological,0.982,False
3ift_2,crystal,0.357,False
1qvw_1,biological,0.940,False
1yem_1,biological,0.764,False
3g0k_1,biological,0.827,False
2ppv_1,biological,0.993,False
3dex_1,biological,0.852,False
1qmj_1,biological,0.972,False
1dp4_1,biological,0.705,False
1dp4_2,biological,0.682,False
1u20_1,biological,0.974,False
4dj2_1,biological,0.686,False
4mhr_2,crystal,0.450,False
2oqt_5,biological,0.994,False
3l6b_1,biological,0.740,False
4nxf_1,crystal,0.375,False
4oie_1,biological,0.785,False
3hjp_1,biological,0.935,False
4nvr_1,biological,0.966,False
3lpm_1,crystal,0.321,False
1nzi_1,biological,0.957,False
2ze3_1,biological,0.965,False
2f96_1,biological,0.976,False
2o9a_1,biological,0.970,False
4u04_1,biological,0.740,False
2ovg_3,crystal,0.305,False
3l0z_5,crystal,0.313,False
3ppe_1,biological,0.661,False
3uf5_1,crystal,0.262,False
3d7a_1,crystal,0.251,False
3r03_1,biological,0.976,False
4oky_1,biological,0.903,False
2e1d_1,crystal,0.028,False
3pm7_1,biological,0.680,False
2oo2_1,biological,0.968,False
2idl_1,biological,0.997,False
4hwx_1,biological,0.998,False
4o7v_1,biological,0.942,False
4ese_1,biological,0.857,False
1ujn_1,biological,0.990,True
2q30_4,biological,0.952,False
2pwj_2,biological,0.942,False
5eq9_1,biological,0.873,False
1fe0_1,biological,0.738,False
3tqj_1,biological,0.952,True
4pob_1,biological,0.974,False
3hzu_1,biological,0.526,False
3lrq_1,biological,0.743,False
3lrq_2,biological,0.766,False
2ikk_1,biological,0.991,True
2nx9_1,biological,0.933,False
1a3a_1,crystal,0.435,False
3hqx_1,biological,0.975,False
3l5z_1,biological,0.927,False
4ttw_1,crystal,0.391,False
3dvf_1,crystal,0.241,False
2qsq_1,biological,0.693,False
3r8e_1,biological,0.896,True
3obh_1,biological,0.860,False
2yvu_1,biological,0.917,False
3o9s_1,crystal,0.474,False
3trc_1,biological,0.754,False
1fse_3,crystal,0.353,False
2ebb_1,biological,0.993,True
2f6s_1,biological,0.749,False
3ajz_1,biological,0.996,False
4q97_1,biological,0.965,False
2dwu_1,crystal,0.325,False
3zrd_1,biological,0.689,False
4zrn_1,biological,0.935,False
3q64_1,biological,0.861,False
4rz0_1,biological,0.985,False
2x6g_7,biological,0.916,False
1is3_1,biological,0.982,False
2snw_1,crystal,0.354,False
2ewt_1,biological,0.919,False
2vpk_1,biological,0.885,True
3v6n_1,biological,0.676,False
3rt2_2,crystal,0.151,False
1hux_1,biological,0.968,False
2itf_5,crystal,0.011,False
1qya_1,biological,0.864,False
3kza_1,biological,0.941,False
4dvh_1,biological,0.553,True
2e2c_1,crystal,0.293,False
4hf7_1,biological,0.825,False
3chi_1,biological,0.780,False
4zwv_1,biological,0.908,False
3bjr_1,biological,0.991,False
1udv_1,biological,0.895,True
4muo_1,biological,0.982,False
1kut_1,biological,0.933,False
3pc6_1,biological,0.787,False
2gsl_3,biological,0.853,False
2pls_5,biological,0.696,False
2bho_1,biological,0.678,False
2omk_1,crystal,0.407,True
2rc3_2,biological,0.871,False
2z7c_2,biological,0.994,False
4ckl_2,biological,0.878,False
1vh0_8,biological,0.911,False
4fbi_1,biological,0.905,False
1ukg_1,crystal,0.148,False
4dj3_1,biological,0.709,False
3bs3_1,biological,0.518,False
1dvr_1,crystal,0.182,False
3do5_1,biological,0.980,False
2a8f_1,biological,0.984,False
3cnk_1,biological,0.980,False
3d8u_1,biological,0.982,False
3r0n_1,biological,0.562,False
3pl2_2,biological,0.669,False
1mft_1,biological,0.819,False
3da8_1,biological,0.975,False
4dkc_1,biological,0.980,False
1xty_2,biological,0.998,False
1gam_1,biological,0.963,False
3fb3_1,crystal,0.415,False
2z00_2,crystal,0.206,False
3c6b_1,biological,0.986,False
4fdb_1,biological,0.842,False
4fr2_1,biological,0.868,False
3ppl_1,biological,0.720,False
4tmb_2,biological,0.918,False
1ha4_1,biological,0.979,False
2bm5_1,biological,0.997,False
4x0r_1,biological,0.717,False
3igd_1,crystal,0.052,False
3h2d_1,biological,0.707,False
2r3v_6,biological,0.931,False
2dpf_1,biological,0.998,False
2q24_2,biological,0.993,False
3f9s_1,biological,0.917,False
4j2p_1,biological,0.881,False
2f00_1,biological,0.712,False
2dc4_1,biological,0.676,False
3bl8_1,biological,0.632,False
4nuq_1,biological,0.915,False
3hhv_1,biological,0.970,False
2imz_1,crystal,0.147,False
3oet_2,crystal,0.326,False
3dh1_1,biological,0.984,False
1jhe_1,biological,0.982,False
2h9u_1,biological,0.926,True
3lza_1,biological,0.765,False
3zpg_1,biological,0.807,False
1cdt_1,biological,0.989,False
1zzh_2,crystal,0.411,False
1erv_1,crystal,0.350,False
4kgb_1,biological,0.957,False
2gff_1,biological,0.929,False
3ter_1,biological,0.926,False
3ksh_1,biological,0.977,False
1mqd_4,crystal,0.004,False
1ysj_1,biological,0.922,False
1d5w_2,biological,0.957,False
3dih_2,biological,0.707,False
1xvq_2,biological,0.658,False
3orr_1,crystal,0.162,False
2q5c_3,biological,0.942,False
1o6d_2,biological,0.825,False
2cw2_1,biological,0.930,True
2zu1_3,biological,0.968,False
4e04_1,biological,0.707,False
2gwh_1,crystal,0.233,False
4qxw_1,biological,0.531,False
3n3m_1,biological,0.935,False
3vx3_1,crystal,0.410,False
1uou_1,biological,0.990,True
1yad_2,biological,0.705,False
1prx_1,biological,0.936,False
3lp9_1,crystal,0.380,False
1ewj_2,biological,0.790,False
4ina_1,biological,0.987,False
3ctz_1,biological,0.557,False
3jth_1,biological,0.757,False
2hku_1,biological,0.983,False
3rpc_2,crystal,0.120,False
2pij_1,biological,0.798,False
4nsv_1,biological,0.952,False
2yy9_1,biological,0.984,False
2wui_1,biological,0.978,False
3vnf_2,biological,0.589,False
2rcv_2,biological,0.819,False
3dm8_1,biological,0.998,False
3nfc_1,biological,0.988,False
1ov4_1,biological,0.590,False
2j98_1,biological,0.998,False
2c9s_1,biological,0.999,False
3lfi_1,crystal,0.072,False
3lxy_1,crystal,0.494,False
3lag_1,biological,0.967,False
3smd_2,biological,0.745,False
4omv_1,biological,0.746,False
4ckm_2,biological,0.588,False
3dka_1,biological,0.778,False
4chl_1,biological,0.774,False
3ltv_1,biological,1.000,False
2dou_1,biological,0.991,True
3f4k_1,biological,0.989,False
3qyj_3,biological,0.967,False
2cw3_1,biological,0.848,False
2ovi_2,biological,0.986,False
3i83_1,biological,0.968,False
1obb_1,crystal,0.382,False
4eht_1,biological,0.984,False
1ac6_1,crystal,0.200,False
2zzt_1,crystal,0.081,False
1ks2_1,biological,0.986,True
4qf2_1,biological,0.760,False
3rob_1,biological,0.964,False
4a56_1,crystal,0.027,False
1usm_1,biological,0.904,True
1xwb_5,biological,0.892,False
1vqu_1,biological,0.991,True
1rpa_1,biological,0.521,False
1qto_1,biological,0.983,False
3sno_1,biological,0.959,True
2nwv_1,biological,0.607,False
2ctx_1,biological,0.988,False
4xvv_1,crystal,0.331,False
1kie_1,biological,0.879,False
1yae_9,crystal,0.027,False
2zhg_1,biological,0.930,False
3tr2_1,biological,0.983,True
1qkd_1,crystal,0.464,False
3dui_1,biological,0.856,False
1fp5_1,crystal,0.461,True
3by8_2,biological,0.792,False
4eru_1,biological,0.966,False
2jlp_3,biological,0.999,False
3e8s_1,biological,0.807,False
1my6_1,biological,0.742,True
4e86_14,biological,1.000,False
3aw8_1,biological,0.728,False
4kcx_1,crystal,0.297,False
3fdg_1,biological,0.975,False
1vez_2,biological,0.836,False
4aj7_1,biological,0.946,False
4l7e_1,biological,0.763,False
4qbo_1,biological,0.949,False
4bkm_1,biological,0.958,False
4exq_2,biological,0.972,False
1aoh_1,biological,0.863,False
2zw2_1,biological,0.956,False
3cyv_1,biological,0.939,False
3sdp_1,biological,0.988,False
3msq_6,biological,0.993,False
1xsv_1,biological,0.625,False
3hru_1,biological,0.920,False
1tmk_1,biological,0.909,False
1e85_1,biological,0.994,False
2qc7_2,biological,0.558,False
3nur_2,biological,0.965,False
1r7j_1,biological,0.785,True
2imn_1,crystal,0.363,False
3k86_1,biological,0.985,False
3dyd_1,biological,0.851,False
2z6f_1,biological,0.822,False
3eoq_1,crystal,0.197,True
4lir_1,biological,0.979,False
2eo0_1,biological,0.998,False
3pr8_1,crystal,0.193,False
4flb_1,crystal,0.238,False
4whj_1,biological,0.728,False
1f1c_1,biological,0.542,False
1u4m_1,biological,0.966,False
4dyw_3,biological,0.880,False
3svk_1,biological,0.533,True
4lmf_6,biological,0.979,False
5cro_1,crystal,0.292,False
2bdq_1,crystal,0.266,False
1okj_1,biological,0.990,False
3bxh_1,biological,0.890,False
3qq6_1,crystal,0.466,False
2pju_1,biological,0.978,False
3lwb_1,biological,0.646,True
3jv9_1,biological,0.718,True
4ic3_1,biological,0.834,False
5dqw_1,biological,0.995,False
3hna_3,biological,0.914,False
3htv_1,biological,0.804,True
3ooo_1,crystal,0.267,False
3u7i_2,crystal,0.411,False
3efb_1,biological,0.759,False
3k6k_2,biological,0.532,False
4je1_1,biological,0.831,False
1zbr_1,biological,0.766,False
1b0w_1,biological,0.956,False
3ego_1,biological,0.998,False
4pbe_1,biological,0.911,False
3nj2_1,biological,0.985,False
4yet_1,biological,0.820,False
3hf7_2,biological,0.680,False
1ii2_1,crystal,0.209,False
2hzb_1,biological,0.905,False
1zp7_1,biological,0.669,False
2wcu_1,biological,0.982,False
2gz6_1,crystal,0.008,False
3m5b_1,biological,0.984,True
1gyo_1,biological,0.594,False
3esf_1,biological,0.673,False
4emb_2,crystal,0.491,False
1o64_1,biological,0.956,False
3l9e_2,biological,0.996,False
2ob5_1,biological,0.861,False
3lf7_2,crystal,0.066,False
4fn9_1,biological,0.757,False
3kkc_1,biological,0.941,False
2j80_1,biological,0.555,False
4trt_1,crystal,0.451,False
2i45_4,biological,0.592,False
1iqc_1,crystal,0.323,True
2ycj_1,biological,0.999,False
1fzv_1,biological,0.976,True
4qin_1,biological,0.998,False
3dqp_1,biological,0.952,False
1zlj_1,crystal,0.356,False
3u5v_1,biological,0.922,False
3nzr_2,biological,0.794,False
3lhk_2,biological,0.944,False
1iiw_1,crystal,0.469,False
1qxh_1,crystal,0.340,False
3fbu_1,biological,0.814,True
1rkr_5,biological,0.985,False
4i5q_1,biological,0.965,False
1bgf_1,biological,0.681,False
2ov8_1,crystal,0.132,False
3rri_2,biological,0.840,False
2xt2_1,biological,0.968,False
3kg6_2,biological,0.715,False
1iug_1,biological,0.952,True
2i5p_1,biological,0.993,True
2fco_1,biological,0.941,False
4g8t_2,biological,0.541,False
2b7l_1,biological,0.993,False
3pu7_1,biological,0.999,False
5hsx_3,biological,0.768,False
3ghy_3,biological,0.991,False
1ovn_1,biological,0.563,False
3oa4_1,biological,0.938,False
3hmk_1,biological,0.695,False
4lft_1,biological,0.929,False
3g17_2,biological,0.978,False
1e7n_1,crystal,0.164,False
2fn1_1,biological,0.887,False
2z0f_1,biological,0.983,False
1f1g_2,biological,0.998,False
1bhm_1,crystal,0.277,False
1tfg_1,biological,0.992,True
3rks_2,biological,0.730,False
3hdv_3,biological,0.784,False
1jr9_1,biological,0.878,False
3leq_2,biological,0.996,False
4cgr_1,biological,0.960,False
4nf1_4,biological,0.951,False
3bde_2,biological,0.867,False
1h1y_1,biological,0.974,True
4pr3_1,biological,0.956,False
4pzk_1,biological,0.956,False
2j8w_1,biological,0.760,False
1v98_2,biological,0.999,False
2ecf_1,biological,0.754,False
3zc9_1,biological,0.843,False
1s9p_1,crystal,0.216,False
1fux_1,biological,0.856,False
1tz3_1,biological,0.961,False
3p3d_2,biological,1.000,False
2bhm_2,biological,0.902,False
3u80_1,biological,0.999,True
3k5x_2,biological,0.810,False
3cjw_1,crystal,0.211,False
1q1n_1,biological,0.956,False
1jzo_1,biological,0.990,False
4xea_1,crystal,0.109,False
1my7_1,biological,0.973,False
3c1q_1,crystal,0.022,False
2cd0_1,crystal,0.092,False
4rmm_1,biological,0.987,False
2xhf_1,biological,0.963,False
2f5e_1,biological,0.697,False
4mei_1,biological,0.941,False
1hlc_1,crystal,0.172,False
4pz9_1,biological,0.974,False
1zjj_1,biological,0.976,True
4lw8_1,biological,0.995,False
1ivl_1,biological,0.660,False
4f2n_2,biological,0.624,False
3gor_1,biological,0.738,False
1cd0_1,biological,0.587,False
2goj_1,biological,0.929,False
2w7w_1,biological,0.935,True
1jrk_1,biological,0.908,False
1hjr_1,biological,0.884,False
1qhq_3,biological,0.907,False
2ph1_1,crystal,0.486,False
2pmr_1,biological,0.991,False
2dql_1,biological,0.966,False
3f14_1,biological,0.996,False
2qaz_2,biological,0.915,False
5a0j_1,biological,0.949,False
6gsu_1,biological,0.719,False
2b5a_1,biological,0.966,False
1uer_2,biological,0.886,False
2qxy_1,biological,0.983,False
3tqu_2,crystal,0.077,False
2zv3_3,biological,0.986,False
3ded_1,biological,0.838,False
2ozv_1,biological,0.718,False
1gan_1,biological,0.884,False
1mp9_1,biological,0.866,False
1to0_3,biological,0.727,False
1gmz_1,biological,0.943,False
1xef_2,crystal,0.164,False
4wny_1,biological,0.996,False
4kyx_1,biological,0.977,False
2fca_1,biological,0.893,False
3hv2_1,biological,0.993,False
3jr8_2,biological,0.985,False
3t9y_1,crystal,0.438,False
1a7g_1,biological,0.995,True
3k5s_1,crystal,0.149,False
3lhx_1,biological,0.970,False
3kb1_1,biological,0.554,False
4ohc_2,biological,0.882,False
1zxk_1,biological,0.927,False
2nwu_1,crystal,0.026,False
3kay_1,crystal,0.500,False
2c2x_1,biological,0.987,True
3uqz_1,biological,0.797,False
3q1d_1,biological,0.875,False
4nzv_1,biological,0.991,False
2fj2_2,biological,0.555,False
1u3z_1,biological,0.965,False
4ds3_1,biological,0.990,False
4o1h_1,biological,0.628,False
4le0_1,biological,0.857,False
1xso_1,biological,0.999,False
1ye5_1,biological,0.992,False
1qg7_1,biological,0.910,False
3hjg_1,biological,0.998,False
4d6y_1,biological,0.981,False
2pfi_1,biological,0.995,False
1ohq_1,biological,0.852,False
3o0m_1,biological,0.626,True
3atp_1,biological,0.654,False
4ofd_1,biological,0.935,False
2j8z_1,biological,0.990,False
2v9c_1,biological,0.898,True
2qld_1,biological,0.858,False
3rny_3,biological,0.977,False
3toe_1,biological,0.999,True
2ymz_2,biological,0.948,False
1cd8_1,biological,0.986,False
3cei_1,biological,0.916,True
4rzk_1,crystal,0.104,False
4ph6_1,biological,0.982,False
1sfr_4,biological,0.956,False
4oja_1,biological,0.999,False
1uvz_3,biological,0.755,False
4kvr_2,biological,0.788,False
3egj_2,biological,0.977,False
4v07_1,biological,0.986,False
3ehc_1,biological,0.977,False
4fzp_1,biological,0.918,False
2ws2_1,biological,0.843,True
2nyb_2,biological,0.951,False
1zy2_1,biological,0.996,False
4c98_1,biological,0.835,False
3ros_1,biological,0.677,False
1v4v_1,biological,0.816,False
3ec9_1,biological,0.989,False
3m5u_1,crystal,0.445,False
1jbg_1,biological,0.667,False
1o12_1,biological,0.837,False
3ssi_1,biological,0.987,False
1jm0_2,biological,0.956,False
1xre_1,biological,0.811,True
1vr0_1,biological,0.904,False
1sxs_1,biological,0.999,False
3dl3_1,biological,0.622,False
2j8m_1,crystal,0.463,False
2j85_1,biological,0.985,False
3keb_1,crystal,0.128,False
3mnd_1,biological,1.000,False
1mi8_1,biological,0.742,False
4wt0_1,biological,0.928,False
2isy_1,biological,0.977,False
5b1y_1,biological,0.980,False
3khp_2,biological,0.685,False
1lyn_1,biological,0.906,False
1afw_1,biological,0.881,False
4ye0_1,crystal,0.243,False
2zxy_1,crystal,0.336,False
3d7q_2,crystal,0.331,False
4tkz_2,biological,0.993,False
2i9z_1,biological,0.816,False
3p0c_3,biological,0.862,False
2x2a_1,crystal,0.299,False
3lqn_1,biological,0.979,False
3aqt_1,biological,0.997,False
1b78_1,biological,0.843,False
3tbo_1,biological,0.993,False
4exn_1,biological,0.987,False
1h0x_1,biological,0.993,False
3mux_1,biological,0.780,False
3lv9_1,biological,0.632,False
3r6m_1,biological,0.978,False
1zh2_1,crystal,0.167,False
4qf3_3,biological,0.946,False
3jv5_2,biological,0.913,False
3ccg_1,biological,0.964,False
1jog_2,biological,0.922,False
3oxp_1,biological,0.771,False
3i8b_2,biological,0.994,False
3hde_2,biological,0.977,False
1d1t_4,biological,0.978,False
4k30_3,biological,0.958,False
4i1t_1,biological,0.517,False
3h1s_1,biological,0.963,True
3p9x_1,biological,0.991,False
3ewb_1,biological,0.755,True
2q8r_2,biological,0.965,False
3ce1_1,biological,1.000,False
3hz4_1,biological,0.715,False
3juw_2,biological,0.573,False
4o1i_2,biological,0.781,False
4e4j_2,crystal,0.154,False
1eqw_2,biological,0.993,False
1y7h_2,biological,0.611,False
2x4i_1,biological,0.972,False
3hm7_2,crystal,0.408,False
3tn4_1,biological,0.796,False
3umc_2,biological,0.990,False
2oz6_1,biological,0.824,False
3gw2_1,biological,0.911,True
4ld8_1,biological,0.949,False
2ph0_1,biological,0.908,False
1bjj_9,crystal,0.045,False
3lyp_1,biological,0.950,False
3lcr_1,biological,0.958,False
4nqq_1,crystal,0.263,False
2we8_2,biological,0.838,False
3pf9_1,crystal,0.149,False
2xeu_1,biological,1.000,False
3lo3_3,biological,0.939,False
3igr_2,crystal,0.446,True
1ix9_1,biological,0.684,False
3b7h_1,biological,0.890,False
3auf_1,biological,0.970,False
2a67_2,biological,0.933,False
4dup_1,biological,0.979,False
4l4z_1,biological,0.998,False
2aps_1,biological,0.959,False
3l9z_1,biological,0.968,True
3g13_1,biological,0.589,False
3l7o_1,biological,0.763,True
1hy3_1,crystal,0.031,False
1j1i_1,biological,0.970,False
2pzz_1,crystal,0.007,False
3l1w_2,biological,0.627,False
3clv_1,biological,0.896,False
4nzj_2,crystal,0.087,False
3erj_1,biological,0.992,False
4du5_2,crystal,0.150,False
3duv_1,biological,0.737,False
4wvr_2,biological,0.774,False
4eo9_1,biological,0.980,False
3e7p_1,biological,0.998,False
3hy8_1,crystal,0.469,False
5c2x_1,biological,0.969,False
1y67_1,biological,0.826,True
1ybz_2,biological,0.920,False
3p0u_1,biological,0.566,False
1rfy_1,biological,0.982,False
3fbt_2,biological,0.853,False
2nys_1,biological,0.903,False
3kbf_1,biological,0.999,False
1e59_1,biological,0.586,False
1aiz_1,biological,0.991,False
4e5y_1,biological,0.798,False
3w66_1,crystal,0.011,False
4f82_1,biological,0.987,False
3dqz_2,biological,0.901,False
1srr_1,crystal,0.328,False
4low_1,biological,0.774,False
1hq8_1,biological,0.976,False
3nrd_1,biological,0.898,True
3lyc_3,biological,1.000,False
3bjv_1,biological,0.970,False
3eeg_1,biological,0.975,False
3ees_1,biological,0.954,False
3zig_1,biological,0.998,False
1xkz_2,crystal,0.000,False
3o63_1,biological,0.513,False
1rz6_2,biological,0.594,False
3kht_2,biological,0.934,False
3lmb_1,biological,0.785,False
2qgh_1,crystal,0.226,False
3kg8_1,crystal,0.401,False
3qat_3,biological,0.869,False
1q98_1,biological,0.751,False
3hq2_1,crystal,0.037,False
4mmm_5,biological,0.896,False
2fuc_1,biological,0.754,False
2h2w_1,biological,0.845,False
3glv_1,biological,0.979,False
3nib_1,biological,0.998,False
4q9a_1,biological,0.827,False
5iu9_1,biological,0.736,False
5i10_2,biological,0.999,False
5j6o_1,crystal,0.117,False
5dym_1,biological,0.691,False
5ayp_1,biological,0.845,False
5ie7_1,biological,0.934,False
5hpj_1,crystal,0.435,False
5feg_1,biological,0.667,False
5an1_5,biological,0.895,False
5hkl_1,biological,0.822,False
5f05_1,biological,0.814,False
5hu7_1,crystal,0.249,False
5hxo_1,biological,0.960,False
5ig8_1,biological,0.654,False
5c04_1,biological,0.907,False
5eb9_1,biological,0.871,False
5hm4_1,biological,0.970,False
5i4c_1,biological,0.882,False
5ep8_1,biological,0.998,False
5hiz_1,biological,0.999,False
5fub_1,biological,0.816,False
5il5_1,crystal,0.234,False
5edx_1,biological,0.971,False
5exv_1,biological,0.952,False
5hqw_1,biological,0.669,False
5h5n_1,biological,0.614,False
5abr_1,biological,0.999,False
5ckm_1,biological,0.967,False
5eyo_2,biological,0.558,False
5dra_1,biological,0.998,False
5ks7_1,biological,0.902,False
5k2i_1,crystal,0.101,False
5llj_1,biological,0.999,False
5trb_1,biological,0.994,False
5j9c_1,biological,0.984,False
5lc1_5,biological,0.951,False
5kol_2,biological,0.997,False
5jsq_1,biological,0.581,False
5vcp_1,biological,0.864,False
5u0k_4,biological,0.758,False
5vm1_5,biological,0.987,False
4zng_1,crystal,0.117,False
5wyg_1,biological,0.996,False
5lvz_1,biological,0.832,False
4yiw_1,biological,0.918,False
5u0i_1,biological,0.877,False
5m7q_3,biological,0.994,False
5v01_1,biological,0.998,False
5l6q_1,crystal,0.192,False
5ujf_2,biological,0.831,False
6gc9_1,biological,0.701,False
5x9i_1,crystal,0.287,False
5sy4_1,biological,0.977,False
6azh_1,biological,0.976,False
5xwe_1,biological,0.996,False
6ar4_1,biological,0.999,False
5xwz_2,biological,0.956,False
5ncr_1,biological,0.996,False
5t93_1,biological,0.827,False
5cho_3,biological,0.984,False
6auj_1,biological,0.756,False
6cgb_1,biological,0.861,False
5ume_2,biological,0.987,False
5y4t_1,crystal,0.030,False
5wqi_2,biological,0.959,False
5n7l_1,biological,0.957,False
5z0y_1,biological,0.709,False
5vkt_2,biological,0.977,False
5vxa_3,biological,0.887,False
5zw3_1,biological,0.961,False
5tc2_1,biological,0.948,False
5tus_3,biological,0.723,False
5mwx_1,biological,0.921,False
5vdf_4,biological,0.746,False
5vm4_4,biological,0.859,False
5xo7_1,biological,0.975,False
5vsc_1,biological,0.629,False
5yrg_1,biological,0.998,False
5h23_1,crystal,0.345,False
1ex2_1,crystal,0.006,False
2zoz_2,biological,0.539,True
1xub_1,crystal,0.048,False
4lev_3,crystal,0.109,False
3l1e_1,biological,0.814,False
4ga4_1,biological,0.985,False
1rtv_1,biological,0.672,False
4zms_1,biological,0.916,False
1jil_1,crystal,0.003,False
4fqu_5,biological,0.687,False
1q4j_1,crystal,0.429,False
1azw_1,crystal,0.078,False
4e69_2,biological,0.838,False
4i24_3,biological,0.684,False
4nk0_2,biological,0.853,False
2npn_3,crystal,0.475,False
2gs2_1,crystal,0.479,False
4qhj_1,biological,0.822,False
1c3g_1,crystal,0.088,False
3ez9_2,biological,0.825,False
1xkv_1,crystal,0.006,False
4qhi_1,biological,0.764,False
2g0h_1,crystal,0.047,False
3lf6_1,biological,0.860,False
3bif_1,crystal,0.029,False
1fp3_2,biological,0.944,False
4axv_2,crystal,0.119,False
3f3y_2,crystal,0.034,False
2pcj_1,biological,0.782,False
4nwc_2,crystal,0.122,False
2zkj_2,crystal,0.329,False
3g48_2,crystal,0.013,False
2v54_1,biological,0.970,True
4o67_1,crystal,0.002,False
3rao_1,crystal,0.003,True
1xlu_1,biological,0.792,False
3k1m_1,crystal,0.050,False
3dcj_1,biological,0.579,False
2dwy_6,biological,0.931,False
3ljb_2,crystal,0.336,False
1yvl_4,crystal,0.151,False
