#pdb-id,I_deeprank_prediction_class,I_p_crystal,I_p_biological,Training
1nzi_1,biological,0.149,0.851,False
1o12_1,biological,0.016,0.9840000000000001,False
1o64_1,biological,0.457,0.5429999999999999,False
1o6d_2,biological,0.126,0.8740000000000001,False
1o92_2,crystal,0.956,0.044000000000000004,False
1obb_1,biological,0.08199999999999999,0.9179999999999999,False
1ohq_1,crystal,0.917,0.083,False
1okj_1,biological,0.067,0.9329999999999999,False
1or3_7,crystal,0.998,0.002,False
1ors_10,biological,0.239,0.7609999999999999,False
1ov4_1,biological,0.042,0.958,False
1ovn_1,biological,0.032,0.968,False
1oya_1,biological,0.42700000000000005,0.573,False
1p35_11,crystal,1.0,0.0,False
1p8l_1,crystal,0.995,0.005,False
1pcz_1,biological,0.027000000000000003,0.973,False
1pd5_26,crystal,0.996,0.004,False
1poe_1,crystal,0.992,0.008,False
1pp3_2,biological,0.39,0.61,False
1prx_1,biological,0.006999999999999999,0.993,False
1psa_1,crystal,0.9990000000000001,0.001,False
1psq_1,biological,0.049,0.951,False
1pxv_1,crystal,0.78,0.22,False
1q1e_2,crystal,0.9890000000000001,0.011000000000000001,False
1q1n_1,biological,0.478,0.522,False
1q4j_1,crystal,1.0,0.0,False
1q7s_3,biological,0.0,1.0,False
1q98_1,biological,0.124,0.8759999999999999,False
1qex_1,biological,0.451,0.5489999999999999,False
1qex_6,crystal,0.93,0.07,False
1qg7_1,biological,0.413,0.5870000000000001,False
1qhm_4,crystal,0.8270000000000001,0.17300000000000001,False
1qhq_3,biological,0.42700000000000005,0.573,False
1qkd_1,biological,0.028999999999999998,0.971,False
1qmj_1,biological,0.012,0.988,False
1qpg_1,crystal,0.9059999999999999,0.094,False
1qq7_1,crystal,0.586,0.414,False
1qrd_1,crystal,0.9390000000000001,0.061,False
1qto_1,biological,0.0,1.0,False
1qvt_19,crystal,0.9990000000000001,0.001,False
1qvw_1,crystal,0.983,0.017,False
1qxh_1,biological,0.10400000000000001,0.8959999999999999,False
1qya_1,biological,0.245,0.755,False
1rcw_2,biological,0.08800000000000001,0.912,False
1rfy_1,crystal,0.922,0.078,False
1rk4_1,biological,0.23,0.77,False
1rkr_5,biological,0.015,0.985,False
1rp5_3,crystal,0.8390000000000001,0.161,False
1rpa_1,biological,0.018000000000000002,0.982,False
1rtv_1,crystal,0.98,0.02,False
1rz6_2,biological,0.34600000000000003,0.654,False
1s9c_6,biological,0.032,0.968,False
1s9p_1,biological,0.11199999999999999,0.888,False
1s9p_5,crystal,0.614,0.386,False
1se8_1,crystal,0.73,0.27,False
1sfr_4,crystal,0.858,0.142,False
1si5_3,biological,0.282,0.718,False
1slb_2,biological,0.09699999999999999,0.903,False
1som_1,crystal,0.997,0.003,False
1srr_1,biological,0.033,0.9670000000000001,False
1sw2_4,crystal,0.9990000000000001,0.001,False
1sxs_1,biological,0.013000000000000001,0.987,False
1syq_8,crystal,0.597,0.40299999999999997,False
1t1l_1,crystal,0.8290000000000001,0.171,False
1t3w_1,crystal,0.997,0.003,False
1taq_5,crystal,0.981,0.019,False
1tmk_1,biological,0.006,0.9940000000000001,False
1to0_3,biological,0.06,0.94,False
1to4_1,biological,0.047,0.953,False
1tvd_1,biological,0.204,0.7959999999999999,False
1txn_1,biological,0.022000000000000002,0.978,False
1tz3_1,biological,0.065,0.935,False
1u07_1,crystal,0.9840000000000001,0.016,False
1u20_1,crystal,0.65,0.35,False
1u2j_24,biological,0.21600000000000003,0.784,False
1u3z_1,biological,0.005,0.995,False
1u4m_1,biological,0.001,0.9990000000000001,False
1uat_2,biological,0.013000000000000001,0.987,False
1ud0_7,crystal,0.966,0.034,False
1uer_2,biological,0.23399999999999999,0.7659999999999999,False
1ujk_3,crystal,0.62,0.38,False
1ukg_1,crystal,1.0,0.0,False
1uvz_3,biological,0.423,0.5770000000000001,False
1v2a_1,biological,0.028999999999999998,0.971,False
1v2z_1,biological,0.0,1.0,False
1v4t_4,biological,0.14,0.86,False
1v4v_1,biological,0.095,0.905,False
1v98_2,biological,0.44799999999999995,0.552,False
1vez_2,biological,0.166,0.8340000000000001,False
1vg9_2,crystal,0.912,0.08800000000000001,False
1vh0_8,biological,0.040999999999999995,0.9590000000000001,False
1vic_7,crystal,0.9670000000000001,0.033,False
1vok_6,crystal,0.948,0.052000000000000005,False
1vr0_1,biological,0.01,0.99,False
1wac_4,crystal,0.996,0.004,False
1wlg_3,crystal,0.93,0.07,False
1wn2_1,biological,0.0,1.0,False
1wtc_1,biological,0.364,0.636,False
1wwp_1,biological,0.0,1.0,False
1x1p_3,biological,0.452,0.5479999999999999,False
1xef_2,biological,0.165,0.835,False
1xew_4,crystal,0.777,0.223,False
1xi1_1,crystal,0.917,0.083,False
1xi3_1,crystal,0.514,0.486,False
1xkv_1,crystal,0.996,0.004,False
1xkz_2,crystal,1.0,0.0,False
1xlu_1,biological,0.10800000000000001,0.892,False
1xrc_5,crystal,0.8540000000000001,0.146,False
1xso_1,biological,0.012,0.988,False
1xsv_1,biological,0.221,0.779,False
1xty_2,biological,0.0,1.0,False
1xur_1,biological,0.26899999999999996,0.731,False
1xvq_2,biological,0.081,0.919,False
1xwb_5,biological,0.039,0.961,False
1y6h_3,crystal,0.8320000000000001,0.168,False
1y7h_2,biological,0.002,0.998,False
1y7y_1,biological,0.019,0.981,False
1yad_2,biological,0.042,0.958,False
1yae_9,crystal,0.9990000000000001,0.001,False
1ybz_2,biological,0.013000000000000001,0.987,False
1ye5_1,biological,0.032,0.968,False
1yem_1,biological,0.13699999999999998,0.863,False
1yln_1,crystal,0.9990000000000001,0.001,False
1ysj_1,biological,0.036000000000000004,0.9640000000000001,False
1yv9_1,crystal,0.9940000000000001,0.006,False
1yvl_4,biological,0.10800000000000001,0.892,False
1z9p_1,biological,0.09699999999999999,0.903,False
1zbh_2,crystal,0.606,0.39399999999999996,False
1zbr_1,crystal,0.575,0.425,False
1zc6_1,crystal,1.0,0.0,False
1zh2_1,biological,0.414,0.586,False
1zlj_1,biological,0.016,0.9840000000000001,False
1zp7_1,crystal,0.643,0.35700000000000004,False
1zsz_1,biological,0.326,0.674,False
1zxk_1,biological,0.11199999999999999,0.888,False
1zy2_1,biological,0.025,0.975,False
1zzh_2,biological,0.09699999999999999,0.903,False
2a4a_3,crystal,0.59,0.41,False
2a67_2,biological,0.009000000000000001,0.991,False
2a8f_1,crystal,0.991,0.009000000000000001,False
2ac1_3,biological,0.377,0.623,False
2ahm_21,crystal,0.593,0.40700000000000003,False
2ajq_9,crystal,0.9259999999999999,0.07400000000000001,False
2aps_1,biological,0.35200000000000004,0.648,False
2ar8_1,crystal,0.998,0.002,False
2b0u_18,crystal,0.951,0.049,False
2b5a_1,biological,0.18899999999999997,0.8109999999999999,False
2b7l_1,biological,0.045,0.955,False
2b8h_6,crystal,0.9990000000000001,0.001,False
2bbh_4,biological,0.132,0.868,False
2bde_2,crystal,0.865,0.135,False
2bdm_2,biological,0.155,0.845,False
2bej_1,crystal,0.9940000000000001,0.006,False
2bhm_2,biological,0.35600000000000004,0.644,False
2bho_1,crystal,0.845,0.155,False
2bm5_1,biological,0.001,0.9990000000000001,False
2bpd_1,crystal,0.9990000000000001,0.001,False
2brv_1,crystal,1.0,0.0,False
2c9s_1,biological,0.006,0.9940000000000001,False
2cc3_1,crystal,0.563,0.43700000000000006,False
2cd0_1,biological,0.23399999999999999,0.7659999999999999,False
2ctx_1,crystal,0.871,0.129,False
2cw3_1,biological,0.215,0.785,False
2cx4_1,biological,0.342,0.6579999999999999,False
2d13_2,crystal,0.988,0.012,False
2d4h_1,biological,0.21600000000000003,0.784,False
2dc4_1,biological,0.12300000000000001,0.877,False
2dh6_1,crystal,0.88,0.12,False
2dql_1,biological,0.222,0.778,False
2dvn_1,crystal,0.9690000000000001,0.031,False
2dwu_1,biological,0.07400000000000001,0.9259999999999999,False
2dwy_6,biological,0.047,0.953,False
2e1d_1,biological,0.077,0.9229999999999999,False
2e2c_1,crystal,0.972,0.027999999999999997,False
2e46_1,biological,0.073,0.927,False
2eav_1,crystal,1.0,0.0,False
2ecf_1,biological,0.025,0.975,False
2egu_3,crystal,0.713,0.287,False
2ejn_1,biological,0.034,0.966,False
2ekz_1,crystal,0.996,0.004,False
2eo0_1,biological,0.179,0.821,False
2erc_1,crystal,0.981,0.019,False
2ew2_1,biological,0.069,0.9309999999999999,False
2ewt_1,biological,0.182,0.818,False
2f00_1,crystal,0.511,0.489,False
2f1m_2,crystal,0.996,0.004,False
2f1z_5,crystal,0.899,0.10099999999999999,False
2f5e_1,biological,0.032,0.968,False
2f6s_1,crystal,0.978,0.022000000000000002,False
2f96_1,biological,0.006999999999999999,0.993,False
2f9q_2,crystal,0.9740000000000001,0.026000000000000002,False
2f9q_3,biological,0.057999999999999996,0.9420000000000001,False
2fca_1,biological,0.037000000000000005,0.963,False
2fco_1,biological,0.040999999999999995,0.9590000000000001,False
2ffv_3,crystal,0.9740000000000001,0.026000000000000002,False
2fj2_2,biological,0.0,1.0,False
2fn1_1,biological,0.011000000000000001,0.9890000000000001,False
2fuc_1,biological,0.115,0.885,False
2fv7_1,crystal,0.9940000000000001,0.006,False
2g0h_1,crystal,0.91,0.09,False
2g3k_8,biological,0.369,0.631,False
2g3p_1,crystal,0.9940000000000001,0.006,False
2g45_2,crystal,0.62,0.38,False
2g7p_1,crystal,0.9470000000000001,0.053,False
2gd5_1,crystal,0.9159999999999999,0.084,False
2gff_1,biological,0.15,0.85,False
2goj_1,crystal,0.5489999999999999,0.451,False
2gs2_1,biological,0.17800000000000002,0.8220000000000001,False
2gsl_3,biological,0.021,0.9790000000000001,False
2gwh_1,biological,0.027999999999999997,0.972,False
2gz6_1,crystal,0.9690000000000001,0.031,False
2h2w_1,biological,0.059000000000000004,0.941,False
2h8k_1,biological,0.092,0.9079999999999999,False
2ha7_1,crystal,0.995,0.005,False
2hb0_1,crystal,1.0,0.0,False
2hjd_1,crystal,0.877,0.12300000000000001,False
2hk3_1,biological,0.008,0.992,False
2hku_1,biological,0.142,0.858,False
2hng_1,biological,0.001,0.9990000000000001,False
2hzb_1,biological,0.052000000000000005,0.948,False
2i45_4,biological,0.115,0.885,False
2i6a_2,biological,0.067,0.9329999999999999,False
2i7p_1,biological,0.441,0.5589999999999999,False
2i91_1,crystal,0.985,0.015,False
2i9z_1,biological,0.002,0.998,False
2ibm_4,crystal,0.8759999999999999,0.124,False
2idl_1,biological,0.001,0.9990000000000001,False
2ijd_5,crystal,0.9990000000000001,0.001,False
2imn_1,biological,0.161,0.8390000000000001,False
2imz_1,biological,0.083,0.917,False
2io3_12,crystal,0.991,0.009000000000000001,False
2isy_1,biological,0.045,0.955,False
2itf_5,crystal,0.976,0.024,False
2iut_1,crystal,0.945,0.055,False
2iut_6,crystal,1.0,0.0,False
2iy2_1,biological,0.027000000000000003,0.973,False
2j3s_1,crystal,0.9309999999999999,0.069,False
2j3x_1,crystal,0.9990000000000001,0.001,False
2j3z_7,crystal,0.899,0.10099999999999999,False
2j7l_4,crystal,0.9590000000000001,0.040999999999999995,False
2j80_1,crystal,0.883,0.11699999999999999,False
2j85_1,biological,0.16699999999999998,0.833,False
2j8m_1,biological,0.043,0.9570000000000001,False
2j8w_1,biological,0.39399999999999996,0.606,False
2j8z_1,biological,0.005,0.995,False
2j98_1,biological,0.128,0.872,False
2jbx_1,crystal,0.5,0.5,False
2jfp_1,biological,0.078,0.922,False
2jkr_34,crystal,0.9990000000000001,0.001,False
2jlp_3,biological,0.016,0.9840000000000001,False
2nsa_5,crystal,1.0,0.0,False
2nsa_6,biological,0.16899999999999998,0.831,False
2ntx_3,crystal,0.5720000000000001,0.428,False
2nub_6,crystal,0.884,0.11599999999999999,False
2nvn_1,biological,0.019,0.981,False
2nwu_1,biological,0.009000000000000001,0.991,False
2nwv_1,biological,0.006999999999999999,0.993,False
2nx9_1,biological,0.473,0.527,False
2nyb_2,biological,0.489,0.511,False
2nys_1,biological,0.078,0.922,False
2o1v_1,biological,0.31,0.69,False
2o7m_6,crystal,0.981,0.019,False
2o9a_1,biological,0.052000000000000005,0.948,False
2oai_1,biological,0.016,0.9840000000000001,False
2ob5_1,biological,0.032,0.968,False
2ofj_1,crystal,0.9940000000000001,0.006,False
2ogi_1,biological,0.19699999999999998,0.8029999999999999,False
2ont_3,biological,0.106,0.894,False
2oo2_1,biological,0.021,0.9790000000000001,False
2oqt_5,crystal,0.746,0.254,False
2ov8_1,crystal,0.835,0.165,False
2ovg_3,biological,0.026000000000000002,0.9740000000000001,False
2ovi_2,biological,0.002,0.998,False
2oz6_1,biological,0.02,0.98,False
2ozv_1,biological,0.076,0.924,False
2p22_22,biological,0.047,0.953,False
2p5u_1,biological,0.0,1.0,False
2pcj_1,biological,0.096,0.904,False
2pf4_5,crystal,0.562,0.43799999999999994,False
2pfi_1,crystal,0.623,0.377,False
2ph0_1,biological,0.0,1.0,False
2ph1_1,biological,0.136,0.8640000000000001,False
2pij_1,biological,0.126,0.8740000000000001,False
2pju_1,crystal,0.948,0.052000000000000005,False
2pl1_1,biological,0.11699999999999999,0.883,False
2pls_5,biological,0.46299999999999997,0.537,False
2pmr_1,biological,0.008,0.992,False
2pn5_2,crystal,0.593,0.40700000000000003,False
2pr8_3,biological,0.018000000000000002,0.982,False
2pwj_2,biological,0.064,0.9359999999999999,False
2pzz_1,biological,0.11,0.89,False
2q24_2,biological,0.002,0.998,False
2q30_4,biological,0.0,1.0,False
2q4n_1,biological,0.003,0.997,False
2q5c_3,biological,0.19699999999999998,0.8029999999999999,False
2q7d_1,crystal,1.0,0.0,False
2q8r_2,biological,0.001,0.9990000000000001,False
2qaz_2,biological,0.084,0.9159999999999999,False
2qc7_2,biological,0.12300000000000001,0.877,False
2qld_1,biological,0.23199999999999998,0.768,False
2qlx_2,biological,0.0,1.0,False
2qms_1,crystal,0.753,0.247,False
2qrr_1,crystal,0.77,0.23,False
2qsq_1,crystal,0.515,0.485,False
2qxl_1,biological,0.426,0.574,False
2qxy_1,biological,0.042,0.958,False
2r3v_6,biological,0.0,1.0,False
2r7h_1,biological,0.23,0.77,False
2r8q_1,crystal,0.9490000000000001,0.051,False
2rax_22,biological,0.152,0.848,False
2rc3_2,biological,0.07,0.93,False
2rdi_2,biological,0.223,0.777,False
2rgv_1,biological,0.011000000000000001,0.9890000000000001,False
2rhj_1,crystal,1.0,0.0,False
2snw_1,crystal,0.985,0.015,False
2tpt_1,biological,0.22399999999999998,0.7759999999999999,False
2uzj_8,crystal,0.9740000000000001,0.026000000000000002,False
2v3t_1,crystal,0.9990000000000001,0.001,False
2v5n_1,crystal,0.998,0.002,False
2vj4_7,crystal,0.992,0.008,False
2vnc_8,biological,0.055999999999999994,0.9440000000000001,False
2vrn_1,biological,0.004,0.996,False
2vsc_4,crystal,0.987,0.013000000000000001,False
2vx8_1,crystal,0.997,0.003,False
2w0l_2,biological,0.267,0.733,False
2w68_11,crystal,0.593,0.40700000000000003,False
2wcu_1,biological,0.132,0.868,False
2we8_2,biological,0.001,0.9990000000000001,False
2wfc_1,biological,0.017,0.983,False
2wfh_1,biological,0.431,0.569,False
2wnh_2,crystal,0.99,0.01,False
2wnh_5,crystal,0.9840000000000001,0.016,False
2wui_1,biological,0.001,0.9990000000000001,False
2x2a_1,biological,0.087,0.9129999999999999,False
2x2u_3,crystal,0.525,0.475,False
2x4i_1,biological,0.308,0.6920000000000001,False
2xbf_2,crystal,0.736,0.264,False
2xcr_4,crystal,0.9940000000000001,0.006,False
2xdp_6,crystal,0.682,0.318,False
2xeq_1,crystal,0.998,0.002,False
2xeq_5,crystal,0.983,0.017,False
2xer_3,crystal,0.992,0.008,False
2xeu_1,biological,0.003,0.997,False
2xhf_1,biological,0.040999999999999995,0.9590000000000001,False
2xiq_1,biological,0.122,0.878,False
2xj9_1,biological,0.017,0.983,False
2xss_2,biological,0.24600000000000002,0.754,False
2xt2_1,biological,0.027000000000000003,0.973,False
2yaz_6,crystal,0.5720000000000001,0.428,False
2ycj_1,biological,0.0,1.0,False
2ym0_5,biological,0.008,0.992,False
2ym9_8,crystal,0.767,0.233,False
2ymz_2,biological,0.205,0.795,False
2yvq_2,biological,0.012,0.988,False
2yvu_1,biological,0.053,0.9470000000000001,False
2ywa_1,biological,0.002,0.998,False
2yxz_2,biological,0.0,1.0,False
2yy9_1,biological,0.008,0.992,False
2z00_2,biological,0.428,0.5720000000000001,False
2z0f_1,biological,0.095,0.905,False
2z6f_1,biological,0.32899999999999996,0.6709999999999999,False
2z7c_2,biological,0.026000000000000002,0.9740000000000001,False
2zb3_4,crystal,0.9990000000000001,0.001,False
2ze3_1,biological,0.001,0.9990000000000001,False
2zhg_1,biological,0.057999999999999996,0.9420000000000001,False
2zkj_2,crystal,0.5429999999999999,0.457,False
2znh_1,biological,0.205,0.795,False
2zu1_3,biological,0.298,0.7020000000000001,False
2zv3_3,biological,0.0,1.0,False
2zvz_1,biological,0.047,0.953,False
2zw2_1,biological,0.055999999999999994,0.9440000000000001,False
2zxy_1,crystal,0.649,0.35100000000000003,False
2zz8_1,crystal,0.941,0.059000000000000004,False
2zzn_2,crystal,1.0,0.0,False
2zzt_1,biological,0.022000000000000002,0.978,False
3a1d_5,crystal,0.855,0.145,False
3a44_1,biological,0.278,0.722,False
3a9i_1,crystal,0.998,0.002,False
3aad_12,crystal,0.593,0.40700000000000003,False
3ajz_1,biological,0.207,0.7929999999999999,False
3al9_1,biological,0.254,0.746,False
3aln_1,crystal,0.982,0.018000000000000002,False
3ani_1,biological,0.095,0.905,False
3aos_1,crystal,0.986,0.013999999999999999,False
3aqt_1,biological,0.0,1.0,False
3atp_1,biological,0.109,0.8909999999999999,False
3auf_1,biological,0.096,0.904,False
3aux_2,crystal,0.9540000000000001,0.046,False
3aw8_1,biological,0.247,0.753,False
3b39_3,crystal,0.998,0.002,False
3b7h_1,biological,0.027000000000000003,0.973,False
3b7m_6,crystal,0.986,0.013999999999999999,False
3bde_2,biological,0.0,1.0,False
3bdl_3,crystal,0.852,0.14800000000000002,False
3bif_1,crystal,1.0,0.0,False
3bjv_1,biological,0.12300000000000001,0.877,False
3bl8_1,biological,0.135,0.865,False
3blc_3,crystal,1.0,0.0,False
3bqa_1,crystal,0.8079999999999999,0.192,False
3bs3_1,biological,0.092,0.9079999999999999,False
3bwv_1,biological,0.001,0.9990000000000001,False
3bxh_1,biological,0.121,0.879,False
3bxx_1,crystal,0.9279999999999999,0.07200000000000001,False
3bxz_1,crystal,0.78,0.22,False
3by8_2,biological,0.006,0.9940000000000001,False
3c1q_1,biological,0.267,0.733,False
3c5q_1,biological,0.004,0.996,False
3c6b_1,biological,0.282,0.718,False
3c8j_1,crystal,0.968,0.032,False
3c8x_2,biological,0.013999999999999999,0.986,False
3c9g_1,biological,0.081,0.919,False
3cb2_1,biological,0.26,0.74,False
3ccg_1,biological,0.03,0.97,False
3ce1_1,biological,0.008,0.992,False
3chi_1,biological,0.028999999999999998,0.971,False
3cl3_7,crystal,0.948,0.052000000000000005,False
3clv_1,crystal,0.985,0.015,False
3cnk_1,biological,0.061,0.9390000000000001,False
3cpe_5,crystal,0.953,0.047,False
3crj_1,biological,0.0,1.0,False
3ctz_1,biological,0.015,0.985,False
3cwn_2,biological,0.159,0.841,False
3cyv_1,crystal,0.9470000000000001,0.053,False
3cz7_3,crystal,0.951,0.049,False
3d6r_3,crystal,0.706,0.294,False
3d7a_1,biological,0.027000000000000003,0.973,False
3d7q_2,biological,0.001,0.9990000000000001,False
3d8u_1,biological,0.046,0.9540000000000001,False
3da8_1,biological,0.078,0.922,False
3dcj_1,crystal,0.996,0.004,False
3dd9_1,biological,0.0,1.0,False
3ded_1,biological,0.076,0.924,False
3dex_1,biological,0.026000000000000002,0.9740000000000001,False
3dh1_1,biological,0.002,0.998,False
3die_1,biological,0.001,0.9990000000000001,False
3dih_2,crystal,0.634,0.366,False
3dka_1,biological,0.0,1.0,False
3dl3_1,crystal,0.7040000000000001,0.29600000000000004,False
3dm8_1,biological,0.0,1.0,False
3do5_1,biological,0.054000000000000006,0.946,False
3dpt_1,crystal,0.988,0.012,False
3dqv_12,crystal,0.9790000000000001,0.021,False
3dqz_2,biological,0.016,0.9840000000000001,False
3dui_1,biological,0.08199999999999999,0.9179999999999999,False
3duv_1,biological,0.07,0.93,False
3dvf_1,crystal,0.733,0.267,False
3dxb_16,crystal,0.88,0.12,False
3dyd_1,biological,0.001,0.9990000000000001,False
3e6d_1,biological,0.08900000000000001,0.9109999999999999,False
3e7k_14,biological,0.109,0.8909999999999999,False
3e8s_1,biological,0.013999999999999999,0.986,False
3eb8_3,crystal,0.9470000000000001,0.053,False
3ec9_1,biological,0.011000000000000001,0.9890000000000001,False
3eeg_1,biological,0.023,0.977,False
3ees_1,biological,0.01,0.99,False
3efb_1,biological,0.004,0.996,False
3egj_2,biological,0.10099999999999999,0.899,False
3ego_1,biological,0.018000000000000002,0.982,False
3ehc_1,biological,0.035,0.965,False
3eij_1,biological,0.027999999999999997,0.972,False
3enm_11,crystal,0.643,0.35700000000000004,False
3erj_1,biological,0.0,1.0,False
3esf_1,biological,0.14300000000000002,0.857,False
3eul_6,biological,0.077,0.9229999999999999,False
3eus_1,biological,0.205,0.795,False
