pdb_id,is_levy,is_physio,len_seq,model_id,DockQ,iptm
1jm0_2,True,True,50,model_5_multimer,0.919,0.8121069669723511
1jog_2,True,True,146,model_5_multimer,0.928,0.8873083591461182
1jqj_9,False,False,343,model_2_multimer,0.017,0.3183131814002991
1jr9_1,True,True,202,model_2_multimer,0.946,0.9264892339706421
1jrk_1,True,True,156,model_3_multimer,0.829,0.8879011869430542
1juh_9,False,False,350,model_3_multimer,0.748,0.9410698413848877
1jye_1,True,False,349,model_3_multimer,0.007,0.8685907125473022
1jzo_1,True,True,216,model_5_multimer,0.68,0.7323509454727173
1k1y_4,False,False,659,model_4_multimer,0.004,0.9139353632926941
1k46_1,False,False,136,model_5_multimer,0.011,0.2547338604927063
1k6i_3,False,False,352,model_1_multimer,0.053,0.16332948207855225
1k9a_11,False,False,450,model_4_multimer,0.215,0.11705636233091354
1kcm_6,False,False,270,model_1_multimer,0.274,0.16463693976402283
1kez_1,True,True,300,model_3_multimer,0.549,0.8529747724533081
1kho_1,False,False,370,model_5_multimer,0.075,0.13931241631507874
1khx_2,False,False,227,model_2_multimer,0.056,0.21504446864128113
1kie_1,True,True,339,model_2_multimer,0.827,0.9366053938865662
1kix_3,False,False,495,model_3_multimer,0.053,0.2107972651720047
1ks2_1,True,True,219,model_5_multimer,0.78,0.9374844431877136
1ktn_1,True,True,250,model_2_multimer,0.907,0.9243531227111816
1ku2_1,False,False,241,model_4_multimer,0.052,0.09240495413541794
1ku2_4,False,False,241,model_2_multimer,0.042,0.08593514561653137
1kut_1,True,True,230,model_4_multimer,0.859,0.9077701568603516
1kvo_2,True,False,124,model_1_multimer,0.018,0.8069380521774292
1l7c_5,False,False,269,model_3_multimer,0.126,0.15414373576641083
1lee_3,False,False,331,model_4_multimer,0.256,0.203270822763443
1lkv_6,False,False,232,model_3_multimer,0.021,0.37916433811187744
1lvb_5,True,False,243,model_2_multimer,0.022,0.8543388843536377
1lws_4,False,False,454,model_4_multimer,0.011,0.11431226134300232
1lyn_1,True,True,136,model_1_multimer,0.668,0.4968518018722534
1m08_1,True,True,131,model_4_multimer,0.062,0.13492876291275024
1m2a_1,True,True,110,model_3_multimer,0.9,0.9275487661361694
1m6b_2,False,False,621,model_5_multimer,0.006,0.2524591088294983
1m6u_9,False,False,272,model_4_multimer,0.041,0.6104798913002014
1mft_1,True,True,53,model_5_multimer,0.906,0.8562353849411011
1mi8_1,True,True,158,model_4_multimer,0.909,0.8451647758483887
1mml_2,False,False,265,model_1_multimer,0.108,0.2558615505695343
1mp9_1,True,True,198,model_1_multimer,0.86,0.7655586004257202
1mqd_4,True,True,261,model_1_multimer,0.96,0.9262338876724243
1mvh_1,False,False,299,model_5_multimer,0.019,0.10747629404067993
1my6_1,True,True,199,model_3_multimer,0.965,0.935038685798645
1my7_1,True,True,114,model_3_multimer,0.899,0.8665546178817749
1n0v_2,False,False,842,model_3_multimer,0.031,0.16537639498710632
1nf7_4,False,False,514,model_1_multimer,0.005,0.2486465722322464
1nfs_1,True,True,183,model_3_multimer,0.952,0.9326665997505188
1nft_1,False,False,329,model_4_multimer,0.04,0.1844756156206131
1nft_2,False,False,329,model_3_multimer,0.008,0.1393062025308609
1np6_1,True,True,174,model_4_multimer,0.75,0.8909436464309692
1np8_1,True,False,159,model_2_multimer,0.061,0.1536473035812378
1ns5_1,True,True,155,model_4_multimer,0.81,0.907050371170044
1nvt_1,True,True,287,model_1_multimer,0.744,0.8762513399124146
1nzi_1,True,True,159,model_3_multimer,0.758,0.7457038164138794
1o12_1,True,True,376,model_2_multimer,0.859,0.9241239428520203
1o64_1,True,True,219,model_4_multimer,0.932,0.8843694925308228
1o6d_2,True,True,163,model_3_multimer,0.926,0.8822309970855713
1o92_2,False,False,396,model_2_multimer,0.007,0.9244633913040161
1obb_1,True,True,480,model_5_multimer,0.912,0.9215906858444214
1ohq_1,True,True,120,model_2_multimer,0.142,0.29345351457595825
1okj_1,True,True,251,model_1_multimer,0.538,0.7840678691864014
1or3_7,False,False,165,model_1_multimer,0.067,0.2461668848991394
1ors_10,False,False,132,model_5_multimer,0.091,0.730902910232544
1ov4_1,True,True,293,model_1_multimer,0.745,0.7971651554107666
1ovn_1,True,True,248,model_3_multimer,0.736,0.7897844314575195
1oya_1,True,True,400,model_2_multimer,0.937,0.9390416145324707
1p35_11,False,False,299,model_1_multimer,0.048,0.10489903390407562
1p8l_1,False,False,304,model_4_multimer,0.011,0.1487215906381607
1pcz_1,False,False,191,model_3_multimer,0.705,0.8545752167701721
1pd5_26,False,False,219,model_2_multimer,0.01,0.3919452428817749
1poe_1,True,False,124,model_1_multimer,0.015,0.8372474312782288
1pp3_2,False,False,207,model_3_multimer,0.047,0.3239530920982361
1prx_1,True,True,224,model_5_multimer,0.673,0.9393325448036194
1psa_1,False,False,326,model_2_multimer,0.056,0.2042330950498581
1psq_1,True,True,163,model_4_multimer,0.949,0.8969303965568542
1pxv_1,False,False,183,model_4_multimer,0.226,0.11633268743753433
1q1e_2,False,False,381,model_4_multimer,0.005,0.8469216227531433
1q1n_1,True,True,360,model_1_multimer,0.841,0.9057307243347168
1q4j_1,True,False,211,model_4_multimer,0.014,0.9389960765838623
1q7s_3,True,True,117,model_2_multimer,0.69,0.9051588773727417
1q98_1,True,True,165,model_2_multimer,0.737,0.8875486254692078
1qex_1,False,False,288,model_3_multimer,0.146,0.8389568328857422
1qex_6,False,False,288,model_3_multimer,0.007,0.857050359249115
1qg7_1,True,True,67,model_4_multimer,0.646,0.6975845098495483
1qhm_4,False,False,624,model_2_multimer,0.003,0.9459444880485535
1qhq_3,True,True,140,model_2_multimer,0.836,0.8374049067497253
1qkd_1,True,True,62,model_3_multimer,0.518,0.17512673139572144
1qmj_1,True,True,132,model_5_multimer,0.91,0.906395673751831
1qpg_1,False,False,415,model_2_multimer,0.02,0.12624843418598175
1qq7_1,True,True,253,model_4_multimer,0.95,0.9493612051010132
1qrd_1,True,False,273,model_5_multimer,0.007,0.9525181651115417
1qto_1,True,True,122,model_4_multimer,0.95,0.9295047521591187
1qvt_19,True,False,194,model_5_multimer,0.009,0.8295162916183472
1qvw_1,True,True,237,model_4_multimer,0.91,0.8685730695724487
1qxh_1,True,True,167,model_5_multimer,0.919,0.8427037000656128
1qya_1,True,True,307,model_5_multimer,0.954,0.9096338748931885
1r5q_2,True,True,102,model_4_multimer,0.736,0.8757878541946411
1r7j_1,True,True,95,model_2_multimer,0.871,0.8032649159431458
1rcw_2,True,True,231,model_1_multimer,0.918,0.9122925400733948
1rfy_1,True,True,102,model_4_multimer,0.853,0.8834707736968994
1rk4_1,False,False,243,model_3_multimer,0.085,0.08069963753223419
1rkr_5,True,True,129,model_1_multimer,0.185,0.2134522795677185
1rp5_3,False,False,702,model_5_multimer,0.011,0.16249942779541016
1rpa_1,True,True,342,model_1_multimer,0.928,0.9443857669830322
1rtv_1,True,False,184,model_4_multimer,0.014,0.9287782907485962
1rz6_2,True,True,326,model_5_multimer,0.591,0.9333405494689941
1s9c_6,True,True,298,model_5_multimer,0.956,0.9066382646560669
1s9p_1,True,True,227,model_1_multimer,0.893,0.9419307708740234
1s9p_5,True,False,227,model_3_multimer,0.009,0.9474268555641174
1se8_1,True,False,301,model_2_multimer,0.009,0.7910652160644531
1sfl_1,True,True,238,model_5_multimer,0.937,0.9263923168182373
1sfr_4,True,True,304,model_5_multimer,0.45,0.6978586912155151
1si5_3,False,False,240,model_3_multimer,0.029,0.09966956079006195
1slb_2,True,True,134,model_3_multimer,0.867,0.8327761888504028
1som_1,True,False,543,model_4_multimer,0.005,0.8382886648178101
1srr_1,True,True,124,model_4_multimer,0.068,0.6349720358848572
1sw2_4,False,False,275,model_2_multimer,0.047,0.23863211274147034
1sxs_1,True,True,151,model_4_multimer,0.895,0.9375439882278442
1syq_8,False,False,264,model_1_multimer,0.007,0.2601790428161621
1t0i_1,True,True,191,model_5_multimer,0.883,0.9383376240730286
1t1e_2,False,False,552,model_5_multimer,0.006,0.22166062891483307
1t1l_1,False,False,427,model_5_multimer,0.366,0.2931189239025116
1t3w_1,False,False,148,model_3_multimer,0.434,0.4933598041534424
1taq_5,False,False,832,model_4_multimer,0.007,0.17918065190315247
1tf5_1,False,False,844,model_3_multimer,0.017,0.1681559979915619
1tfg_1,True,True,112,model_1_multimer,0.669,0.7513008117675781
1tmk_1,True,True,216,model_1_multimer,0.964,0.9229018092155457
1to0_3,True,True,167,model_1_multimer,0.944,0.8758151531219482
1to4_1,True,True,156,model_3_multimer,0.788,0.931181788444519
1tvd_1,True,True,116,model_3_multimer,0.944,0.8652816414833069
1txn_1,True,False,328,model_1_multimer,0.023,0.9155322909355164
1tz3_1,True,True,339,model_5_multimer,0.732,0.567449688911438
1u07_1,False,False,90,model_2_multimer,0.932,0.842896580696106
1u20_1,True,True,212,model_4_multimer,0.632,0.8899518251419067
1u2j_24,False,False,326,model_3_multimer,0.025,0.31986308097839355
1u3z_1,True,True,106,model_5_multimer,0.976,0.862089991569519
1u4m_1,True,True,68,model_3_multimer,0.822,0.819813072681427
1uat_2,True,True,129,model_2_multimer,0.184,0.34440839290618896
1ud0_7,False,False,113,model_4_multimer,0.696,0.6489545106887817
1udv_1,True,True,89,model_4_multimer,0.943,0.8153716325759888
1uer_2,True,True,191,model_3_multimer,0.953,0.9329290390014648
1ujk_3,True,False,147,model_3_multimer,0.06,0.08316358923912048
1ujn_1,True,True,348,model_1_multimer,0.803,0.9128276109695435
1ukg_1,True,True,252,model_4_multimer,0.942,0.9031997919082642
1uou_1,True,True,474,model_2_multimer,0.843,0.8650052547454834
1usm_1,True,True,80,model_2_multimer,0.961,0.9119935631752014
1uvz_3,True,True,119,model_4_multimer,0.129,0.12407109141349792
1v2a_1,True,True,210,model_4_multimer,0.931,0.9410056471824646
1v2z_1,True,True,111,model_2_multimer,0.598,0.7740030288696289
1v4t_4,False,False,451,model_5_multimer,0.007,0.5054423213005066
1v4v_1,True,True,376,model_3_multimer,0.653,0.8607008457183838
1v98_2,True,True,140,model_5_multimer,0.533,0.8871439695358276
1vez_2,True,True,177,model_4_multimer,0.929,0.8837997913360596
1vg9_2,False,False,650,model_3_multimer,0.009,0.15513497591018677
1vh0_8,True,True,161,model_4_multimer,0.934,0.9155595898628235
1vic_7,False,False,262,model_1_multimer,0.008,0.90733402967453
1vok_6,True,False,200,model_4_multimer,0.01,0.8825005292892456
1vpl_1,True,False,256,model_4_multimer,0.122,0.09168185293674469
1vqu_1,True,True,374,model_4_multimer,0.942,0.8750073909759521
1vr0_1,True,True,247,model_3_multimer,0.918,0.9347608089447021
1wac_4,False,False,662,model_5_multimer,0.006,0.13957151770591736
1wlg_3,False,False,299,model_2_multimer,0.007,0.21100366115570068
1wn2_1,True,True,121,model_2_multimer,0.873,0.9168088436126709
1wtc_1,True,False,323,model_2_multimer,0.007,0.912131667137146
1wwp_1,True,True,119,model_4_multimer,0.936,0.907135009765625
1x1p_3,False,False,212,model_5_multimer,0.008,0.3111668527126312
1xef_2,True,True,241,model_3_multimer,0.495,0.46184027194976807
1xew_4,False,False,182,model_1_multimer,0.015,0.3081846237182617
1xi1_1,False,False,575,model_1_multimer,0.008,0.128785640001297
1xi3_1,True,True,215,model_2_multimer,0.951,0.9271536469459534
1xkv_1,True,False,529,model_5_multimer,0.005,0.879532516002655
1xkz_2,True,True,255,model_3_multimer,0.013,0.2904418408870697
1xlu_1,True,False,529,model_4_multimer,0.103,0.8179091215133667
1xrc_5,False,False,383,model_5_multimer,0.008,0.9390738010406494
1xre_1,True,True,217,model_3_multimer,0.989,0.909720778465271
1xso_1,True,True,150,model_3_multimer,0.965,0.9355977773666382
1xsv_1,True,True,113,model_3_multimer,0.933,0.8351737260818481
1xty_2,True,True,120,model_3_multimer,0.961,0.9185351133346558
1xub_1,True,False,298,model_5_multimer,0.006,0.8336161971092224
1xuq_1,True,True,212,model_1_multimer,0.987,0.9103333950042725
1xur_1,True,False,171,model_3_multimer,0.028,0.42253828048706055
1xvq_2,True,True,175,model_4_multimer,0.614,0.8752173781394958
1xwb_5,True,True,106,model_4_multimer,0.137,0.0886964201927185
1y67_1,True,True,229,model_1_multimer,0.987,0.8944748640060425
1y6h_3,False,False,177,model_3_multimer,0.017,0.8729248046875
1y7h_2,True,True,268,model_4_multimer,0.953,0.9443408250808716
1y7y_1,True,True,74,model_1_multimer,0.965,0.8971114158630371
1yad_2,True,True,221,model_3_multimer,0.955,0.8685401082038879
1yae_9,True,True,312,model_1_multimer,0.824,0.8690239191055298
1ybz_2,True,True,91,model_5_multimer,0.898,0.9083608388900757
1ye5_1,True,True,149,model_5_multimer,0.888,0.9200534820556641
1yem_1,True,True,179,model_1_multimer,0.987,0.9019521474838257
1yln_1,False,False,252,model_1_multimer,0.007,0.8015081882476807
1ysj_1,True,True,404,model_5_multimer,0.646,0.830995500087738
1yv9_1,True,False,264,model_4_multimer,0.011,0.9069467186927795
1yvl_4,True,False,683,model_4_multimer,0.183,0.35111182928085327
1z72_1,True,True,225,model_4_multimer,0.921,0.9246202707290649
1z9p_1,True,True,155,model_4_multimer,0.964,0.9260433912277222
1zbh_2,False,False,299,model_2_multimer,0.501,0.4018097519874573
1zbr_1,True,True,349,model_3_multimer,0.945,0.9278020858764648
1zc6_1,True,False,305,model_2_multimer,0.012,0.8401258587837219
1zcj_3,False,False,463,model_1_multimer,0.111,0.137144535779953
1zh2_1,True,True,121,model_1_multimer,0.891,0.9066411256790161
1zjj_1,True,True,263,model_5_multimer,0.91,0.9272521138191223
1zlj_1,True,True,78,model_3_multimer,0.944,0.7989271879196167
1zp7_1,True,True,206,model_5_multimer,0.625,0.8104538917541504
1zsz_1,True,True,110,model_1_multimer,0.961,0.9183605313301086
1zxk_1,True,True,98,model_2_multimer,0.904,0.8644270300865173
1zy2_1,True,True,150,model_2_multimer,0.93,0.8490053415298462
1zzh_2,True,True,328,model_4_multimer,0.566,0.9450230598449707
2a4a_3,True,True,281,model_2_multimer,0.574,0.7984268665313721
2a67_2,True,True,167,model_1_multimer,0.978,0.9417425394058228
2a8f_1,True,True,98,model_2_multimer,0.153,0.3242664337158203
2ac1_3,False,False,541,model_5_multimer,0.005,0.2341967225074768
2aca_1,True,True,189,model_1_multimer,0.85,0.9077138304710388
2ahm_21,False,False,203,model_1_multimer,0.01,0.199793741106987
2ajq_9,False,False,704,model_4_multimer,0.004,0.15645194053649902
2aps_1,True,True,162,model_3_multimer,0.969,0.9110515117645264
2ar8_1,True,False,538,model_4_multimer,0.004,0.8879450559616089
2axi_3,True,False,115,model_5_multimer,0.049,0.5908907651901245
2b0u_18,False,False,288,model_2_multimer,0.004,0.23622293770313263
2b5a_1,True,True,77,model_3_multimer,0.897,0.9189777374267578
2b7l_1,True,True,132,model_4_multimer,0.892,0.8546937108039856
2b8h_6,False,False,388,model_1_multimer,0.006,0.13343758881092072
2bbh_4,False,False,269,model_1_multimer,0.029,0.21679238975048065
2bde_2,True,False,470,model_1_multimer,0.006,0.8385835886001587
2bdm_2,False,False,476,model_4_multimer,0.007,0.1446717530488968
2bdq_1,True,True,224,model_3_multimer,0.955,0.9219367504119873
2bej_1,True,False,257,model_4_multimer,0.009,0.4878494143486023
2bhm_2,True,True,164,model_1_multimer,0.846,0.833647608757019
2bho_1,True,True,130,model_4_multimer,0.883,0.8391969799995422
2bm5_1,True,True,186,model_3_multimer,0.886,0.907955527305603
2bpd_1,True,False,142,model_1_multimer,0.016,0.4060212969779968
2brv_1,False,False,731,model_1_multimer,0.004,0.25605064630508423
2c2x_1,True,True,281,model_4_multimer,0.881,0.9375382661819458
2c9s_1,True,True,153,model_1_multimer,0.971,0.9384241700172424
2cc3_1,True,True,150,model_5_multimer,0.916,0.8594927787780762
2cd0_1,True,True,111,model_4_multimer,0.793,0.9186978936195374
2ctx_1,True,True,71,model_2_multimer,0.153,0.14055317640304565
2cw2_1,True,True,226,model_5_multimer,0.988,0.8658996820449829
2cw3_1,True,True,280,model_2_multimer,0.928,0.7282230257987976
2cx4_1,True,True,164,model_1_multimer,0.765,0.866226077079773
2d13_2,True,True,227,model_2_multimer,0.76,0.9092193841934204
2d4h_1,False,False,328,model_4_multimer,0.005,0.8826736211776733
2dc4_1,True,True,165,model_3_multimer,0.952,0.914466142654419
2dh6_1,False,False,397,model_5_multimer,0.007,0.9524275660514832
2dou_1,True,True,376,model_1_multimer,0.838,0.9472135901451111
2dpf_1,True,True,115,model_5_multimer,0.849,0.9032759666442871
2dql_1,True,True,115,model_3_multimer,0.957,0.8860375881195068
2dsj_1,True,True,423,model_2_multimer,0.811,0.8344755172729492
2dvn_1,True,False,186,model_5_multimer,0.009,0.923312783241272
2dwu_1,True,True,276,model_4_multimer,0.929,0.9201374053955078
2dwy_6,True,False,133,model_3_multimer,0.233,0.24328017234802246
2e1d_1,True,True,331,model_3_multimer,0.975,0.9488235712051392
2e2c_1,True,True,156,model_1_multimer,0.824,0.7608002424240112
2e46_1,True,True,157,model_1_multimer,0.744,0.9279420971870422
2eav_1,True,True,165,model_1_multimer,0.013,0.23184935748577118
2ebb_1,True,True,101,model_4_multimer,0.977,0.920095682144165
2ecf_1,True,True,741,model_4_multimer,0.932,0.7951644659042358
2egu_3,True,False,308,model_5_multimer,0.006,0.9405826330184937
2ejn_1,False,False,153,model_4_multimer,0.284,0.11075547337532043
2ekz_1,True,False,177,model_4_multimer,0.06,0.0768359899520874
2eo0_1,True,True,147,model_1_multimer,0.753,0.8681066036224365
2erc_1,False,False,244,model_4_multimer,0.012,0.4015877842903137
2ew2_1,True,True,316,model_1_multimer,0.684,0.9043676853179932
2ewt_1,True,True,71,model_5_multimer,0.533,0.8410625457763672
2f00_1,True,True,491,model_1_multimer,0.353,0.7138817310333252
2f1m_2,False,False,277,model_5_multimer,0.004,0.7720710039138794
2f1z_5,False,False,522,model_3_multimer,0.008,0.1293523609638214
2f5e_1,True,True,142,model_4_multimer,0.959,0.8987040519714355
2f6s_1,True,True,201,model_5_multimer,0.012,0.8637359142303467
2f96_1,True,True,224,model_5_multimer,0.967,0.9035329818725586
2f9q_2,False,False,479,model_5_multimer,0.047,0.23118749260902405
2f9q_3,False,False,479,model_1_multimer,0.135,0.17771458625793457
2fca_1,True,True,213,model_2_multimer,0.89,0.9029828310012817
2fco_1,True,True,200,model_4_multimer,0.691,0.8230533599853516
2ffv_3,False,False,501,model_2_multimer,0.017,0.16945800185203552
2fhq_1,True,True,141,model_3_multimer,0.962,0.9057941436767578
2fj2_2,True,True,71,model_3_multimer,0.849,0.7879505157470703
2fn1_1,True,True,437,model_5_multimer,0.754,0.831693172454834
2fuc_1,True,True,262,model_1_multimer,0.865,0.8191007971763611
2fv7_1,True,False,331,model_3_multimer,0.009,0.8405064344406128
2g0h_1,True,False,271,model_1_multimer,0.009,0.6969270706176758
2g3k_8,True,False,94,model_1_multimer,0.055,0.8374248743057251
2g3p_1,False,False,225,model_1_multimer,0.061,0.11423671245574951
2g45_2,False,False,129,model_4_multimer,0.024,0.16564249992370605
2g7p_1,False,False,425,model_4_multimer,0.019,0.15347260236740112
2gd5_1,False,False,179,model_5_multimer,0.855,0.8212604522705078
2gff_1,True,True,106,model_4_multimer,0.846,0.8644551038742065
2goj_1,True,True,197,model_5_multimer,0.977,0.9407398700714111
2gpc_1,True,True,194,model_3_multimer,0.976,0.9346576929092407
2gs2_1,True,False,330,model_3_multimer,0.021,0.09248119592666626
2gsl_3,True,True,137,model_3_multimer,0.886,0.8450704216957092
2gwh_1,True,True,298,model_1_multimer,0.518,0.8879789113998413
2gz6_1,True,True,388,model_2_multimer,0.004,0.9325529336929321
2h2w_1,True,True,312,model_2_multimer,0.344,0.8772872090339661
2h8k_1,True,True,306,model_1_multimer,0.569,0.8518918752670288
2h9u_1,True,True,102,model_2_multimer,0.78,0.8707950115203857
2ha7_1,True,False,543,model_3_multimer,0.003,0.9009789228439331
2hb0_1,False,False,369,model_5_multimer,0.011,0.13972802460193634
2hjd_1,True,True,102,model_2_multimer,0.872,0.8700019121170044
2hk3_1,True,True,331,model_5_multimer,0.9,0.88811194896698
2hku_1,True,True,215,model_4_multimer,0.694,0.8271982073783875
2hng_1,True,True,127,model_3_multimer,0.981,0.9317638874053955
2hzb_1,True,True,333,model_1_multimer,0.857,0.8636093139648438
2i45_4,True,True,107,model_1_multimer,0.855,0.8486887216567993
2i5p_1,True,True,342,model_2_multimer,0.862,0.8738453388214111
2i6a_2,False,False,345,model_1_multimer,0.024,0.1455637365579605
