File,I_Proba_Consensus,F_SOAP,F_Network_full,F_Network_binding_0,F_Network_binding_1,F_FireDockScore,TrainingColumn,Source
1ex2_1.pdb,0.002407481,-335.99199999999996,520.79156,2.7555496337777696,3.2168497466001487,-7.61,0,QSbio
1f1c_1.pdb,0.049713593,-1031.813,-989.7182,-2.6845410883546412,-2.6794858444111584,-51.38,1,QSbio
1f1g_2.pdb,0.5695274,-1844.484,-2149.6206,-4.924643102024792,-4.79103328805859,-55.31,0,QSbio
1f1j_5.pdb,0.0095562525,-1421.289,-133.02562,0.6466386752275428,0.005819637112619239,-28.49,0,QSbio
1fcf_6.pdb,0.0036509137,-550.922,-69.15751,-1.4953702855822542,-1.5041540378159524,2.78,0,Dunbrack
1fdj_11.pdb,0.0145350965,-1409.207,-392.80075,1.7572623144631787,1.7136698453412813,6.89,1,Dunbrack
1fe0_1.pdb,0.0054223887,-116.04299999999999,-322.4377,-1.8596871910793584,-2.1484159460743446,-13.61,1,QSbio
1fp3_2.pdb,0.99185526,-3870.967,-2454.5088,-4.914906905238627,-5.244905453108943,-116.53,1,QSbio
1fp5_1.pdb,0.67180413,-2679.34,-2640.0896,-1.1405907077938016,-1.1529642524467325,-28.7,0,QSbio
1fpq_1.pdb,0.99256074,-13041.731000000002,-7453.0547,-6.810884866827258,-6.821732651483767,-420.66,1,QSbio
1fr1_1.pdb,0.07259661,-1822.8129999999999,-1191.6185,-3.6545583045051697,-3.848680335653474,-19.0,0,Dunbrack
1fse_3.pdb,0.031448536,-985.6060000000001,-907.3154,-2.035282399325761,-2.0306819009830046,-45.15,1,QSbio
1fu1_8.pdb,0.07389588,-3045.756,-254.74223,6.5449071604717295,6.579094008518814,-50.15,0,Dunbrack
1fux_1.pdb,0.617742,-2742.243,-1740.977,-5.3139495901275975,-5.100317933465994,-45.54,1,QSbio
1fvp_1.pdb,0.9922756,-3446.255,-2923.6052,-2.5914360217172114,-3.6588026226582793,-166.91,1,QSbio
1fzv_1.pdb,0.99241954,-4145.3809999999985,-2896.3376,-3.859637859429623,-3.5515777755563294,-205.35,0,QSbio
1g68_1.pdb,0.010754001,-1389.8139999999999,-319.2650799999999,-1.7097267606291475,-1.7088774326668112,-11.11,0,Dunbrack
1g73_7.pdb,0.61959815,-2902.005,-2402.5562,8.115449857952969,9.145894060984453,-56.21,0,Dunbrack
1gam_1.pdb,0.09462841,-1513.896,-1393.4934,-0.2068999135304717,-0.5396931751722619,-5.34,0,QSbio
1gan_1.pdb,0.6335685999999999,-1823.3039999999999,-2351.0693,-4.54816192844485,-4.974029386867566,-70.17,0,QSbio
1gcj_1.pdb,0.9916347,-3004.333,-2741.5723,-4.131017563623172,-3.907006760744853,-109.16,0,Dunbrack
1ggt_10.pdb,0.015660005,-1095.187,-731.1226,-3.8354428845408735,-4.4564668591491845,-7.07,0,Dunbrack
1gmz_1.pdb,0.5087009,-2118.9970000000008,-1755.8754,-1.5511802423855516,-1.5435291301948657,-2.58,0,QSbio
1gxd_4.pdb,0.007525818,-1177.681,63.88195,-2.802671833751132,-2.7970532961113745,-22.67,1,Dunbrack
1gyl_1.pdb,0.021801163,-1583.277,-441.25253,6.973936634286655,3.2860768248460115,-83.07,1,Dunbrack
1gyo_1.pdb,0.040206056,-1027.857,-815.99146,-0.8677372339483639,-0.8093903538916366,-72.64,0,QSbio
1h0x_1.pdb,0.6218544,-2038.396,-1824.507,-2.0892032025307947,-2.3735683762721567,-99.2,0,QSbio
1h1y_1.pdb,0.9922406,-3480.415,-2888.7717,-5.704608746334287,-6.257253795824427,-125.63,1,QSbio
1h3i_1.pdb,0.9352786,-3997.2329999999997,-2273.531,-1.1882721571959216,-1.931081874579627,-102.47,0,Dunbrack
1ha4_1.pdb,0.059607077,-1353.101,-1189.3301,-0.8600121052777187,-0.9996429048861964,-26.59,1,QSbio
1hjr_1.pdb,0.93723047,-2436.462,-3300.6426,-5.12103496185652,-1.1916084192581855,-115.6,1,QSbio
1hlc_1.pdb,0.11716364,-1290.48,-1870.6101,-4.17792043562254,-4.162959709892519,-51.35,1,QSbio
1hq8_1.pdb,0.9222477,-2599.9610000000002,-1932.2916,-3.806952379344982,-3.7954160086530786,-94.73,0,QSbio
1hsj_1.pdb,0.9922843,-7022.695,-3506.861,-7.1835964388674745,-6.5787826999065,-114.57,0,Dunbrack
1hux_1.pdb,0.06786176599999999,-818.6419999999997,-1287.5402,-2.3238762826673374,-2.4501025986954112,-39.66,1,QSbio
1hy3_1.pdb,0.0066980235,-448.741,-85.61429,-4.602314683173522,-4.4626513107948735,-19.37,0,QSbio
1i49_3.pdb,0.007818284,-1331.61,75.7769,5.875260726376761,6.1178837810339655,2.39,1,Dunbrack
1i74_1.pdb,0.5798701999999999,-1688.1370000000006,-2053.3323,-6.011023947958139,-5.717866068410581,-105.45,0,QSbio
1ibd_1.pdb,0.18887612,-3322.08,-1154.6636,-2.011924089157574,-2.0113919078889,-67.6,0,QSbio
1ici_5.pdb,0.935884,-2440.22,-2785.8835,-5.114154604922653,-5.118083855632218,-74.29,1,Dunbrack
1ii2_1.pdb,0.045886688,-1606.6570000000006,-714.60516,-5.065001637167044,-5.092767055972124,-58.82,0,QSbio
1iiw_1.pdb,0.044006396,-2603.505,-594.8482700000002,0.4582707450201806,0.4484500548607879,-53.13,0,QSbio
1ijy_1.pdb,0.06723823400000001,-1737.3670000000006,-927.63525,-1.23926144062422,0.012265540420390426,-63.1,1,QSbio
1iqc_1.pdb,0.9924528,-6320.138000000001,-3414.6245,-5.444189278420013,-5.444921124359364,-199.38,1,QSbio
1is3_1.pdb,0.8813068000000001,-2392.516,-1726.9038,-3.3379344247703497,-3.295904227002129,-117.85,0,QSbio
1iug_1.pdb,0.9920639,-4017.0209999999997,-4602.0244,-3.4474862813796574,-3.672993159164653,-116.42,0,QSbio
1ivl_1.pdb,0.17712146,-1555.7320000000002,-1598.4131,-2.5789116196204884,-2.9286571480351986,-57.83,0,QSbio
1ix9_1.pdb,0.92289716,-3051.441,-2435.6663,-5.1243283584488015,-4.840007057633855,-67.31,0,QSbio
1ixq_2.pdb,0.9922258,-3845.0440000000003,-3527.2969,-5.4105244805602215,-5.904103407669194,-114.07,0,QSbio
1iyz_1.pdb,0.002624885,-811.7280000000003,346.66324,1.7136262615064364,1.7169250641135327,12.33,0,QSbio
1j1i_1.pdb,0.55495083,-3193.435,-1962.3036,-3.4250955153502014,-3.4253636027789134,-82.72,0,QSbio
1j36_3.pdb,0.0132416515,-1646.131,-208.15329,-3.653971020235194,-3.7206045783652666,5.58,0,Dunbrack
1j8b_1.pdb,0.120723344,-2398.444,-1562.7772,-2.581107482097,-2.6105793144047995,554.49,0,QSbio
1j8f_5.pdb,0.992383,-6943.181,-3159.8535,-2.9798050645647884,-2.982930080876074,-192.84,0,Dunbrack
1jbg_1.pdb,0.9481037,-3529.2540000000013,-2522.9739,-2.9428924176693347,-2.9431244523693816,-84.12,0,QSbio
1jhe_1.pdb,0.14692837,-1749.026,-1266.9895,-4.970017710556922,-4.705836578473783,-55.13,0,QSbio
1jil_1.pdb,0.102242276,-3325.022,-1105.637,0.4450672088147215,0.4397479712535735,-9.62,1,QSbio
1jm0_2.pdb,0.94117737,-3843.007,-3764.426,-0.6766531962803217,-1.0126645836813202,-91.81,0,QSbio
1jog_2.pdb,0.9884223,-2720.6540000000005,-3356.8884,-4.216231300708162,-4.601136070930787,-77.66,0,QSbio
1jqj_9.pdb,0.04711834,-2192.58,-600.2033700000002,1.4109515995263116,-0.2432245036509749,-17.3,0,Dunbrack
1jr9_1.pdb,0.6458209,-2513.1620000000007,-2053.034,-5.163508021842423,-5.161919283159628,-53.07,0,QSbio
1jrk_1.pdb,0.9923248,-3536.267000000001,-3076.802,-2.3731677160461624,-2.2397490243759623,-180.29,0,QSbio
1juh_9.pdb,0.42841038,-5606.245,-1779.9891,-2.540985787150478,-0.711167053731398,-132.58,0,Dunbrack
1jye_1.pdb,0.0032629940000000004,-666.2360000000001,-27.22821,5.291183720045229,5.380050635961099,-25.2,0,QSbio
1jzo_1.pdb,0.9292151,-3302.453,-2633.7637,0.14682180394445168,-0.4013639065402052,-110.83,0,QSbio
1k1y_4.pdb,0.034161486,-3070.7529999999997,-323.1953,-0.20934389079179894,-0.20325430548058507,-50.81,0,Dunbrack
1k46_1.pdb,0.8084208,-8516.696,-4580.8984,-4.634336988976184,-4.6364557265980935,26.29,0,Dunbrack
1k6i_3.pdb,0.010466733,-1517.444,-216.21794,-1.4058912932845131,-1.4083206034949118,-47.73,0,Dunbrack
1k9a_11.pdb,0.11267714,-2933.367,-884.1958599999998,-3.7092601213646033,-3.321661123409462,-51.81,0,Dunbrack
1kcm_6.pdb,0.9921201,-3470.741,-3282.4946,-3.3332001817506915,-3.3270144699939985,-126.49,1,Dunbrack
1kez_1.pdb,0.63936204,-3047.4109999999996,-1738.7834,-3.4626546515176946,-3.1739828219955375,-77.96,1,QSbio
1kho_1.pdb,0.30692416,-2835.374000000001,-1183.1051,-2.769288951796113,-2.5318464569116412,-50.54,0,Dunbrack
1khx_2.pdb,0.014200963,-502.42800000000005,-546.5193,4.852218062370317,4.902978862056611,3.11,1,Dunbrack
1kie_1.pdb,0.092821516,-1367.273,-1729.0688,-4.268438883041603,-4.307623409206107,-77.58,0,QSbio
1kix_3.pdb,0.92309886,-6447.77,-2158.5159,-3.0251311440165902,-3.0420743821885914,-177.78,0,Dunbrack
1ks2_1.pdb,0.5799310999999999,-1550.984,-2474.0325,-3.6890694937229775,-3.211922053587104,-78.45,0,QSbio
1ktn_1.pdb,0.06384836,-1368.585,-1390.3705,-3.8109991773718432,-3.70980883072487,-33.97,1,QSbio
1ku2_1.pdb,0.92124045,-5067.855,-2488.474,0.05613839911039132,-0.5205181054546427,-73.35,1,Dunbrack
1ku2_4.pdb,0.6367636,-2779.2940000000012,-1261.725,-4.100151769673172,-3.544771785666184,-125.54,1,Dunbrack
1kut_1.pdb,0.19360909,-1853.115,-1181.5562,-2.4111468725426293,-4.052598778061688,-97.06,0,QSbio
1kvo_2.pdb,0.0044436706,-534.376,142.74553999999995,1.8017845048225518,0.8963667167820032,-8.95,0,QSbio
1l7c_5.pdb,0.63403356,-1821.493,-2251.8186,-2.189098098588199,-2.482470270276339,-77.61,0,Dunbrack
1lee_3.pdb,0.9923533,-4539.074000000001,-2765.6619,-2.9114378081782792,-2.90702741564785,-186.09,0,Dunbrack
1lkv_6.pdb,0.79611045,-2389.996,-2758.1533,5.559570791021357,5.563025252360238,-113.25,0,Dunbrack
1lvb_5.pdb,0.014068641000000002,-434.083,-949.042,4.1912764947047565,3.5258167539742438,-59.08,0,QSbio
1lws_4.pdb,0.007368444,-1319.707,97.8526,-1.9154443354175896,-1.915712492922196,-3.51,0,Dunbrack
1lyn_1.pdb,0.33126324,-2443.174,-1430.4794,1.0337083233850168,0.3570371292247839,-41.32,0,QSbio
1m08_1.pdb,0.004285739,-352.625,-42.946705,-0.6700152467767371,-0.5406349495345266,27.64,0,QSbio
1m2a_1.pdb,0.46152464,-1782.094,-1801.295,-2.2216499912801337,-2.4433058259538143,-62.69,0,QSbio
1m6b_2.pdb,0.6758535,-3643.847,-2478.06,0.8605820610910617,-0.3888581821521358,-49.54,0,Dunbrack
1m6u_9.pdb,0.05451951,-1992.192,-1237.5155,-3.5769931749264514,-3.5794486114552284,1314.82,0,Dunbrack
1mft_1.pdb,0.99190843,-4717.391,-4081.7212,-2.7727558671451757,-3.8531950589213824,-107.77,1,QSbio
1mi8_1.pdb,0.050477963,-1954.067,-463.78854,-1.657110011249064,-1.651572988917772,-63.83,0,QSbio
1mml_2.pdb,0.5795762,-3842.421,-1666.1165,-2.6400630105482064,-2.6403964077534936,-35.74,0,Dunbrack
1mp9_1.pdb,0.9466527,-4039.5440000000003,-3888.0684,-3.0245803602692813,-2.8345127297979182,-68.85,1,QSbio
1mqd_4.pdb,0.055433862,-1818.547,-1049.0105,-2.423945325584929,-2.419845787257582,-63.04,0,QSbio
1mvh_1.pdb,0.010487545,-1007.1210000000001,-112.60748999999998,0.9004521579445679,0.8939777012602504,-91.9,0,Dunbrack
1my6_1.pdb,0.80592316,-3373.223,-2389.5374,-4.787295379072102,-4.852687403585478,-51.93,0,QSbio
1my7_1.pdb,0.45678443,-2231.278,-1640.2686,-0.44922228803791214,-1.2019325799159886,-75.01,0,QSbio
1n0v_2.pdb,0.15663853,-1584.152,-2332.751,-4.558134711736435,-3.8399631675496857,-3.5,0,Dunbrack
1nf7_4.pdb,0.0061468040000000005,-836.172,-228.83685,9.762450639296599,10.244303651475292,10.43,0,Dunbrack
1nfs_1.pdb,0.67707,-2624.8979999999997,-2102.4102,-1.808644414042744,-2.4032463254175407,-63.84,1,QSbio
1nft_1.pdb,0.03301083,-1939.384,-673.38574,-0.5072928701909438,-0.5085765163692747,-9.27,0,Dunbrack
1nft_2.pdb,0.021960568,-908.3689999999999,-676.3636,-3.030699207938232,-3.0313313572321614,-32.1,0,Dunbrack
1np6_1.pdb,0.9925828,-7095.449000000001,-5027.6074,-7.5999769294794035,-7.484490801320027,-292.31,1,QSbio
1np8_1.pdb,0.023537971,-1739.1879999999999,-296.59613,2.568520951190376,-2.181501541873591,-9.75,0,QSbio
1ns5_1.pdb,0.99218714,-3730.297,-3142.1108,-3.3456158435257453,-3.432588686120841,-139.35,0,QSbio
1nvt_1.pdb,0.9925186,-4310.673,-3538.6868,-7.1605116682686285,-6.847542394194509,-186.48,1,QSbio
1nzi_1.pdb,0.9261196,-3417.43,-2460.1638,0.9192230725387228,0.3237729053522937,-118.52,0,QSbio
1o12_1.pdb,0.8004948000000001,-1819.882,-2828.9866,-6.288591527033813,-6.387688967288692,-75.12,1,QSbio
1o64_1.pdb,0.99115753,-3524.383,-3052.5686,-3.22384395262738,-3.868138915474877,-97.1,0,QSbio
1o6d_2.pdb,0.9323727,-3380.63,-3174.0845,-3.145485724138001,-3.1453821586238515,-76.46,0,QSbio
1o92_2.pdb,0.0018623511,-654.021,981.8128,8.61811361153484,8.640157536276776,23.7,0,Dunbrack
1obb_1.pdb,0.1567056,-3700.4590000000003,,-5.5558053104768765,-5.840677883406664,-98.06,0,QSbio
1ohq_1.pdb,0.9387351,-3299.6859999999997,-2436.899,-3.5715915785869425,-2.4269391540110905,-92.79,0,QSbio
1okj_1.pdb,0.5396913000000001,-2705.022,,-3.134459856533621,-1.5940158583069497,-112.62,0,QSbio
1or3_7.pdb,0.0034842766,-827.052,-308.8872,0.16637453194924695,0.16162005119920475,1602.95,0,Dunbrack
1ors_10.pdb,0.9232334,-4663.357,-2172.581,1.5119557125005127,1.5120346584433138,-142.46,0,Dunbrack
1ov4_1.pdb,0.015313143,-896.3510000000001,-327.3665200000001,-2.8703233776540698,-2.8798974559795467,-48.96,1,QSbio
1ovn_1.pdb,0.0112896655,-1534.406,-262.807,-3.079077352943083,-2.8853870555284717,-9.66,1,QSbio
1oya_1.pdb,0.09766823,-1546.87,-1681.9537,-5.476866263780079,-5.477090615196644,-37.89,1,QSbio
1p35_11.pdb,0.0826512,-2929.5570000000002,-727.25793,1.2403800548154211,1.2748182610023526,-37.54,1,Dunbrack
1p8l_1.pdb,0.014092637,-2197.027,439.53714,-1.3799377507818842,-1.3835172218365748,-11.92,0,Dunbrack
1pcz_1.pdb,0.919703,-3106.113,-2745.8118,-3.247887173489977,-3.3619400828775468,-97.56,1,Dunbrack
1pd5_26.pdb,0.010934653,-2863.762,92.8139,10.138980806536278,10.557890834710504,23.38,0,Dunbrack
1poe_1.pdb,0.004704125,-595.761,53.196335,0.3439354948429621,1.26713396669361,1.53,0,QSbio
1pp3_2.pdb,0.15616558,-1765.889,-1925.3674,-3.2256567182012907,-2.8096698395822357,-21.13,0,Dunbrack
1prx_1.pdb,0.9926137,-8251.833,-5964.0015,-9.737593658564597,-8.796185515108284,-241.72,1,QSbio
1psa_1.pdb,0.02027756,-2050.047,-107.34205,0.8797779921672251,0.1423227043647884,1.16,1,Dunbrack
1psq_1.pdb,0.8905164000000001,-3310.455,-2018.7882,-3.786991696024253,-3.819232772571056,-79.88,1,QSbio
1pxv_1.pdb,0.24902543,-2537.3379999999997,-1251.6824,2.703363624823484,1.213714570203828,-43.93,1,Dunbrack
1q1e_2.pdb,0.059057333,-2620.386,-330.7003,-1.2540430391703836,-1.2337610026399024,-55.36,0,Dunbrack
1q1n_1.pdb,0.8444289,-2244.031,-2401.3809,-6.342211945055397,-6.3417282890089535,-65.04,0,QSbio
1q4j_1.pdb,0.06071589,-1737.8020000000001,-997.62317,3.5421131013332383,3.8909670465308066,-74.22,0,QSbio
1q7s_3.pdb,0.9166382,-2009.91,-3202.6912,-2.2355619996691782,-5.171724722336198,-73.95,0,QSbio
1q98_1.pdb,0.7653149,-2684.183,-1871.1534,-3.2978865566404583,-4.143115640812859,-76.09,1,QSbio
1qex_1.pdb,0.27731120000000004,-2795.548,-1198.1743,12.638678844004412,12.919503903494014,-9.41,1,Dunbrack
1qex_6.pdb,0.25912586,-2149.855,-1224.4238,12.418321145229307,13.24488527698266,-48.22,1,Dunbrack
1qg7_1.pdb,0.60326177,-3105.767000000001,-1481.2424,-0.6433222103548418,1.395961022985773,-106.49,0,QSbio
1qhm_4.pdb,0.073118776,-3003.1079999999997,,-3.8360523469679406,-2.83735579100821,3847.09,0,Dunbrack
1qhq_3.pdb,0.053797554,-1080.999,-1274.3372,-2.7505104307464694,-2.739418266008984,-47.66,0,QSbio
1qkd_1.pdb,0.007937035,-205.662,-601.8627299999998,-0.350018134627074,-0.007226971716266774,-12.8,1,QSbio
1qmj_1.pdb,0.20484349,-1269.555,-1871.6125,-5.341065416247577,-5.085932486455163,-65.21,0,QSbio
1qpg_1.pdb,0.00365383,-1219.887,621.2665400000002,-2.814512742024185,-2.8159944644535844,-14.99,0,Dunbrack
1qq7_1.pdb,0.9306571,-8317.544,-5531.313,-5.912273569768944,-5.836000234590467,,0,QSbio
1qrd_1.pdb,0.0044746636,-715.576,-28.606714,6.2097409617468085,6.393343105065153,7.43,0,QSbio
1qto_1.pdb,0.992489,-4974.446,-4271.1494,-4.994174799363591,-4.994176611661293,-227.12,0,QSbio
1qvt_19.pdb,0.0062915,-1048.259,-205.5955,5.3513019666096415,10.979276231410482,2.38,0,QSbio
1qvw_1.pdb,0.02478934,-1576.507,-383.30725,-2.101115416826678,-1.988603981300252,-46.25,1,QSbio
1qxh_1.pdb,0.5620090999999999,-2058.1,-1827.1736,-2.824807288859752,-2.749994277953042,-65.22,0,QSbio
1qya_1.pdb,0.92713976,-3881.942,-2573.5078,-5.320709007833973,-5.225349874902618,-54.91,1,QSbio
1r5q_2.pdb,0.92578125,-4110.863,-2356.394,-0.7402158147621689,-0.7620402370121295,-93.77,0,QSbio
1r7j_1.pdb,0.9921874,-4569.337,-2606.9624,-3.936620865453665,-3.9561328284985726,-141.37,1,QSbio
1rcw_2.pdb,0.093636446,-1662.7020000000002,-1299.2653,-4.3747886674151815,-4.371262496344143,-53.02,1,QSbio
1rfy_1.pdb,0.9922389,-4067.296,-3056.7397,-3.1318830453840607,-3.1406996595457564,-146.85,0,QSbio
1rk4_1.pdb,0.97044736,-3974.7690000000002,-2511.2903,-2.9357158642038454,-2.9684798401295125,-107.26,1,Dunbrack
1rkr_5.pdb,0.09196664,-1177.193,-1790.6859,-0.8060712585036774,-0.8062586946155945,-16.61,0,QSbio
1rp5_3.pdb,0.003177443,-830.4889999999997,-675.9814,-2.3988666806244714,-2.384252783479897,2472.81,0,Dunbrack
1rpa_1.pdb,0.98765004,-4367.021,-4007.9932,-2.835738160215622,-2.8350773695350515,-88.66,0,QSbio
1rtv_1.pdb,0.020487607,-1518.014,-244.41994,3.958189686415613,0.023123297944322243,-23.94,1,QSbio
1rz6_2.pdb,0.9193675,-3533.973,-1952.1323,-3.552009567708295,-3.5517446460702766,-111.26,0,QSbio
1s9c_6.pdb,0.9922598,-4040.4109999999996,-3581.6108,-3.8422639680513435,-3.6765313672339697,-146.92,1,QSbio
1s9p_1.pdb,0.9227702,-2575.255,-2794.2847,-2.373478601149776,-2.3660307543448265,-59.65,0,QSbio
1s9p_5.pdb,0.020268654,-911.45,-666.6874,0.874503965806918,-1.372144160496541,-39.7,0,QSbio
1se8_1.pdb,0.06470480599999999,-2174.768,-930.5556,0.4755061421482822,0.5098924641531651,44.46,1,QSbio
1sfl_1.pdb,0.9917768,-3643.869,-3050.0508,-4.779642028631258,-4.476559224698763,-114.86,0,QSbio
1sfr_4.pdb,0.80890304,-2812.7529999999997,-2179.5774,-2.6149189001311592,-2.2158838724272565,-44.66,0,QSbio
1si5_3.pdb,0.23372921,-2629.7859999999996,-1167.2651,-1.934593233820888,-1.9244248631891816,-69.7,0,Dunbrack
1slb_2.pdb,0.26428813,-1306.129,-1980.0792,-5.671139772639768,-5.033747163322514,-56.67,0,QSbio
1som_1.pdb,0.0035577887,-1236.851,463.7399,-3.9184426326509287,-4.2227728482135864,36.66,0,QSbio
1srr_1.pdb,0.10877697,-1624.75,-1332.1494,-2.9627043867041314,-2.956365046377135,-52.53,0,QSbio
1sw2_4.pdb,0.013935288,-1215.505,-916.6594,-3.095096321575672,-3.095036943520604,11.83,0,Dunbrack
